batch_id,batch_date,study_id,Publication Year,Author,Title,Publication Title,pdf_filename
batch0012,2020-04-03,a000042,2018,"Moon, Jordan W.; Krems, Jaimie Arona; Cohen, Adam B.",Religious People Are Trusted Because They Are Viewed as Slow Life-History Strategists,Psychological Science,batch0012/a000042/a000042_article.pdf
batch0012,2020-04-03,a000074,2016,"Pinsof, David; Haselton, Martie",The Political Divide Over Same-Sex Marriage: Mating Strategies in Conflict?,Psychological Science,batch0012/a000074/a000074_article.pdf
batch0012,2020-04-03,a000119,2016,"Hsu, Nina S.; Novick, Jared M.",Dynamic Engagement of Cognitive Control Modulates Recovery From Misinterpretation During Real-Time Language Processing,Psychological Science,batch0012/a000119/a000119_article.pdf
batch0012,2020-04-03,a000151,2015,"Kubota, Jennifer T.; Li, Jian; Bar-David, Eyal; Banaji, Mahzarin R.; Phelps, Elizabeth A.",All Claims in the Original Article Hold as Stated: A Response to Arkes (2015),Psychological Science,batch0012/a000151/a000151_article.pdf
batch0012,2020-04-03,a000156,2017,"Quintus, Martin; Egloff, Boris; Wrzus, Cornelia",Predictors of volitional personality change in younger and older adults: Response surface analyses signify the complementary perspectives of the self and knowledgeable others,Journal of Research in Personality,batch0012/a000156/a000156_article.pdf
batch0012,2020-04-03,a000158,2019,"Garric, Clémentine; Sebaa, Aïda; Caetta, Florent; Perez, Céline; Savatovsky, Julien; Sergent, Claire; Chokron, Sylvie",Dissociation between objective and subjective perceptual experiences in a population of hemianopic patients: A new form of blindsight?,Cortex,batch0012/a000158/a000158_article.pdf
batch0012,2020-04-03,a000169,2017,"Sand, Anders; Nilsson, Mats E.","When Perception Trumps Reality: Perceived, Not Objective, Meaning of Primes Drives Stroop Priming",Psychological Science,batch0012/a000169/a000169_article.pdf
batch0012,2020-04-03,a000178,2014,"Klein, Richard A.; Ratliff, Kate A.; Vianello, Michelangelo; Adams, Reginald B.; Bahník, Štěpán; Bernstein, Michael J.; Bocian, Konrad; Brandt, Mark J.; Brooks, Beach; Brumbaugh, Claudia Chloe; Cemalcilar, Zeynep; Chandler, Jesse; Cheong, Winnee; Davis, William E.; Devos, Thierry; Eisner, Matthew; Frankowska, Natalia; Furrow, David; Galliani, Elisa Maria; Hasselman, Fred; Hicks, Joshua A.; Hovermale, James F.; Hunt, S. Jane; Huntsinger, Jeffrey R.; IJzerman, Hans; John, Melissa-Sue; Joy-Gaba, Jennifer A.; Barry Kappes, Heather; Krueger, Lacy E.; Kurtz, Jaime; Levitan, Carmel A.; Mallett, Robyn K.; Morris, Wendy L.; Nelson, Anthony J.; Nier, Jason A.; Packard, Grant; Pilati, Ronaldo; Rutchick, Abraham M.; Schmidt, Kathleen; Skorinko, Jeanine L.; Smith, Robert; Steiner, Troy G.; Storbeck, Justin; Van Swol, Lyn M.; Thompson, Donna; van ‘t Veer, A. E.; Ann Vaughn, Leigh; Vranka, Marek; Wichman, Aaron L.; Woodzicka, Julie A.; Nosek, Brian A.",Investigating Variation in Replicability: A “Many Labs” Replication Project,Social Psychology,batch0012/a000178/a000178_article.pdf
batch0012,2020-04-03,a000247,2018,"Silberzahn, R.; Uhlmann, E. L.; Martin, D. P.; Anselmi, P.; Aust, F.; Awtrey, E.; Bahník, Š.; Bai, F.; Bannard, C.; Bonnier, E.; Carlsson, R.; Cheung, F.; Christensen, G.; Clay, R.; Craig, M. A.; Dalla Rosa, A.; Dam, L.; Evans, M. H.; Flores Cervantes, I.; Fong, N.; Gamez-Djokic, M.; Glenz, A.; Gordon-McKeon, S.; Heaton, T. J.; Hederos, K.; Heene, M.; Hofelich Mohr, A. J.; Högden, F.; Hui, K.; Johannesson, M.; Kalodimos, J.; Kaszubowski, E.; Kennedy, D. M.; Lei, R.; Lindsay, T. A.; Liverani, S.; Madan, C. R.; Molden, D.; Molleman, E.; Morey, R. D.; Mulder, L. B.; Nijstad, B. R.; Pope, N. G.; Pope, B.; Prenoveau, J. M.; Rink, F.; Robusto, E.; Roderique, H.; Sandberg, A.; Schlüter, E.; Schönbrodt, F. D.; Sherman, M. F.; Sommer, S. A.; Sotak, K.; Spain, S.; Spörlein, C.; Stafford, T.; Stefanutti, L.; Tauber, S.; Ullrich, J.; Vianello, M.; Wagenmakers, E.-J.; Witkowiak, M.; Yoon, S.; Nosek, B. A.","Many Analysts, One Data Set: Making Transparent How Variations in Analytic Choices Affect Results",Advances in Methods and Practices in Psychological Science,batch0012/a000247/a000247_article.pdf
batch0012,2020-04-03,a000257,2019,"Gerrits, Robin; Van der Haegen, Lise; Brysbaert, Marc; Vingerhoets, Guy",Laterality for recognizing written words and faces in the fusiform gyrus covaries with language dominance,Cortex,batch0012/a000257/a000257_article.pdf
