batch_id,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0913,2020-11-22,a000001,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.",2019,Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers,Clinical Psychological Science,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000031,"Png, Ivan P. L.",2019,"U.S. R&D, 1975–1998: A new dataset",Strategic Management Journal,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000077,"Redford, Liz; Ratliff, Kate A.",2018,Empathy and humanitarianism predict preferential moral responsiveness to in-groups and out-groups,The Journal of Social Psychology,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000119,"Hsu, Nina S.; Novick, Jared M.",2016,Dynamic Engagement of Cognitive Control Modulates Recovery From Misinterpretation During Real-Time Language Processing,Psychological Science,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000132,"Pusch, Sebastian; Mund, Marcus; Hagemeyer, Birk; Finn, Christine",2019,Personality Development in Emerging and Young Adulthood: A Study of Age Differences,European Journal of Personality,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000160,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",2017,The Emergence of an Abstract Grammatical Category in Children’s Early Speech,Psychological Science,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000168,"Daly, Michael; Robinson, Eric; Sutin, Angelina R.",2017,Does Knowing Hurt? Perceiving Oneself as Overweight Predicts Future Physical Health and Well-Being,Psychological Science,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000203,"Cogsdill, Emily J.; Todorov, Alexander T.; Spelke, Elizabeth S.; Banaji, Mahzarin R.",2014,Inferring Character From Faces: A Developmental Study,Psychological Science,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000245,"Chen, Juan; Sperandio, Irene; Goodale, Melvyn Alan",2015,Differences in the Effects of Crowding on Size Perception and Grip Scaling in Densely Cluttered 3-D Scenes,Psychological Science,Refer to Zotero library for PDF/link
batch0913,2020-11-22,a000260,"Mace, Ryan A.; Waters, Abigail B.; Sawyer, Kayle S.; Turrisi, Taylor; Gansler, David A.",2019,Components of executive function model regional prefrontal volumes.,Neuropsychology,Refer to Zotero library for PDF/link
