"batch_id","batch_date","study_id","Author","Publication Year","Title","Publication Title","DOI","pdf_filename"
"batch0915","2024-04-05","a000291","Treiman, Rebecca; Wolter, Sloane",2020,"Use of Letter Names Benefits Young Children’s Spelling","Psychological Science","10.1177/0956797619888837","a000291.pdf"
"batch0915","2024-04-05","a001002","Moher, Jeff",2020,"Distracting Objects Induce Early Quitting in Visual Search","Psychological Science","10.1177/0956797619886809","a001002.pdf"
"batch0915","2024-04-05","a001169","Lawrie, Smaranda Ioana; Eom, Kimin; Moza, Daniela; Gavreliuc, Alin; Kim, Heejung S.",2020,"Cultural Variability in the Association Between Age and Well-Being: The Role of Uncertainty Avoidance","Psychological Science","10.1177/0956797619887348","a001169.pdf"
"batch0915","2024-04-05","a001174","Piazza, Elise A.; Hasenfratz, Liat; Hasson, Uri; Lew-Williams, Casey",2020,"Infant and Adult Brains Are Coupled to the Dynamics of Natural Communication","Psychological Science","10.1177/0956797619878698","a001174.pdf"
"batch0915","2024-04-05","a001427","Onyeador, Ivuoma N.; Wittlin, Natalie M.; Burke, Sara E.; Dovidio, John F.; Perry, Sylvia P.; Hardeman, Rachel R.; Dyrbye, Liselotte N.; Herrin, Jeph; Phelan, Sean M.; van Ryn, Michelle",2020,"The Value of Interracial Contact for Reducing Anti-Black Bias Among Non-Black Physicians: A Cognitive Habits and Growth Evaluation (CHANGE) Study Report","Psychological Science","10.1177/0956797619879139","a001427.pdf"
"batch0915","2024-04-05","a001657","Tello, Nina; Harika-Germaneau, Ghina; Serra, Wilfried; Jaafari, Nematollah; Chatard, Armand",2020,"Forecasting a Fatal Decision: Direct Replication of the Predictive Validity of the Suicide–Implicit Association Test","Psychological Science","10.1177/0956797619893062","a001657.pdf"
"batch0915","2024-04-05","a001664","Brummelman, Eddie; Nevicka, Barbara; O’Brien, Joseph M.",2021,"Narcissism and Leadership in Children","Psychological Science","10.1177/0956797620965536","a001664.pdf"
"batch0915","2024-04-05","a001667","Yousif, Sami R.; Keil, Frank C.",2021,"The Shape of Space: Evidence for Spontaneous but Flexible Use of Polar Coordinates in Visuospatial Representations","Psychological Science","10.1177/0956797620972373","a001667.pdf"
"batch0915","2024-04-05","a001668","Zajenkowski, Marcin; Gignac, Gilles E.; Rogoza, Radosław; Górniak, Jeremiasz; Maciantowicz, Oliwia; Leniarska, Maria; Jonason, Peter K.; Jankowski, Konrad S.",2023,"Ego-Boosting Hormone: Self-Reported and Blood-Based Testosterone Are Associated With Higher Narcissism","Psychological Science","10.1177/09567976231184886","a001668.pdf"
"batch0915","2024-04-05","a001672","Decker, Alexandra L.; Duncan, Katherine; Finn, Amy S.",2023,"Fluctuations in Sustained Attention Explain Moment-to-Moment Shifts in Children’s Memory Formation","Psychological Science","10.1177/09567976231206767","a001672.pdf"
"batch0915","2024-04-05","a001673","Woolley, Kaitlin; Fishbach, Ayelet",2022,"Motivating Personal Growth by Seeking Discomfort","Psychological Science","10.1177/09567976211044685","a001673.pdf"
"batch0915","2024-04-05","a001674","Scullin, Michael K.; Gao, Chenlu; Fillmore, Paul",2021,"Bedtime Music, Involuntary Musical Imagery, and Sleep","Psychological Science","10.1177/0956797621989724","a001674.pdf"
