"batch_id","coder","date_assigned"
"batch0000","steve","2020-04-02"
"batch0000","adrian","2020-04-02"
"batch0000","andy","2020-04-02"
"batch0000","aniruddah","2020-04-02"
"batch0000","evelyn","2020-04-02"
"batch0000","kongmanas","2020-04-02"
"batch0000","matthew","2020-04-02"
"batch0000","michelle","2020-04-02"
"batch0000","nguyenlam","2020-04-02"
"batch0000","oliver","2020-04-02"
"batch0000","phuong","2020-04-02"
"batch0000","sophia","2020-04-02"
"batch0011","sophia","2020-04-03"
"batch0012","kongmanas","2020-04-03"
"batch0013","oliver","2020-04-03"
"batch0014","michelle","2020-04-03"
"batch0015","adrian","2020-04-03"
"batch0016","evelyn","2020-04-03"
"batch0900","steve","2020-04-07"
"batch0017","phuong","2020-04-07"
"batch0018","sophia","2020-04-07"
"batch0019","nguyenlam","2020-04-07"
"batch0020","adrian","2020-04-07"
"batch0021","michelle","2020-04-07"
"batch0022","evelyn","2020-04-07"
"batch0023","oliver","2020-04-07"
"batch0024","andy","2020-04-07"
"batch0025","aniruddah","2020-04-08"
"batch0026","sophia","2020-04-08"
"batch0027","kongmanas","2020-04-08"
"batch0028","michelle","2020-04-08"
"batch0029","kongmanas","2020-04-15"
"batch0030","matthew","2020-04-15"
"batch0031","nguyenlam","2020-04-15"
"batch0032","sophia","2020-04-15"
"batch0033","phuong","2020-04-15"
"batch0034","evelyn","2020-04-15"
"batch0035","michelle","2020-04-15"
"batch0036","adrian","2020-04-15"
"batch0037","sophia","2020-04-17"
"batch0038","kongmanas","2020-04-17"
"batch0039","michelle","2020-04-19"
"batch0040","evelyn","2020-04-19"
"batch0041","sophia","2020-04-19"
"batch0042","matthew","2020-04-19"
"batch0043","phuong","2020-04-19"
"batch0044","kongmanas","2020-04-19"
"batch0045","oliver","2020-04-21"
"batch0046","kongmanas","2020-04-21"
"batch0047","sophia","2020-04-22"
"batch0048","evelyn","2020-04-22"
"batch0049","matthew","2020-04-22"
"batch0050","michelle","2020-04-23"
"batch0051","oliver","2020-04-23"
"batch0052","aniruddah","2020-04-23"
"batch0053","evelyn","2020-04-24"
"batch0054","phuong","2020-04-24"
"batch0055","sophia","2020-04-24"
"batch0056","oliver","2020-04-25"
"batch0057","sophia","2020-04-26"
"batch0058","oliver","2020-04-26"
"batch0059","sophia","2020-04-26"
"batch0060","michelle","2020-04-27"
"batch0061","oliver","2020-04-27"
"batch0062","matthew","2020-04-28"
"batch0063","oliver","2020-04-28"
"batch0064","michelle","2020-04-30"
"batch0065","aniruddah","2020-05-03"
"batch0066","michelle","2020-05-05"
"batch0067","evelyn","2020-05-07"
"batch0068","michelle","2020-05-07"
"batch0069","evelyn","2020-05-11"
"batch0070","michelle","2020-05-11"
"batch0071","evelyn","2020-05-11"
"batch0072","evelyn","2020-05-13"
"batch0073","aniruddah","2020-05-13"
"batch0074","evelyn","2020-05-18"
"batch0075","evelyn","2020-05-22"
"batch0076","evelyn","2020-05-22"
"batch0077","evelyn","2020-05-26"
"batch0901","steve","2020-06-25"
"batch0901","andy","2020-06-25"
"batch0902","steve","2020-07-23"
"batch0903","andy","2020-07-23"
"batch0909","steve","2020-08-08"
"batch0910","steve","2020-08-26"
"batch0911","steve","2020-09-02"
"batch0912","steve","2020-11-04"
"batch0913","steve","2020-11-22"
"batch0915","elliot","2024-04-05"
