Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Short Title,Series,Language,Rights,Library Catalog,Extra,Notes,file_att1,file_att2,file_att3,Automatic Tags,OpenDataBadge,OpenMaterialsBadge,PreregisteredBadge,ErratumTag,effective_year,PROpenData,PRPreregistered,PROpenMaterials,DEPreregistered,TCPreregistered,PreregisteredPlus,study_id,pdf_to_copy,allowed_in_pool
22YZTHRK,journalArticle,2019,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.",Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers,Clinical Psychological Science,2167-7026,10.1177/2167702619842468,https://doi.org/10.1177/2167702619842468,"False memories in therapy have previously been identified as problematic, but memory-of-emotion distortions have been underdiscussed in this context. Past research has suggested that cognitive reappraisals are associated with changes in memory of emotions. We investigated whether these findings would generalize to an important emotion (love), target (mothers), and time (childhood). In samples of adults, we manipulated current appraisals of mothers to examine the effect on memory of love felt in childhood toward mothers. In Experiment 1, we found significant differences between appraisal conditions on memory of love—effects that persisted for 4 weeks. In Experiment 2, the effect of reappraisal on memory of love replicated with a pretest–posttest experiment. Pretest current feelings of love were biased when recalled after the experiment. Reevaluating parents, in therapy or elsewhere, may result in memory distortion of important aspects of autobiographical memory.",2019-09-01,2020-01-30T05:29:22Z,2020-01-30T05:29:35Z,2020-01-30T05:29:22Z,1125-1143,5,7,Clinical Psychological Science,NA,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\S9S72PWS\Patihis et al. - 2019 - Changing Current Appraisals of Mothers Leads to Ch.pdf,NA,NA,emotion; memory; open data; open materials; autobiographical memory; appraisal; love; mother,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000001,C:\Users\Steve\Zotero\storage\S9S72PWS\Patihis et al. - 2019 - Changing Current Appraisals of Mothers Leads to Ch.pdf,TRUE
23TU4I88,journalArticle,2019,"Connor, Paul; Sarafidis, Vasilis; Zyphur, Michael J; Keltner, Dacher; Chen, Serena",Income Inequality and White-on-Black Racial Bias in the United States: Evidence From Project Implicit and Google Trends,Psychological Science,0956-7976,10.1177/0956797618815441,https://journals.sagepub.com/doi/10.1177/0956797618815441,"Several theories predict that income inequality may produce increased racial bias, but robust tests of this hypothesis are lacking. We examined this relationship at the U.S. state level from 2004 to 2015 using Internal Revenue Service–based income-inequality statistics and two large-scale racial-bias data sources: Project Implicit (N = 1,554,109) and Google Trends. Using a multimethod approach, we found evidence of a significant positive within-state association between income inequality and Whites’ explicit racial bias. However, the effect was small, with income inequality accounting for 0.4% to 0.7% of within-state variation in racial bias, and was also contingent on model specification, with results dependent on the measure of income inequality used. We found no conclusive evidence linking income inequality to implicit racial bias or racially offensive Google searches. Overall, our findings admit multiple interpretations, but we discuss why statistically small effects of income inequality on explicit racial bias may nonetheless be socially meaningful.",2019-02-01,2019-04-06T18:49:08Z,2020-02-11T05:25:53Z,NA,205-222,2,30,Psychol. Sci.,NA,NA,en,NA,Zotero,PMID: 30633654,NA,C:\Users\Steve\Zotero\storage\TYQPT9RI\Connor e.a. - Income Inequality and White-on-Black Racial Bias i.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000003,C:\Users\Steve\Zotero\storage\TYQPT9RI\Connor e.a. - Income Inequality and White-on-Black Racial Bias i.pdf,TRUE
249AUDEP,journalArticle,2017,"Stark, Emily; Baldwin, Austin S.; Hertel, Andrew W.; Rothman, Alexander J.",The role of rational and experiential processing in influencing the framing effect,The Journal of Social Psychology,0022-4545,10.1080/00224545.2016.1198301,https://doi.org/10.1080/00224545.2016.1198301,"Research on individual differences and the framing effect has focused primarily on how variability in rational processing influences choice. However, we propose that measuring only rational processing presents an incomplete picture of how participants are responding to framed options, as orthogonal individual differences in experiential processing might be relevant. In two studies, we utilize the Rational Experiential Inventory, which captures individual differences in rational and experiential processing, to investigate how both processing types influence decisions. Our results show that differences in experiential processing, but not rational processing, moderated the effect of frame on choice. We suggest that future research should more closely examine the influence of experiential processing on making decisions, to gain a broader understanding of the conditions that contribute to the framing effect.",2017-05-04,2018-04-05T05:20:15Z,2018-04-05T05:20:38Z,2018-04-05T05:20:15Z,308-321,3,157,NA,NA,NA,NA,NA,Taylor and Francis+NEJM,PMID: 27269813,NA,C:\Users\Steve\Zotero\storage\YCNNHDAE\Stark et al. - 2017 - The role of rational and experiential processing i.pdf, C:\Users\Steve\Zotero\storage\SX8L427X\00224545.2016.html,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000004,C:\Users\Steve\Zotero\storage\YCNNHDAE\Stark et al. - 2017 - The role of rational and experiential processing i.pdf,TRUE
24HX94R4,journalArticle,2019,"Rychlowska, Magdalena; van der Schalk, Job; Gratch, Jonathan; Breitinger, Eva; Manstead, Antony S. R.",Beyond actions: Reparatory effects of regret in intergroup trust games,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2019.01.006,http://www.sciencedirect.com/science/article/pii/S0022103118303974,"Intergroup trust is vital for cooperation and societal well-being, but is harder to establish than interpersonal trust. We investigate whether expressions of negative emotions, in particular regret, following economic decisions can shape intergroup trust. In each of three studies participants were members of a group playing a two-round trust game with another group. In the first round, they observed an outgroup member who acted fairly or unfairly towards the ingroup and then expressed positive (i.e., happiness) or negative (i.e., regret, unhappiness) emotions about this behavior. In the second round, participants played with another outgroup member. Emotions displayed by the outgroup representative following unfair behavior in round 1 influenced participants' allocations in round 2, which were higher following regret and unhappiness than following positive emotions. Thus, emotions expressed by one outgroup member affected interactions with other members who had not communicated emotions. Findings of Study 3 revealed that these effects were driven by regret increasing intergroup trust, rather than by happiness decreasing it. Moreover, participants' allocations were predicted by their perceptions of the extent to which the outgroup representative wished to change her behavior. Together, the findings reveal that regret expressions influence intergroup trust by attenuating the detrimental effects of unfair behavior.",2019-05-01,2020-02-04T03:34:20Z,2020-02-04T03:34:37Z,2020-02-04T03:34:20Z,74-84,NA,82,Journal of Experimental Social Psychology,Beyond actions,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\SUBLEXZY\Rychlowska et al. - 2019 - Beyond actions Reparatory effects of regret in in.pdf, C:\Users\Steve\Zotero\storage\GF4WILKA\S0022103118303974.html,NA,Emotion expression; Intergroup trust; Regret; Smile,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000005,C:\Users\Steve\Zotero\storage\SUBLEXZY\Rychlowska et al. - 2019 - Beyond actions Reparatory effects of regret in in.pdf,TRUE
25KTJPTG,journalArticle,2017,Olderbak Sally G.; Malter Frederic; Wolf Pedro Sofio Abril; Jones Daniel N.; Figueredo Aurelio José,Predicting Romantic Interest at Zero Acquaintance: Evidence of Sex Differences in Trait Perception but Not in Predictors of Interest,European Journal of Personality,0890-2070,10.1002/per.2087,https://onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au/doi/abs/10.1002/per.2087,"Abstract We evaluated five competing hypotheses about what predicts romantic interest. Through a half?block quasi?experimental design, a large sample of young adults (i.e. responders; n?=?335) viewed videos of opposite?sex persons (i.e. targets) talking about themselves, and responders rated the targets' traits and their romantic interest in the target. We tested whether similarity, dissimilarity or overall trait levels on mate value, physical attractiveness, life history strategy and the Big Five personality factors predicted romantic interest at zero acquaintance and whether sex acted as a moderator. We tested the responders' individual perception of the targets' traits, in addition to the targets' own self?reported trait levels and a consensus rating of the targets made by the responders. We used polynomial regression with response surface analysis within multilevel modelling to test support for each of the hypotheses. Results suggest a large sex difference in trait perception; when women rated men, they agreed in their perception more often than when men rated women. However, as a predictor of romantic interest, there were no sex differences. Only the responders' perception of the targets' physical attractiveness predicted romantic interest; specifically, responders' who rated the targets' physical attractiveness as higher than themselves reported more romantic interest. Copyright ? 2017 European Association of Personality Psychology",2017-01-06,2018-04-04T05:58:58Z,2018-04-04T05:59:10Z,2018-04-04T05:58:58Z,42-62,1,31,European Journal of Personality,Predicting Romantic Interest at Zero Acquaintance,NA,NA,NA,onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au (Atypon),NA,NA,C:\Users\Steve\Zotero\storage\TZZQWCD9\Olderbak Sally G. et al. - 2017 - Predicting Romantic Interest at Zero Acquaintance.pdf, C:\Users\Steve\Zotero\storage\3699S7YE\per.html,NA,attraction; Big Five personality factors; life history strategy; mate value; multilevel model; polynomial regression; response surface analysis; social relations model; trait perception,TRUE,FALSE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000007,C:\Users\Steve\Zotero\storage\TZZQWCD9\Olderbak Sally G. et al. - 2017 - Predicting Romantic Interest at Zero Acquaintance.pdf,TRUE
282FPYFL,journalArticle,2019,"Hanniball, Katherine B.; Aknin, Lara B.; Douglas, Kevin S.; Viljoen, Jodi L.",Does helping promote well-being in at-risk youth and ex-offender samples?,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2018.11.001,http://www.sciencedirect.com/science/article/pii/S0022103118304219,"Numerous theories attempt to explain humans' extraordinary prosociality, but predictions are rarely tested among antisocial individuals, whose dampened concern for others offers a particularly strong test of generalizability for prosocial action. To build upon past research demonstrating the emotional benefits of prosociality among non-offending populations and broaden our understanding of how far this relationship may extend, we examined whether the emotional benefits of prosocial spending are detectable in samples of delinquent youth and recent criminal offenders reporting elevated antisocial tendencies and psychopathic personality features. Findings reveal that, controlling for baseline happiness, ex-offenders (N = 501) report greater positive affect after recalling a time they spent money on others than after recalling a time they spent money on themselves. Similarly, delinquent youth (N = 64) and ex-offenders (N = 777) randomly assigned to purchase an item for a needy child reported greater positive affect than those who purchased an item for themselves. Finally, a large pre-registered replication (N = 1295) suggests the immediate emotional benefits of prosocial spending are detectable among ex-offenders when controlling for baseline happiness. Together, these findings demonstrate the emotional rewards of recalled and immediate acts of giving in a new and theoretically relevant population.",2019-05-01,2020-02-04T03:45:15Z,2020-02-04T03:46:24Z,2020-02-04T03:45:15Z,307-317,NA,82,Journal of Experimental Social Psychology,NA,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\RS8S9TDU\Hanniball et al. - 2019 - Does helping promote well-being in at-risk youth a.pdf, C:\Users\Steve\Zotero\storage\FTDPKI28\S0022103118304219.html,NA,Positive affect; Well-being; Helping; Prosocial behavior; Prosocial spending,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000009,C:\Users\Steve\Zotero\storage\RS8S9TDU\Hanniball et al. - 2019 - Does helping promote well-being in at-risk youth a.pdf,TRUE
2945RULZ,journalArticle,2018,"Fatfouta, Ramzi; Schröder-Abé, Michela",Agentic to the core? Facets of narcissism and positive implicit self-views in the agentic domain,Journal of Research in Personality,0092-6566,10.1016/j.jrp.2018.02.006,http://www.sciencedirect.com/science/article/pii/S0092656618300187,"Researchers are still divided over whether narcissists possess positive or negative implicit self-views. Seemingly resolving this issue, Campbell et al. (2007) have demonstrated that narcissism is in fact related to higher implicit self-esteem as long as the implicit measure reflects agency. The present study used a large (N = 730) sample, carefully controlled stimuli, improved statistical analyses, and examined narcissism at the facet-level, but results did not replicate those of Campbell et al. In fact, the latent correlation between narcissism and implicit agency was close to zero, whereas the positive correlation between narcissism and explicit agency was replicated. We conclude that narcissists’ implicit self-views may be more neutral than positive or may depend on other contextual factors.",2018-06-01,2019-03-31T13:04:16Z,2019-03-31T13:04:25Z,2019-03-31T13:04:16Z,78-82,NA,74,Journal of Research in Personality,Agentic to the core?,NA,NA,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\L73HSA6S\Fatfouta en Schröder-Abé - 2018 - Agentic to the core Facets of narcissism and posi.pdf, C:\Users\Steve\Zotero\storage\Z4S5TD76\S0092656618300187.html,NA,Narcissism; Agency; Communion; IAT; Implicit self-esteem,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000010,C:\Users\Steve\Zotero\storage\L73HSA6S\Fatfouta en Schröder-Abé - 2018 - Agentic to the core Facets of narcissism and posi.pdf,TRUE
2ADJ6M5W,journalArticle,2019,"Nave, Gideon; Jung, Wi Hoon; Linnér, Richard Karlsson; Kable, Joseph W; Koellinger, Philipp D",Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study,Psychological Science,0956-7976,10.1177/0956797618808470,https://journals.sagepub.com/doi/10.1177/0956797618808470,"A positive relationship between brain volume and intelligence has been suspected since the 19th century, and empirical studies seem to support this hypothesis. However, this claim is controversial because of concerns about publication bias and the lack of systematic control for critical confounding factors (e.g., height, population structure). We conducted a preregistered study of the relationship between brain volume and cognitive performance using a new sample of adults from the United Kingdom that is about 70% larger than the combined samples of all previous investigations on this subject (N = 13,608). Our analyses systematically controlled for sex, age, height, socioeconomic status, and population structure, and our analyses were free of publication bias. We found a robust association between total brain volume and fluid intelligence (r = .19), which is consistent with previous findings in the literature after controlling for measurement quality of intelligence in our data. We also found a positive relationship between total brain volume and educational attainment (r = .12). These relationships were mainly driven by gray matter (rather than white matter or fluid volume), and effect sizes were similar for both sexes and across age groups.",2019-01-01,2019-04-06T18:42:13Z,2020-02-11T06:58:16Z,NA,43-54,1,30,Psychol. Sci.,NA,NA,en,NA,Zotero,PMID: 30499747,NA,C:\Users\Steve\Zotero\storage\PR2HDW9E\Nave e.a. - Are Bigger Brains Smarter Evidence From a Large-S.pdf,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,a000011,C:\Users\Steve\Zotero\storage\PR2HDW9E\Nave e.a. - Are Bigger Brains Smarter Evidence From a Large-S.pdf,TRUE
2CQELDPZ,journalArticle,2019,"O’Brien, Ed; Kassirer, Samantha",People Are Slow to Adapt to the Warm Glow of Giving,Psychological Science,"0956-7976, 1467-9280",10.1177/0956797618814145,http://journals.sagepub.com/doi/10.1177/0956797618814145,"People adapt to repeated getting. The happiness we feel from eating the same food, from earning the same income, and from many other experiences quickly decreases as repeated exposure to an identical source of happiness increases. In two preregistered experiments (N = 615), we examined whether people also adapt to repeated giving—the happiness we feel from helping other people rather than ourselves. In Experiment 1, participants spent a windfall for 5 days ($5.00 per day on the same item) on themselves or another person (the same one each day). In Experiment 2, participants won money in 10 rounds of a game ($0.05 per round) for themselves or a charity of their choice (the same one each round). Although getting elicited standard adaptation (happiness significantly declined), giving did not grow old (happiness did not significantly decline; Experiment 1) and grew old more slowly than equivalent getting (happiness declined at about half the rate; Experiment 2). Past research suggests that people are inevitably quick to adapt in the absence of change. These findings suggest otherwise: The happiness we get from giving appears to sustain itself.",2019-02,2019-04-06T18:46:48Z,2019-04-06T18:48:20Z,2019-04-06T18:46:48Z,193-204,2,30,NA,NA,NA,en,NA,Crossref,NA,NA,C:\Users\Steve\Zotero\storage\4QB7UC97\O’Brien en Kassirer - 2019 - People Are Slow to Adapt to the Warm Glow of Givin.pdf,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000012,C:\Users\Steve\Zotero\storage\4QB7UC97\O’Brien en Kassirer - 2019 - People Are Slow to Adapt to the Warm Glow of Givin.pdf,TRUE
2CR9ZTGL,journalArticle,2015,"Zaval, Lisa; Markowitz, Ezra M.; Weber, Elke U.",How Will I Be Remembered? Conserving the Environment for the Sake of One’s Legacy,Psychological Science,0956-7976,10.1177/0956797614561266,https://doi.org/10.1177/0956797614561266,"Long time horizons and social distance are viewed as key psychological barriers to proenvironmental action, particularly regarding climate change. We suggest that these challenges can be turned into opportunities by making salient long-term goals and motives, thus shifting preferences between the present self and future others. We tested whether individuals’ motivation to leave a positive legacy can be leveraged to increase engagement with climate change and other environmental problems. In a pilot study, we found that individual differences in legacy motivation were positively associated with proenvironmental behaviors and intentions. In a subsequent experiment, we demonstrated that priming legacy motives increased donations to an environmental charity, proenvironmental intentions, and climate-change beliefs. Domain-general legacy motives represent a previously understudied and powerful mechanism for promoting proenvironmental behavior.",2015-02-01,2018-03-20T05:04:31Z,2018-03-20T05:04:43Z,2018-03-20T05:04:31Z,231-236,2,26,Psychol Sci,How Will I Be Remembered?,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\EVER8J9N\Zaval et al. - 2015 - How Will I Be Remembered Conserving the Environme.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a000013,C:\Users\Steve\Zotero\storage\EVER8J9N\Zaval et al. - 2015 - How Will I Be Remembered Conserving the Environme.pdf,TRUE
