article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,adrian,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/n6pfz/,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,Links were easy to find
intro02,adrian,2020-04-03,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,no,,"Error message ""Something went wrong"" shown when trying to download files"
intro03,adrian,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,Links were easy to find
intro04,adrian,2020-04-03,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,Links were easy to find
intro05,adrian,2020-04-03,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Dataverse,yes,,yes,,Dataverse contained 2 different folders for separate projects. Actual data was in 2nd folder. Redirected site for 2nd folder was 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27813'
intro06,adrian,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,Links were less obvious
intro07,adrian,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,yes,,Download took very long time
intro08,adrian,2020-04-03,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,,ICPSR,other,Data had been updated to V7. Link to updated data provided and downloaded.,yes,,"2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017"
intro09,adrian,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,Links were easy to find
intro10,adrian,2020-04-03,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site can' be reached,,,,,,,,,Link did not work
a000013,adrian,2020-04-05,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,,Dataverse,yes,,yes,,Ok
a000132,adrian,2020-04-05,yes,,yes,,yes,,2,1,http://www.pairfam.de/en/data/data-access/,yes,,https://www.pairfam.de/index.php,no,,,no,,,,Article had 2 links - This link was in German and did not have files for download
a000132,adrian,2020-04-05,yes,,yes,,yes,,2,2,https://osf.io/z6ryh/,yes,,https://osf.io/z6ryh/,yes,,OSF,yes,,yes,,Article had 2 links - This link was ok
a000154,adrian,2020-04-05,yes,,yes,,yes,,1,1,https://osf.io/usdq8/,yes,,https://osf.io/usdq8/,yes,,OSF,yes,,yes,,Files were not as obvious
