article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,andy,2020-04-07,yes,,yes,,yes,,1,1,http://osf.io/n6pfz,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,Also has open materials badge and links to supplementary material.
intro02,andy,,,,,,,,,,,,,,,,,,,,,
intro03,andy,,,,,,,,,,,,,,,,,,,,,
intro04,andy,,,,,,,,,,,,,,,,,,,,,
intro05,andy,,,,,,,,,,,,,,,,,,,,,
intro06,andy,,,,,,,,,,,,,,,,,,,,,
intro07,andy,,,,,,,,,,,,,,,,,,,,,
intro08,andy,,,,,,,,,,,,,,,,,,,,,
intro09,andy,,,,,,,,,,,,,,,,,,,,,
intro10,andy,,,,,,,,,,,,,,,,,,,,,
a000048,andy,2020-04-22,yes,,yes,,yes,,2,1,https://osf.io/cpmfk/,yes,,https://osf.io/cpmfk/,yes,,OSF,yes,,yes,,This is the original data collected for another project. The downloaded files contain data collected between 2004-2019. Study used data from 2004-2017. Data files are also available by individual year.
a000048,andy,2020-04-22,yes,,yes,,yes,,2,2,https://osf.io/ufxny/,yes,,https://osf.io/ufxny/,yes,,OSF,yes,,yes,,This linked to the study data with syntax and codebook. 
a000098,andy,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/nft5c,yes,,https://osf.io/nft5c/,yes,,OSF,yes,,yes,,
a000115,andy,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/m35b8/,yes,,https://osf.io/m35b8/,yes,,OSF,yes,,yes,,
a000136,andy,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/9d6t4/,yes,,https://osf.io/9d6t4/,yes,,OSF,yes,,yes,,
a000142,andy,2020-10-27,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/WD3IUA,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA,yes,,Harvard Dataverse,yes,,yes,,No issues
a000143,andy,2020-10-27,yes,,yes,,yes,,1,1,https://osf.io/8cq5f/,yes,,https://osf.io/8cq5f/,yes,,OSF,yes,,yes,,No issues
a000146,andy,2020-10-27,yes,,yes,,yes,,1,1,http://www.osf.io/xf7rn,yes,,https://osf.io/xf7rn/,yes,,OSF,yes,,yes,,No issues
a000182,andy,2020-10-27,yes,,yes,,yes,,1,1,https://osf.io/emk5j,yes,,https://osf.io/emk5j/,yes,,OSF,yes,,yes,,No issues
a000188,andy,2020-10-27,yes,,yes,,yes,,1,1,https://osf.io/zg427/,yes,,https://osf.io/zg427/,yes,,OSF,yes,,yes,,No issues
a000197,andy,2020-10-27,yes,,yes,,yes,,1,1,https://osf.io/946vb/,yes,,https://osf.io/946vb/,yes,,OSF,yes,,yes,,No issues
a000330,andy,2020-10-27,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/WD3IUA,other,"Link goes to Harvard Datverse repository for a different article (Grimmelikhuijsen, 2019).",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA,yes,,Harvard Dataverse,yes,,yes,,Link to different article repository. Search for author's name on Harvard Dataverse found the correct repository and files at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB. Appears to be an overlap in volume and issue number between the 2 papers.
a000380,andy,2020-10-27,yes,,yes,,yes,,1,1,https://osf.io/w2434/,yes,,https://osf.io/w2434/,yes,,OSF,yes,,yes,,No issues
