article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,Aniruddah,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/n6pfz,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,"Link to ""supplementary materials"" was provided, but explicity link to open data was given the higher priority in this case."
intro02,Aniruddah,2020-04-07,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,no,,"Link to download the data from the explicitly cited repo did not work, plus download size was quoted to be more than 1GB."
intro03,Aniruddah,2020-04-07,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,No mention to any supplementary data or materials. Clear article to work through.
intro04,Aniruddah,2020-04-07,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,"Again, like most psychology articles, supplementary data is provided in SAGE Journals, but it does not seem to be of primary importance."
intro05,Aniruddah,2020-04-07,yes,,yes,,yes,,1,,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Harvard Dataverse,yes,,yes,,"Here, the repo link contained two different data sets, and intuition via cross-referencing data set and article publishing dates helped identify which data set to download."
intro06,Aniruddah,2020-04-07,yes,,yes,,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,"The mention of the data repo link was vague compared to other articles, but seemed to be the best link in the article."
intro07,Aniruddah,2020-04-08,yes,,yes,,yes,,1,1,osf.io/8jxsr/.,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,other,File download is taking too long,"No other problems with this article, except that the file download is taking too long (over an hour), assuming that final download size may be more than 100MB."
intro08,Aniruddah,2020-04-08,yes,,yes,,yes,,1,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/web/NACDA/studies/4652/versions/V7,yes,,ICPSR (Inter-university Consortium for Political and Social Research,yes,,yes,,"Two links were provided in this article, but both lead to the same data repository - ICPSR - and hence only one link is chosen here."
intro09,Aniruddah,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,No problems with article.
intro10,Aniruddah,2020-04-08,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Link redirects to an IP address that cannot be found,http://pisa2006.acer.edu.au/downloads.php,,,,,,,,"The data repo link listed in the open practices disclosure pdf under the supplementary materials page for this article in SAGE journals is the same as this link, and hence, no other explicity link seems to indicate to the data."
a000003,Aniruddah,2020-04-16,yes,,yes,,yes,,1,1,osf.io/myqn9,yes,,https://osf.io/myqn9/,yes,,OSF,yes,,yes,,No issues with this article.
a000101,Aniruddah,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/etrcd/,yes,,https://osf.io/etrcd/,yes,,OSF,yes,,yes,,No issues with this article.
a000175,Aniruddah,2020-04-16,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/BPON3K,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BPON3K,yes,,Harvard Dataverse,yes,,yes,,No issues with this article.
