article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro01,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/n6pfz/,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro02,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,no,,"I can not download the file, a new window just popped up and said 'something went wrong'",
intro03,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro04,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441.,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,I didn't have any problems with this article,
intro05,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Harvard Dataverse,yes,,yes,,I didn't have any problems with this article,
intro06,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,Statement about open data being available was in coding procedure section,
intro07,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro08,kongmanas,2020-04-02,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,,NACDA,yes,,other,Need to register to access to NACDA,The registration is needed to download the data file,
intro08,kongmanas,2020-04-02,yes,,yes,,yes,,2,2,http://midus.colectica.org/,other,Need to register to access to the MIDUS Portal’s content and functionality.,,,,,,,,,The registration is needed to access to the link destination,
intro09,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro10,kongmanas,2020-04-02,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The site can’t be reached,,,,,,,,,The provided link didn't work,
a000042,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,,https://osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000074,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/t9c52/,yes,,https://osf.io/t9c52,yes,,OSF,no,,,,There is no available data file; only said 'no response',
a000119,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/3ymbu/,yes,,https://osf.io/3ymbu,yes,,OSF,no,,,,There is no available data file.,
a000151,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/ugdcz/,yes,,https://osf.io/ugdcz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000156,kongmanas,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/3csng/,yes,,https://osf.io/3csng/,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
