article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,matthew,2020-04-10,yes,,yes,,yes,,1,1,http://dx.doi.org/10.1037/com0000191.supp,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,No problems with this article
intro02,matthew,2020-04-10,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,no,,"Tried to download as zip, failed, download as csv succeeded, however, csv file had no data available"
intro03,matthew,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/.,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,No problems with this article
intro04,matthew,2020-04-10,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,No problems with this article
intro05,matthew,2020-04-10,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Havard Dataverse,yes,,yes,,"Linkes to two sets of data, both were included in the 'data' file of the google docs"
intro06,matthew,2020-04-10,yes,,other,No specific mention of availability of data. They say they have registered their procedure on the OSF.,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,Availability of data not specifically mentioned. 
intro07,matthew,2020-04-10,yes,,yes,,yes,,1,1,osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,partial,Download started but took longer than 15 minutes,Download took too long
intro08,matthew,2020-04-10,yes,,yes,,,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/web/NACDA/studies/4652/version/6,other,NACDA,,other,"Link gave me another link, saying data has been updated since the research, however, this link did not work",no,,Link did not lead to data
intro08,matthew,2020-04-10,yes,,yes,,yes,,2,2,http://midus.colectica.org/,yes,,https://midus.colectica.org/Account/Login,no,MIDUS,,other,Requires login,no,,Link required login
intro09,matthew,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,,,No problems with this article
intro10,matthew,2020-04-10,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,,,,,,,,,,The link provided does not work
a000019,matthew,2020-04-15,yes,,yes,,yes,,1,1,https://doi.org/10.17605/OSF.IO/YVE8F,yes,,https://osf.io/yve8f/,yes,,OSF,yes,,yes,,No problems with this article
a000165,matthew,2020-04-15,yes,,yes,,yes,,2,1,https://osf.io/uwzsb/,yes,,https://osf.io/uwzsb/,yes,,OSF,yes,Data was separated into two files,yes,,"There were two links available, but both were the same link."
a000185,matthew,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379,yes,,https://osf.io/38apk/?view_only=66833d11e36f4af8a17e56d45ac5e379,yes,,OSF,yes,,yes,,No problems with this article
a000281,matthew,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/rf28u/,yes,,https://osf.io/rf28u/files/,yes,,OSF,yes,,yes,,No problems with this article
a000389,matthew,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/kq897,yes,,https://osf.io/kq897,yes,,OSF,yes,,yes,,No problems with this article
