article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro01,Michelle,2020-04-02,yes,,yes,,yes,,1,1,10.17605/osf.io/n6pfz,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro02,Michelle,2020-04-02,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,NYU,yes,,no,Everytime I try to download the files it directs me to: https://nyu.databrary.org/volume/79/zip/false and says 'Something Went Wrong',,
intro03,Michelle,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro04,Michelle,2020-04-02,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,DRYAD,yes,,yes,,Data set is supplement to https://doi.org/10.1177/0956797614533801,
intro05,Michelle,2020-04-02,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,HARVARD,yes,,yes,,I didn't have any problems with this article,
intro06,Michelle,2020-04-02,yes,,yes,,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro07,Michelle,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,other,"Tried downloading the zip file about 5 times, and it does not seem to be more than 100MB, but it doesn't seem to download completely",,
intro08,Michelle,2020-04-02,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,,NACDA,other,"Files exist, but the link in the article directs to the website stating the data (version 6) has now been updated (version 7)",partial,"Could download all 'Document only' data, when I tried to download the other ones such as 'SAS', 'SPSS' etc, it takes me into a login screen","I have put in the Document Only download in the data file, but other remaining ones could not be done",
,,,,,,,,,,2,http://midus.colectica.org/,other,"Works, but takes me to login screen",https://midus.colectica.org/Account/Login,other,Not 100% sure,MIDUS,other,Could not access files without login,other,Could not download without login,"I am not sure if the second link is related to Open Data, as the links were put together as data and materials available under the two links",
intro09,Michelle,2020-04-02,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
intro10,Michelle,2020-04-02,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Says the site cannot be reached, server IP cannot be found",http://pisa2006.acer.edu.au/downloads.php,other,Not sure as link would not open,N/A,other,Not sure as link would not open,other,Not sure as link would not open,Main issue here is that the link did not work,
a000009,Michelle,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/x3ypv/,yes,,https://osf.io/x3ypv/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000011,Michelle,2020-04-03,yes,,yes,,yes,,2,1,http://www.ukbiobank.ac.uk/.,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,,BIOBANK,other,"Most likely, but need to log in to access",no,,Need log in to access files,
