article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,nathan,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/n6pfz,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,"Along with the hyberlink to data, the link can also be accessed directly by clicking to the badge in 1st page"
intro02,nathan,2020-04-03,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,other,"In the data link, there are 2 ways to start the download. First is to click to the hyperlink ""Download all folders"" and second is to click to the folder symbol. The latter way works while the formal one has the error.","Note in ""download_success"" column"
intro03,nathan,2020-04-03,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,Not have any problems
intro04,nathan,2020-04-04,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,Dryad,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data."
intro05,nathan,2020-04-04,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Harvard Dataverse,yes,,yes,,Not have any problems
intro06,nathan,2020-04-04,yes,,yes,,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,"The ''data available statement'' is not written in a sepearate section (e.g in Open Practices, Supplementary Data or in footnote), but is included in text (page 4th)"
intro07,nathan,2020-04-04,yes,,yes,,yes,,1,1,osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,yes,,"Along with the hyberlink to data, the link can also be accessed directly by clicking to the badge in 1st page"
intro08,nathan,2020-04-04,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,,Interuniversity Consortium for Political and Social Research,yes,,other,Need to create an account to be able to download buy I have created one and downloaded data successfully.,"- The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment.
- Notes in ''download_success"""
intro08,nathan,2020-04-04,yes,,yes,,yes,,2,1,http://midus.colectica.org/,yes,,https://midus.colectica.org/Account/Login,other,"The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. The data link is the official page of the survey.",,,,other,Need to create an account to be able to download but there is an error when register new account.,"- The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment.
- Notes in ''download_success"" and ""is_repository_other"" columns."
intro09,nathan,2020-04-04,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,Not have any problems
intro10,nathan,2020-04-04,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"The link said ""This site can't be reach/ server IP address could not be found",,,,,,,,,"Note in ""link_work"" column: The link does not work"
a000105,nathan,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/4zwsd,yes,,https://osf.io/4zwsd/,yes,,OSF,yes,,yes,,"There was a link to ""supplementary material "" at the journal's website - this link was ignored, since it just contains additional graph and analysis, instead of data."
