article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,oliver,2020-04-02,yes,,yes,,yes,,1,1,osf.io/n6pfz/,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,OD & OM badge shares the same link.
intro02,oliver,2020-04-02,yes,,yes,,yes,,1,1,nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,other,">1GB file, did not attempt",I didn't have any problems with this article
intro03,oliver,2020-04-02,yes,,yes,,yes,,1,1,osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro04,oliver,2020-04-02,yes,,yes,,yes,,1,1,datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,DRYAD,yes,,yes,,I didn't have any problems with this article
intro05,oliver,2020-04-02,yes,,yes,,yes,,1,1,thedata.harvard.edu/dvn/dv/PainData,yes,,http://thedata.harvard.edu/dvn/dv/PainData,other,Harvard version of Dataverse,Dataverse,other,Yes. Replication data also present.,yes,,"There are 2 datasets - one for original, and one for replication. As a result, link is to landing page as I could not choose one direct doi link over the other."
intro06,oliver,2020-04-02,yes,,no,,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,"OSF link buried in PDF, no statement, only footnote - found with CTRL-F"
intro07,oliver,2020-04-02,yes,,yes,,yes,,1,1,osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro08,oliver,2020-04-02,yes,,yes,,yes,,2,1,doi.org/10.3886/ICPSR04652.v6,other,"Outdated link. Redirects you to landing page where you click ""V7""",https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/versions/V7,other,"Seems to be repository - however, is specialised/obscure. UMich version of NACDA, which is tied to ICPSR. TBC",NACDA,yes,,other,Highly stratified files. Need NACDA membership to download.,"Many datasets, and each dataset have several segements within. Was not able to test a download without NACDA membership - it is beyond UoM affiliate partnerships. There are 2 links, but only 1 takes you to a dataset."
intro09,oliver,2020-04-02,yes,,yes,,yes,,1,1,osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,partial,"Many files. Tested one. Was successful, able to download from host.","Many datasets, and highly stratified within each. Can only download as zip file for each dataset - not the entire collection."
intro10,oliver,2020-04-02,yes,,yes,,yes,,1,1,pisa2006.acer.edu.au/downloads.php,no,Dead link. Server could not be found.,Not resolved,other,N/A,N/A,no,,other,Could not access site.,Dead link
a000045,oliver,2020-04-04,yes,,yes,,yes,,1,1,osf.io/u2xct/,yes,,https://osf.io/u2xct/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
a000050,oliver,2020-04-04,yes,,yes,,yes,,1,1,osf.io/2wjgn,yes,,https://osf.io/2wjgn/,yes,,OSF,yes,,partial,"Lots of stratified files.Tested 1 batch of zip files - connection to host was successful, documents downloaded.",No problems otherwise
a000074,oliver,2020-04-04,yes,,yes,,yes,,1,1,osf.io/t9c52/,yes,,https://osf.io/t9c52,yes,,OSF,yes,,yes,,Link takes some time to redirect. OSF website design was different than usual.
