article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
demo01,steve,2020-04-02,yes,,yes,,yes,,1,1,http://tiny.cc/l4wacz,yes,,https://osf.io/g3h52/?view_only=None,yes,,OSF,yes,,yes,,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
demo02,steve,2020-04-02,yes,,yes,,yes,,1,1,osf.io/uh3in,yes,,https://osf.io/uh3in/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro01,phuong,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/n6pfz/,yes,,https://osf.io/n6pfz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro02,phuong,2020-04-06,yes,,yes,,yes,,1,1,https://nyu.databrary.org/volume/79,yes,,https://nyu.databrary.org/volume/79,yes,,Databrary,yes,,partial,cannot dowload all folders as zip,
intro03,phuong,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/9w8pg/,yes,,https://osf.io/9w8pg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro04,phuong,2020-04-06,yes,,yes,,yes,,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,,DRYAD,yes,,yes,,I didn't have any problems with this article
intro05,phuong,2020-04-06,yes,,yes,,yes,,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,,https://dataverse.harvard.edu/dataverse/PainData,yes,,Harvard Dataverse,yes,,yes,,The link points to a page containing datatsets from 2 different research papers
intro06,phuong,2020-04-06,yes,,yes,,yes,,1,1,osf.io/zw6jg/,yes,,https://osf.io/zw6jg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro07,phuong,2020-04-06,yes,,yes,,yes,,1,1,osf.io/8jxsr/,yes,,https://osf.io/8jxsr/,yes,,OSF,yes,,yes,,The data statement and link were put in the footnote
intro08,phuong,2020-04-06,yes,,yes,,yes,,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,other,I'm not sure if it is repository,NACDA,yes,,other,files are larger than 100MB,
intro08,phuong,2020-04-06,yes,,yes,,yes,,2,2,https://midus.colectica.org/,yes,,https://midus.colectica.org/,other,I'm not sure if it is repository,MIDUS,yes,,other,files are larger than 100MB,
intro09,phuong,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/xehfu/,yes,,https://osf.io/xehfu/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
intro10,phuong,2020-04-06,yes,,yes,,yes,,1,1,http://pisa2006.acer.edu.au/downloads.php,no,this site can't be reached,http://pisa2006.acer.edu.au/downloads.php,,,,,,,,
a000005,phuong,2020-04-06,yes,,yes,,yes,,1,1,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,,OSF,yes,,yes,,I didn't have any problems with this article
a000057,phuong,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/pqf9r/,yes,,https://osf.io/pqf9r/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
a000148,phuong,2020-04-08,yes,,yes,,yes,,2,1,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,,OSF,yes,,yes,,There were 2 datasets for 2 studies 
a000009,phuong,2020-04-08,yes,,yes,,yes,,1,1,https://osf.io/x3ypv/,yes,,https://osf.io/x3ypv/,yes,,OSF,yes,,yes,,I didn't have any problems with this article
