article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000123,steve,2020-05-21,yes,,yes,,yes,,1,1,https://osf.io/x6wcb,yes,,https://osf.io/x6wcb/,yes,,OSF,yes,,yes,,"Straightforward, no issues"
a000233,steve,2020-05-21,yes,,no,,no,,0,,,,,,,,,,,,,Could not find a link to shared data in paper or on website
a000272,steve,2020-08-31,yes,,yes,,yes,,2,1,https://osf.io/p6jfq/,yes,,https://osf.io/p6jfq,yes,,OSF,yes,,yes,,"Straightforward, no issues"
a000272,steve,2020-08-31,yes,,yes,,yes,,2,2,https://osf.io/vhme2/,yes,,https://osf.io/vhme2,yes,,OSF Registries,yes,,yes,,"Contains code for calculating indices, so relevant despite being labelled a link to materials"
a000403,steve,2020-05-21,yes,,yes,,yes,,1,1,https://osf.io/92xqk/,yes,,https://osf.io/92xqk/,yes,,OSF,yes,,yes,,"Straightforward, no issues"
a000592,steve,2020-05-21,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/24885,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/24885,yes,,Harvard Dataverse,yes,,yes,,"Straightforward, no issues"
a000911,steve,2020-05-21,yes,,yes,,yes,,1,1,https://osf.io/kxdm9/,yes,,https://osf.io/kxdm9/,yes,,OSF,yes,,yes,,"Straightforward, no issues"
a000954,steve,2020-05-21,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/2VF2J0,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2VF2J0,yes,,Harvard Dataverse,yes,,yes,,"Straightforward, no issues"
a001338,steve,2020-05-21,yes,,yes,,yes,,1,1,https://osf.io/93m8y/,yes,,https://osf.io/93m8y/,yes,,OSF,yes,,yes,,Repository also contains data for commentary in separate module - may be relevant
a001381,steve,2020-05-21,yes,,yes,,yes,,1,1,https://osf.io/npqgz,yes,,https://osf.io/npqgz/,yes,,OSF,yes,,yes,,"Straightforward, no issues"
a001614,steve,2020-05-21,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG,no,Asks for a login - may be a not found error,,,,,,,,,"DOI could not be found, either - searching by author on dataverse does not return this study"
a000032,steve,2020-07-06,yes,,yes,,yes,,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,yes,,HyMeX database,other,Account registration required,no,,Account required to access the HyMeX database
a000116,steve,2020-07-06,yes,,yes,,yes,,1,1,https://osf.io/gzytb/,yes,,https://osf.io/gzytb/,yes,,OSF,yes,,yes,,"Straightforward, no issues"
a000117,steve,2020-07-06,yes,,yes,,yes,,1,1,http://archaeologydataservice.ac.uk/archives/view/greylit/,yes,,https://archaeologydataservice.ac.uk/archives/view/greylit/,yes,,Archaeology Data Service,no,,,,This open data referred to seems to be a downloadable set of bibliographic data which doesn't seem accessible in 2020.
a000162,steve,2020-07-06,yes,,yes,,yes,,1,1,https://doi.pangaea.de/10.1594/PANGAEA.896587,yes,,https://doi.pangaea.de/10.1594/PANGAEA.896587,yes,,PANGAEA,yes,,yes,,"Straightforward, no issues"
a000171,steve,2020-07-06,yes,,yes,,yes,,8,1,https://doi.org/10.6092/SNAP.cbbba251c17b55c737836768c8737589,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.cbbba251c17b55c737836768c8737589,yes,,SNAP,yes,,partial,"Link contains 31 separate XML files to download, just downloaded the first one","Auto logged in as guest, had to agree to restrictive conditions before viewing files, landing page required an extra click to actually view files"
