study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_note
a000140,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn/,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,article pdf had badge when inspected
a000140,oliver,2020-04-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,article pdf had badge when inspected
a000211,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,article pdf had badge when inspected
a000211,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8gyns/,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,article pdf had badge when inspected
a000502,evelyn,2020-05-30,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8q769/,yes,NA,https://osf.io/8q769/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,article pdf had badge when inspected
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,http://osf.io/5itqa,yes,NA,https://osf.io/5itqa,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,article pdf had badge when inspected
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,http://osf.io/8q769,yes,NA,https://osf.io/8q769,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,article pdf had badge when inspected
a000502,oliver,2020-04-25,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,article pdf had badge when inspected
a000595,matthew,2020-04-22,no,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17632/42djnzsw8f,yes,NA,https://data.mendeley.com/datasets/42djnzsw8f/2,yes,NA,Mendeley Data,yes,NA,yes,NA,No problems with this article,FALSE,"no badges in pdf or on website, but text statement indicates badges. Legitimate use of other."
a000595,oliver,2020-04-04,other,"No graphical badge, but awarded badges are listed, as text",yes,NA,yes,NA,1,1,osf.io/yn7bm,yes,NA,https://osf.io/yn7bm,yes,NA,OSF,yes,NA,yes,NA,NA,TRUE,"no badges in pdf or on website, but text statement indicates badges. Legitimate use of other."
