study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_notes,corrected_link_url
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/,other,"link works, but is to the generic homepage. More detail needed in order to find the actual data used.",https://www.ukbiobank.ac.uk/,yes,NA,UK Biobank,other,Registration and approval is required to access any data files,no,NA,Data is locked behind a registration and approval process,TRUE,,
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/.,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,FALSE,copy-and-paste error,https://www.ukbiobank.ac.uk/
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/x8rnq/,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,other,"Yes, but files are being checked out by the creator (so may not be up to date)",yes,NA,One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made,TRUE,This link (with code) should be included,
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/x8rnq/,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,yes,NA,yes,NA,code used for analysis so relevant - code file was checked out on OSF even though it could be downloaded etc.,TRUE,,
a000011,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://www.ukbiobank.ac.uk/,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK BioBank,other,leads to the repository home page,no,NA,"There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.",FALSE,coder pasted resolved url,http://www.ukbiobank.ac.uk/
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,3,doi-org.ezp.lib.unimelb.edu.au/10.25540/3wd8-dffw,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,coder included uni proxy,https://doi.org/10.25540/3wd8-dffw.
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,2,five.dartmouth.edu/datasets,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,coder cleaned url,http://five.dartmouth.edu/datasets
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,2,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,TRUE,,
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,TRUE,,
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.25540/3wd8-dffw.,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,NUS Libraries,yes,NA,other,"only allows me to view the files, but not download them",NA,TRUE,,
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,1,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,National University of Singapore Library,yes,NA,no,NA,Need to enter details to download files,FALSE,pasted revolved url,https://doi.org/10.25540/3wd8-dffw.
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,1,osf.io/tvyxz/files,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,"Irrelevant or error, delete",
a000041,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.17605/OSF.IO/GDTPM,yes,NA,https://osf.io/gdtpm/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000041,kongmanas,2020-04-12,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.17605/OSF.IO/GDTPM,yes,NA,https://osf.io/gdtpm/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",TRUE,,
a000041,oliver,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,OSF.IO/GDTPM,yes,NA,https://osf.io/gdtpm/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,coder cleaned url,http://doi.org/10.17605/OSF.IO/GDTPM
a000047,sophia,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/g3rnt/,yes,NA,https://osf.io/g3rnt/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,,
a000047,steve,2020-08-26,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/g3rnt/,yes,NA,https://osf.io/g3rnt/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",TRUE,,
