study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,use_code,review_note
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/.,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,,on review this is the best way to code this situation
a000011,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://www.ukbiobank.ac.uk/,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK BioBank,other,leads to the repository home page,no,NA,"There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.",https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,,technically correct but not optimal coding
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK Biobank,other,Registration and approval is required to access any data files,no,NA,Data is locked behind a registration and approval process,NA,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,,I have updated my coding
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,1,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,National University of Singapore Library,yes,NA,no,NA,Need to enter details to download files,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,TRUE,link clearly works
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,3,doi-org.ezp.lib.unimelb.edu.au/10.25540/3wd8-dffw,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,FALSE,response due to coder error
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.25540/3wd8-dffw.,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,NUS Libraries,yes,NA,other,"only allows me to view the files, but not download them",NA,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,TRUE,link clearly works
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,2,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,link clearly works
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,2,five.dartmouth.edu/datasets,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,FALSE,response due to coder error
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,link clearly works
a000127,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/ezqft/,no,Link was invalid (lead to Page not found),NA,NA,NA,NA,NA,NA,NA,NA,Link was invalid (lead to Page not found) - apparently resolved to https://osf.io/ezqft/%20and%20https://osf.io/6rfmv/,https://osf.io/ezqft/,https://osf.io/ezqft/,osf.io/ezqft,FALSE,link works on check - coder must have hit server downtime
a000127,sophia,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ezqft/,yes,NA,https://osf.io/ezqft/,yes,NA,OSF,yes,NA,yes,NA,There was a separate link for the materials which was not inlcuded here.,https://osf.io/ezqft/,https://osf.io/ezqft/,osf.io/ezqft,TRUE,link works on check
