study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_url,link_number,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,use_code,review_note
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,http://www.ukbiobank.ac.uk/.,1,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"on review this is the best way to code this situation, but my coding expresses it better"
a000011,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,https://www.ukbiobank.ac.uk/,1,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK BioBank,other,leads to the repository home page,no,NA,"There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.",http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,technically correct but not optimal coding
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,http://www.ukbiobank.ac.uk/,1,other,"link works, but is to the generic homepage. More detail needed in order to find the actual data used.",https://www.ukbiobank.ac.uk/,yes,NA,UK Biobank,other,Registration and approval is required to access any data files,no,NA,Data is locked behind a registration and approval process,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,TRUE,I updated my coding between iter01 and iter02
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,https://scholarbank.nus.edu.sg/handle/10635/150104,1,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,National University of Singapore Library,yes,NA,no,NA,Need to enter details to download files,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,TRUE,link clearly works
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,doi-org.ezp.lib.unimelb.edu.au/10.25540/3wd8-dffw,3,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,FALSE,response due to coder error
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,https://doi.org/10.25540/3wd8-dffw.,2,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,NUS Libraries,yes,NA,other,"only allows me to view the files, but not download them",NA,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,TRUE,link clearly works
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,http://five.dartmouth.edu/datasets,2,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,link clearly works
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,five.dartmouth.edu/datasets,2,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,FALSE,response due to coder error
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,http://five.dartmouth.edu/datasets,1,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,link clearly works
a000127,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,2,https://osf.io/ezqft/,1,no,Link was invalid (lead to Page not found),NA,NA,NA,NA,NA,NA,NA,NA,Link was invalid (lead to Page not found) - apparently resolved to https://osf.io/ezqft/%20and%20https://osf.io/6rfmv/,https://osf.io/ezqft/,https://osf.io/ezqft/,osf.io/ezqft,FALSE,link works on check - coder must have hit server downtime
a000127,sophia,2020-04-16,yes,NA,yes,NA,yes,NA,1,https://osf.io/ezqft/,1,yes,NA,https://osf.io/ezqft/,yes,NA,OSF,yes,NA,yes,NA,There was a separate link for the materials which was not inlcuded here.,https://osf.io/ezqft/,https://osf.io/ezqft/,osf.io/ezqft,TRUE,link works on check
a000136,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,https://osf.io/9d6t4/,1,yes,NA,https://osf.io/9d6t4/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.,NA,https://osf.io/9d6t4/,osf.io/9d6t4,TRUE,link works on check
a000136,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,https://osf.io/9d6t4/,1,no,The provided link does not work,NA,NA,NA,NA,NA,NA,NA,NA,The provided link does not work,NA,https://osf.io/9d6t4/,osf.io/9d6t4,FALSE,link works on check - coder must have hit server downtime
a000168,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,http://doi.org/10.3886/ICPSR21600.v17,1,yes,NA,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,yes,NA,ICPSR,other,Data had been updated to V21. Link to updated data provided and downloaded.,yes,NA,Files were hard to find and took a long time to download. File size was 143MB so did not upload to Drive,NA,http://doi.org/10.3886/ICPSR21600.v17,doi.org/10.3886/ICPSR21600.v17,TRUE,link works on check
a000168,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,http://doi.org/10.3886/ICPSR21600.v17,1,other,Multiple versions of the data are available,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,yes,NA,Interuniversity Consortium for Political and Social Research,other,"Multiple versions of the data are available, however files for each version are present",other,Latest version of the data was greater than 100MB,"Multiple versions of the data are available, however files for each version are present. The latest version of the data was greater than 100MB and was therefore not downloaded.",NA,http://doi.org/10.3886/ICPSR21600.v17,doi.org/10.3886/ICPSR21600.v17,FALSE,use of other more relevant at files_exist stage
a000267,evelyn,2020-05-08,yes,NA,yes,NA,other,provides doi,1,doi:10.7910/DVN/W2HZSO,1,other,article and data materials appear in google search,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,Did not have a direct link tot the files. Instead doi was provided to which the first google result is the article.,NA,doi:10.7910/DVN/W2HZSO,doi:10.7910/DVN/W2HZSO,FALSE,DOI works on check
a000267,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,doi:10.7910/DVN/W2HZSO,1,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,doi:10.7910/DVN/W2HZSO,doi:10.7910/DVN/W2HZSO,TRUE,DOI works on check
