study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_note
a000367,evelyn,2020-05-18,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,no,Doi cannot be found,NA,NA,NA,NA,NA,NA,NA,NA,Doi cannot be found,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a000367,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,no,the link destination was not found,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a000367,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,no,"""DOI Not Found' error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a000493,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,1,https://www.iris‐database.org/iris/app/home/detail?id=york:934328,no,the link destination was not found,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,TRUE,"There is a reference to open data without a link. Also, the open data link provided is for another paper"
a000493,nguyenlam,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,no,The link does not work.,NA,NA,NA,NA,NA,NA,NA,NA,The link does not work.,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,TRUE,"There is a reference to open data without a link. Also, the open data link provided is for another paper"
a000562,steve,2020-07-24,yes,NA,yes,NA,yes,NA,3,3,https://10.6084/m9.figshare.9227495,other,"This URL is malformed; the doi.org/ part is missing, it worked once corrected",https://figshare.com/articles/EEG_data_from_Subject_16_to_Subject_30_read_me/9227495,yes,NA,figshare,yes,NA,other,Total download size exceeded 100MB,Very large data set (2.89GB),https://10.6084/m9.figshare.9227495,https://10.6084/m9.figshare.9227495,10.6084/m9.figshare.9227495,FALSE,"coded by me, looks ok"
a000750,steve,2020-08-09,yes,NA,no,NA,yes,NA,2,2,https://osf.io.yiupc,other,"There was a typo in the URL as supplied, easily fixed",https://osf.io/yiupc/,yes,NA,OSF,yes,NA,yes,NA,"Unclear if this data was for the present article, or the article they were responding to",https://osf.io.yiupc,https://osf.io.yiupc,osf.io.yiupc,FALSE,"coded by me, looks ok"
a000770,nguyenlam,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://doi:10.7910/DVN/TJKIWN,other,"The given does not directly lead to repository page, but lead to a Google search result page. The correct link to data reposiitory is the first result on Googel search page.",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TJKIWN,yes,NA,Harvard Daraverse,yes,NA,yes,NA,"Note in ""link_work_noother""",NA,http://doi:10.7910/DVN/TJKIWN,doi:10.7910/DVN/TJKIWN,FALSE,"url was malformed, but both coders figured out what was intended"
a000770,sophia,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,http://doi:10.7910/DVN/TJKIWN,other,"Redirect notice', but the link http://doi.og/10.7910/DVN/TJKIWN works",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TJKIWN,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://doi:10.7910/DVN/TJKIWN,doi:10.7910/DVN/TJKIWN,FALSE,"url was malformed, but both coders figured out what was intended"
a000777,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,dx.doi.org/10.7910/DVN/LWED0F,no,Could not resolve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dx.doi.org/10.7910/DVN/LWED0F,dx.doi.org/10.7910/DVN/LWED0F,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a000777,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LWED0F,no,"""DOI not found"" page",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://dx.doi.org/10.7910/DVN/LWED0F,dx.doi.org/10.7910/DVN/LWED0F,TRUE,"Link really doesn't work (invalid DOI), but repo can be found via searching"
a000792,steve,2020-07-09,yes,NA,yes,NA,yes,NA,6,4,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,other,Encoding issue with hyphens/dashes when copied and pasted directly from PDF,https://catalogue.ceh.ac.uk/documents/f52f012d-9f2e-42cc-b628-9cdea4fa3ba0,yes,NA,NERC Environmental Information Data Centre,yes,NA,other,Account required to access data; could download metadata and documentation,"DOIs only, rather than URLs. Account required to access data; could download metadata and documentation",NA,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0,FALSE,"coded by me, looks ok"
a000880,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site can' be reached,NA,NA,NA,NA,NA,NA,NA,NA,Link did not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,aniruddah,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Link redirects to an IP address that cannot be found,NA,NA,NA,NA,NA,NA,NA,NA,"The data repo link listed in the open practices disclosure pdf under the supplementary materials page for this article in SAGE journals is the same as this link, and hence, no other explicity link seems to indicate to the data.",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,NA,NA,NA,NA,NA,NA,NA,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The site can’t be reached,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The link provided does not work,NA,NA,NA,NA,NA,NA,NA,NA,The link provided does not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Says the site cannot be reached, server IP cannot be found",NA,NA,NA,NA,NA,NA,NA,NA,Main issue here is that the link did not work,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"The link said ""This site can't be reach/ server IP address could not be found",NA,NA,NA,NA,NA,NA,NA,NA,"Note in ""link_work"" column: The link does not work",NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,pisa2006.acer.edu.au/downloads.php,no,Dead link. Server could not be found.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
a000880,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,this site can't be reached,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://pisa2006.acer.edu.au/downloads.php,pisa2006.acer.edu.au/downloads.php,FALSE,The link definitely doesn't work
