study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a000071,oliver,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,osf.io/856cs/,yes,NA,https://osf.io/856cs/,yes,NA,OSF,yes,NA,yes,NA,NA,https://osf.io/856cs/,https://osf.io/856cs/,osf.io/856cs,FALSE,extra link coded by me,Law and Human Behavior,10.1037/lhb0000300,2018,"Rivera, Luis M.; Veysey, Bonita M.",Implicit self-criminal cognition and its relation to criminal behavior.
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/856cs/,yes,NA,https://osf.io/856cs/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",https://osf.io/856cs/,https://osf.io/856cs/,osf.io/856cs,FALSE,extra link coded by me,Law and Human Behavior,10.1037/lhb0000300,2018,"Rivera, Luis M.; Veysey, Bonita M.",Implicit self-criminal cognition and its relation to criminal behavior.
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,2,http://re3data.org/,yes,NA,https://www.re3data.org/,yes,NA,re3data,no,NA,NA,NA,This is a registry of repositories; it doesn't make sense for the data to be hosted here directly,http://re3data.org/,http://re3data.org/,re3data.org,FALSE,extra link coded by me,Law and Human Behavior,10.1037/lhb0000300,2018,"Rivera, Luis M.; Veysey, Bonita M.",Implicit self-criminal cognition and its relation to criminal behavior.
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,1,https://osf.io/8x6dw/,yes,NA,https://osf.io/8x6dw,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",https://osf.io/8x6dw/,https://osf.io/8x6dw/,osf.io/8x6dw,FALSE,recoded by me to confirm unusual link issue,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000146,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF,yes,NA,yes,NA,NA,https://osf.io/j8wdv,https://osf.io/j8wdv,osf.io/j8wdv,FALSE,recoded by me to confirm unusual link issue,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,2,https://osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF Registries,yes,NA,yes,NA,"This is not directly linked from the article, but very indirectly via the non-registered version of the linked OSF project",https://osf.io/j8wdv,https://osf.io/j8wdv,osf.io/j8wdv,FALSE,recoded by me to confirm unusual link issue,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000146,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,http://www.osf.io/xf7rn,yes,NA,https://osf.io/xf7rn/,yes,NA,OSF,yes,NA,yes,NA,No issues,NA,NA,NA,TRUE,iter03: this record should be dropped,Psychological Science,10.1177/0956797617710785,2017,"Kievit, Rogier A.; Lindenberger, Ulman; Goodyer, Ian M.; Jones, Peter B.; Fonagy, Peter; Bullmore, Edward T.; Network, the Neuroscience in Psychiatry; Dolan, Raymond J.",Mutualistic Coupling Between Vocabulary and Reasoning Supports Cognitive Development During Late Adolescence and Early Adulthood
a000160,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,2,2,https://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,yes,NA,Childes Talkbank,other,Require to search for journal with the provided link,no,NA,Require to search for journal with the provided link,http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,TRUE,iter03: this record should be dropped,Psychological Science,10.1177/0956797616677753,2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",The Emergence of an Abstract Grammatical Category in Children’s Early Speech
a000160,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,http://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,other,"Not a familiar page, i don't know if it is a repository",CHILDES,other,The link lead to the homepage of CHILDES and the user interface was not friendly in locating the file,no,NA,"The link lead to the homepage of the repository, which made the user manually find the data to the document, after looking for it for 10 minutes, I could not locate the file",http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,TRUE,iter03: this record should be dropped,Psychological Science,10.1177/0956797616677753,2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",The Emergence of an Abstract Grammatical Category in Children’s Early Speech
a000160,michelle,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,http://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,yes,NA,TALKBANK,other,"Cannot seem to find specific data to the article, tried going on 'Browse Database' but no indication of which data was used",no,NA,Cannot find appropriate data via website given in article,http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,TRUE,iter03: this record should be dropped,Psychological Science,10.1177/0956797616677753,2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger",The Emergence of an Abstract Grammatical Category in Children’s Early Speech
