study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_url,link_number,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,use_code,review_note
a000001,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,1,osf.io/d2jwb/,1,yes,NA,https://osf.io/d2jwb/files/,yes,NA,OSF,yes,NA,yes,NA,NA,NA,osf.io/d2jwb/,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb,TRUE,"iter01: coder who coded ""no"" likely missed subtle ""files"" link. Recode this to ensure a second coder?"
a000001,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,https://osf.io/d2jwb,1,yes,NA,https://osf.io/d2jwb,yes,NA,OSF,no,NA,NA,NA,OSF page was empty,NA,https://osf.io/d2jwb,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb,FALSE,"iter01: coder who coded ""no"" likely missed subtle ""files"" link. Recode this to ensure a second coder?"
a000001,steve,2020-11-22,yes,NA,yes,NA,yes,NA,1,https://osf.io/d2jwb,1,yes,NA,https://osf.io/d2jwb,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA,https://osf.io/d2jwb,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb,TRUE,"iter02: steve coded, confirmed ""yes"" value"
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,https://scholarbank.nus.edu.sg/handle/10635/150104,1,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,National University of Singapore Library,yes,NA,no,NA,Need to enter details to download files,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104,FALSE,iter02: steve coded and captured correct files_exist value for this case (agreement required)
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,https://doi.org/10.25540/3wd8-dffw.,2,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,NUS Libraries,yes,NA,other,"only allows me to view the files, but not download them",NA,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104,FALSE,iter02: steve coded and captured correct files_exist value for this case (agreement required)
a000031,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,https://doi.org/10.25540/3wd8-dffw,2,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,ScholarBank@NUS,other,Need to fill out a 'guestbook' and accept terms of use before being allowed to download,other,"There was one file (scans.zip) which has status ""CLOSED; Request a copy""; this is because it has been superceded by a v2 of the file. Accessible scans file (Scans v2.zip) was 2.41GB - downloaded to check, but file not uploaded to Google Drive","The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104,TRUE,iter02: steve coded and captured correct files_exist value for this case (agreement required)
a000032,andy,2020-07-16,yes,NA,yes,NA,yes,NA,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,1,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,other,Repository for a specific research program only,NA,yes,NA,other,Need a a password to login to download,NA,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,FALSE,"iter02: steve and andy coded, steve coded correctly"
a000032,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,1,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,yes,NA,HyMeX database,other,Account registration required,no,NA,Account required to access the HyMeX database,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,TRUE,"iter02: steve and andy coded, steve coded correctly"
a000062,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Dataverse,yes,NA,yes,NA,Dataverse contained 2 different folders for separate projects. Actual data was in 2nd folder. Redirected site for 2nd folder was 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27813',NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
a000062,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,http://thedata.harvard.edu/dvn/dv/PainData,1,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Here, the repo link contained two different data sets, and intuition via cross-referencing data set and article publishing dates helped identify which data set to download.",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,TRUE,
