study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/.,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"iter01: steve coded, issue is that account registration required"
a000011,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://www.ukbiobank.ac.uk/,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK BioBank,other,leads to the repository home page,no,NA,"There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.",http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"iter01: steve coded, issue is that account registration required"
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/,other,"link works, but is to the generic homepage. More detail needed in order to find the actual data used.",https://www.ukbiobank.ac.uk/,yes,NA,UK Biobank,other,Registration and approval is required to access any data files,no,NA,Data is locked behind a registration and approval process,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"iter01: steve coded, issue is that account registration required"
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,2,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,"iter01: others coded, want to recode to change link_work to other, due to having to search from generic home page"
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,"iter01: others coded, want to recode to change link_work to other, due to having to search from generic home page"
a000032,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,yes,NA,HyMeX database,other,Account registration required,no,NA,Account required to access the HyMeX database,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,FALSE,"iter01: steve coded, issue is that account registration required"
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,2,http://re3data.org/,yes,NA,https://www.re3data.org/,yes,NA,re3data,no,NA,NA,NA,This is a registry of repositories; it doesn't make sense for the data to be hosted here directly,http://re3data.org/,http://re3data.org/,re3data.org,NA,https://www.re3data.org/,www.re3data.org,FALSE,"iter01: steve coded, this is not a file repository"
a000117,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,http://archaeologydataservice.ac.uk/archives/view/greylit/,yes,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,yes,NA,Archaeology Data Service,no,NA,NA,NA,This open data referred to seems to be a downloadable set of bibliographic data which doesn't seem accessible in 2020.,NA,http://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,FALSE,"iter01: steve coded, looks like data not longer available/exists"
a000119,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3ymbu/,yes,NA,https://osf.io/3ymbu,yes,NA,OSF,no,NA,NA,NA,There is no available data file.,NA,https://osf.io/3ymbu/,osf.io/3ymbu,https://osf.io/3ymbu,https://osf.io/3ymbu,osf.io/3ymbu,TRUE,iter01: already flagged for recoding after the first finalisation of step 4
a000160,evelyn,2020-05-25,yes,NA,yes,NA,yes,NA,2,2,https://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,yes,NA,Childes Talkbank,other,Require to search for journal with the provided link,no,NA,Require to search for journal with the provided link,http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,NA,https://childes.talkbank.org/,childes.talkbank.org,TRUE,"iter01: others coded, want to recode to change link_work to other, due to having to search from generic home page and to add additional links"
