study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_url,link_number,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,https://osf.io/x8rnq/,2,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,other,"Yes, but files are being checked out by the creator (so may not be up to date)",yes,NA,One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made,https://osf.io/x8rnq/,https://osf.io/x8rnq/,osf.io/x8rnq,NA,https://osf.io/x8rnq/,osf.io/x8rnq,FALSE,iter02: issue with files confirmed
a000011,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,https://osf.io/x8rnq/,2,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,other,"One code file was downloadable, but ""checked out"" which means that it was not clear whether it was the final version of the file or not.",yes,NA,code used for analysis so relevant - code file was checked out on OSF even though it could be downloaded etc.,https://osf.io/x8rnq/,https://osf.io/x8rnq/,osf.io/x8rnq,NA,https://osf.io/x8rnq/,osf.io/x8rnq,FALSE,iter02: issue with files confirmed
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,http://www.ukbiobank.ac.uk/.,1,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"iter01: steve coded, issue is that account registration required"
a000011,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,https://www.ukbiobank.ac.uk/,1,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK BioBank,other,leads to the repository home page,no,NA,"There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.",http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"iter01: steve coded, issue is that account registration required"
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,http://www.ukbiobank.ac.uk/,1,other,"link works, but is to the generic homepage. More detail needed in order to find the actual data used.",https://www.ukbiobank.ac.uk/,yes,NA,UK Biobank,other,Registration and approval is required to access any data files,no,NA,Data is locked behind a registration and approval process,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,FALSE,"iter01: steve coded, issue is that account registration required"
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,http://five.dartmouth.edu/datasets,2,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?,FALSE,"iter02: steve recoded, want to drop this record to make sure steve's files_exist_other comment is preserved"
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,http://five.dartmouth.edu/datasets,1,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?,FALSE,"iter02: steve recoded, want to drop this record to make sure steve's files_exist_other comment is preserved"
a000031,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,http://five.dartmouth.edu/datasets,1,other,The link is to the repo home page; further searching on website (and acceptance of conditions of use) required to locate the specific dataset,http://five.dartmouth.edu/view/7?,yes,NA,FIVES,other,Need to be logged in to the FIVES site to view/download data files,no,NA,"The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?,FALSE,iter02: I have recoded this correctly
a000071,steve,2020-07-23,yes,NA,yes,NA,yes,NA,2,http://re3data.org/,2,yes,NA,https://www.re3data.org/,yes,NA,re3data,no,NA,NA,NA,This is a registry of repositories; it doesn't make sense for the data to be hosted here directly,http://re3data.org/,http://re3data.org/,re3data.org,NA,https://www.re3data.org/,www.re3data.org,FALSE,"iter01: steve coded, this is not a file repository"
a000117,andy,2020-07-17,yes,NA,yes,NA,yes,NA,1,http://archaeologydataservice.ac.uk/archives/view/greylit/,1,yes,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,yes,NA,Archaeology Data Service,no,NA,NA,NA,Data referred to here is no longer available in this format. It seems to have been incorporated into a larger bibliographic structure.,NA,http://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,FALSE,iter02: andy coded as well
a000117,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,http://archaeologydataservice.ac.uk/archives/view/greylit/,1,yes,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,yes,NA,Archaeology Data Service,no,NA,NA,NA,This open data referred to seems to be a downloadable set of bibliographic data which doesn't seem accessible in 2020.,NA,http://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,NA,https://archaeologydataservice.ac.uk/archives/view/greylit/,archaeologydataservice.ac.uk/archives/view/greylit,FALSE,"iter01: steve coded, looks like data not longer available/exists"
a000132,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,http://www.pairfam.de/en/data/data-access/,1,other,the url as given automatically redirects to the home page (due to lack of https). Links need to be followed from the main page in order to get to the intended page,https://www.pairfam.de/en/data/data-access/,yes,NA,pairfam,other,application and approval and possibly payment is required before access to files is possible,no,NA,"There was an issue with automatic redirection with the url, but the url was fundamentally correct",NA,http://www.pairfam.de/en/data/data-access/,www.pairfam.de/en/data/data-access,https://www.pairfam.de/en/data/data-access/,https://www.pairfam.de/en/data/data-access/,www.pairfam.de/en/data/data-access,FALSE,"iter02: steve coded, issue is that permission is required"
