study_id,resolved_url_cleaned,old_download_success,old_download_success_other,download_success,download_success_other,use_code,review_date,review_notes,,
a000039,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,other,The total data file size was greater than 100MB,yes,,TRUE,2020-12-01,"Total download 3.6GB, could be downloaded OK",3.6GB,
a000046,osf.io/dkqfn,other,files are larger than 100MB,yes,,TRUE,2020-12-01,,7.0GB,
a000072,osf.io/56yz7,other,File > 100MB,yes,,TRUE,2020-12-01,,1.5GB,
a000147,osf.io/cwenz,other,1 out of the 4 files was 100MB,yes,,TRUE,2020-12-01,The OSF links to a Github repo,443MB,
a000164,osf.io/28gxz,other,File >100 MB,yes,,TRUE,2020-12-01,The OSF links to a Github repo,214MB,
a000221,osf.io/syjhd,other,data file over 100MB,yes,,TRUE,2020-12-01,,4.3GB,
a000231,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9SF3TI,other,Files were not downloading even after > 15 minutes so did not continue,yes,,TRUE,2020-12-01,,544MB,
a000293,osf.io/rt6w2,other,files are larger than 100MB,yes,,TRUE,2020-12-01,,1.1GB,
a000311,osf.io/du5jc,other,1/2 of the files exceed 100MB,yes,,TRUE,2020-12-01,The OSF links to a Github repo,431MB,
a000318,github.com/langcog/KTE,other,file over 100MB,yes,,TRUE,2020-12-01,,258MB,
a000340,osf.io/7a9tt,other,files size exceeded 100MB,yes,,TRUE,2020-12-01,,350.7MB,
a000345,osf.io/rf3ys,other,was able to download one zip file but the second was over 100MB,yes,,TRUE,2020-12-01,The OSF links to a Github repo; lots of simulation data included,3.35GB,
a000392,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RJAUNW,other,Data files exceed 100MB,yes,,TRUE,2020-12-01,,629.4MB,
a000407,ore.exeter.ac.uk/repository/handle/10871/24754,other,It took more than 15 minutes to download The data files,yes,,TRUE,2020-12-01,Lots of EEG data,5.188GB,
a000409,figshare.com/articles/Materials_for_Pupillary_Responses_to_Words_That_Convey_a_Sense_of_Brightness_or_Darkness/4742935/2,other,File >100MB,yes,,TRUE,2020-12-01,"On figshare, but basically a frozen Github repo",375.19MB,
a000446,osf.io/k3fj6,other,"Extremely large file (approx 5GB). It can be donwloaded within 15 miniutes but it takes hours to upload to Drive, so I do not upload it yet.",yes,,TRUE,2020-12-01,Included eye-tracking data,5.9GB,
a000475,osf.io/qknug,other,Data files exceed 100MB,yes,,TRUE,2020-12-01,Three separate components,660MB,
a000527,catalogue.ceda.ac.uk/uuid/7925ded722d743fa8259a93acc7073f2,other,Downloads for some files kept timing out,partial,"There were over 150 files to be downloaded individually, downloaded three successfully just to check",TRUE,2020-12-01,"Lots of individual netcdf files (one per year, 1850-2015) plus some metadata files",10GB+,
a000539,osf.io/px8h3,other,File size exceeds 100MB,yes,,TRUE,2020-12-01,Large data set - survey maybe,3.2GB,
a000562,figshare.com/articles/EEG_data_from_Subject_1_to_Subject_15/9225476,other,Total download size exceeded 100MB,yes,,TRUE,2020-12-01,Contains EEG data,2.62GB,
a000562,figshare.com/articles/EEG_data_from_Subject_16_to_Subject_30_read_me/9227495,other,Total download size exceeded 100MB,yes,,TRUE,2020-12-01,Contains EEG data,2.89GB,
a000583,osf.io/u8sdh,other,File >100MB,yes,,TRUE,2020-12-02,Contains a docker image,7.0GB,
a000651,osf.io/sqp6z,other,Data files exceeded 100MB,yes,,TRUE,2020-12-02,Included EEG data,4.1GB,
a000673,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HI1X4O,other,File size > 100MB,yes,,TRUE,2020-12-01,,674.3MB,
a000857,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CPVIOF,other,xip file was over 100MB,yes,,TRUE,2020-12-01,,458.1MB,
a000901,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GZA3GY,other,File size > 100 MB,yes,,TRUE,2020-12-01,,234.9MB,
a000940,osf.io/ea99d,other,one of the files was over 100MB so only one file was put into the data folder,yes,,TRUE,2020-12-02,One component of OSF project was a GitHub repo,1.5GB,
a000997,osf.io/xmnyq,other,File >100MB,yes,,TRUE,2020-12-01,,380MB,
a001007,osf.io/m64ue,other,both of the files were over 100MB,yes,,TRUE,2020-12-04,"Includes EEG data. Technically, second component failed because disk was full, but it was otherwise downloading fine",6.32GB + 11.0+GB,
a001127,osf.io/pxk8z,other,File >100MB,yes,,TRUE,2020-12-02,,1.4GB,
