study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,use_code,review_note
a000016,kongmanas,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/cp76s,yes,NA,https://osf.io/cp76s,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/cp76s,osf.io/cp76s,https://osf.io/cp76s,https://osf.io/cp76s,osf.io/cp76s,TRUE,iter01: it looks like it is fine to count as dl success - coder oliver had issue with computer
a000016,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/cp76s/,yes,NA,osf.io/cp76s/files/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,NA,osf.io/cp76s/,osf.io/cp76s,https://osf.io/cp76s,https://osf.io/cp76s,osf.io/cp76s,FALSE,iter01: it looks like it is fine to count as dl success - coder oliver had issue with computer
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,1,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,National University of Singapore Library,yes,NA,no,NA,Need to enter details to download files,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104,FALSE,iter01: steve coded - steve's coding is correct
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.25540/3wd8-dffw.,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,NUS Libraries,yes,NA,other,"only allows me to view the files, but not download them",NA,https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104,TRUE,iter01: steve coded - steve's coding is correct
a000031,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.25540/3wd8-dffw,yes,NA,https://scholarbank.nus.edu.sg/handle/10635/150104,yes,NA,ScholarBank@NUS,other,Need to fill out a 'guestbook' and accept terms of use before being allowed to download,other,"There was one file (scans.zip) which has status ""CLOSED; Request a copy""; this is because it has been superceded by a v2 of the file. Accessible scans file (Scans v2.zip) was 2.41GB - downloaded to check, but file not uploaded to Google Drive","The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",https://doi.org/10.25540/3wd8-dffw,https://doi.org/10.25540/3wd8-dffw,doi.org/10.25540/3wd8-dffw,https://scholarbank.nus.edu.sg/handle/10635/150104,https://scholarbank.nus.edu.sg/handle/10635/150104,scholarbank.nus.edu.sg/handle/10635/150104,TRUE,iter01: steve coded - steve's coding is correct
a000032,andy,2020-07-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,other,Repository for a specific research program only,NA,yes,NA,other,Need a a password to login to download,NA,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,FALSE,iter01: steve coded - steve's coding to account for required permission is correct
a000032,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,yes,NA,HyMeX database,other,Account registration required,no,NA,Account required to access the HyMeX database,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,TRUE,iter01: steve coded - steve's coding to account for required permission is correct
a000037,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,http://hdl.handle.net/11633/aabxbkd7,yes,NA,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?0,yes,NA,Donders Institute,yes,NA,no,NA,Unable to download the files,NA,http://hdl.handle.net/11633/aabxbkd7,hdl.handle.net/11633/aabxbkd7,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,FALSE,"iter01: this needs to be recoded so that files_exist is ""other"" due to requiring account"
a000037,phuong,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,http://hdl.handle.net/11633/aabxbkd7.,yes,NA,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234?1,yes,NA,Donders,yes,NA,other,an account was required to download,NA,NA,http://hdl.handle.net/11633/aabxbkd7.,hdl.handle.net/11633/aabxbkd7,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,https://data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234,FALSE,"iter01: this needs to be recoded so that files_exist is ""other"" due to requiring account"
a000043,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,osf.io/tmdvn,yes,NA,https://osf.io/tmdvn/,yes,NA,OSF,yes,NA,no,NA,"Download was taking longer then 20 minutes, so voided.",NA,osf.io/tmdvn,osf.io/tmdvn,NA,https://osf.io/tmdvn/,osf.io/tmdvn,FALSE,iter01: confirmed that all files could be DL
a000043,michelle,2020-05-01,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tmdvn/,yes,NA,https://osf.io/tmdvn/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/tmdvn/,osf.io/tmdvn,NA,https://osf.io/tmdvn/,osf.io/tmdvn,TRUE,iter01: confirmed that all files could be DL
a000043,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tmdvn/,yes,NA,https://osf.io/tmdvn/,yes,NA,OSF,yes,NA,other,over 100MB,I didn't have any problems with this article,NA,https://osf.io/tmdvn/,osf.io/tmdvn,NA,https://osf.io/tmdvn/,osf.io/tmdvn,FALSE,iter01: confirmed that all files could be DL
a000048,andy,2020-04-22,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/cpmfk/,yes,NA,https://osf.io/cpmfk/,yes,NA,OSF,yes,NA,yes,NA,This is the original data collected for another project. The downloaded files contain data collected between 2004-2019. Study used data from 2004-2017. Data files are also available by individual year.,https://osf.io/cpmfk/,https://osf.io/cpmfk/,osf.io/cpmfk,NA,https://osf.io/cpmfk/,osf.io/cpmfk,TRUE,iter01: steve coded - steve correct (just a matter of DL size)
