study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code
a000112,michelle,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wcuhx/,yes,NA,https://osf.io/wcuhx/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000112,sophia,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contained no links to data,NA
a000112,steve,2020-08-09,yes,NA,no,NA,yes,NA,1,1,https://osf.io/wcuhx/,yes,NA,https://osf.io/wcuhx/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA
a000140,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn/,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000140,oliver,2020-04-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000140,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA
a000211,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000211,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8gyns/,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a000211,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/8gyns,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA
a000219,kongmanas,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.1016/j.jesp.2017.07.005,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub,other,The data file is in the ScienceDirect t website,NA,yes,NA,other,Need to register to before access to download,The data file is in the ScienceDirect website and the registration is needed to download the data file,NA
a000219,matthew,2020-04-23,yes,NA,yes,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The page said that the data is available in the online supplement of the article.,NA
