study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_note
a000112,michelle,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wcuhx/,yes,NA,https://osf.io/wcuhx/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000112,sophia,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contained no links to data,NA,NA
a000112,steve,2020-08-09,yes,NA,no,NA,yes,NA,1,1,https://osf.io/wcuhx/,yes,NA,https://osf.io/wcuhx/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000140,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn/,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000140,oliver,2020-04-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000140,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000146,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF,yes,NA,yes,NA,NA,NA,NA
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,1,https://osf.io/8x6dw/,yes,NA,https://osf.io/8x6dw,yes,NA,OSF Registries,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000146,steve,2020-08-31,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project",2,2,https://osf.io/j8wdv,yes,NA,https://osf.io/j8wdv,yes,NA,OSF Registries,yes,NA,yes,NA,"This is not directly linked from the article, but very indirectly via the non-registered version of the linked OSF project",NA,NA
a000211,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000211,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8gyns/,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000211,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/8gyns,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000219,kongmanas,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.1016/j.jesp.2017.07.005,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub,other,The data file is in the ScienceDirect t website,NA,yes,NA,other,Need to register to before access to download,The data file is in the ScienceDirect website and the registration is needed to download the data file,NA,NA
a000219,matthew,2020-04-23,yes,NA,yes,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The page said that the data is available in the online supplement of the article.,NA,NA
a000219,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.1016/j.jesp.2017.07.005,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103116304292?via%3Dihub,no,NA,NA,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000244,adrian,2020-04-14,yes,NA,no,NA,other,"Link listed as ""Open data"". The actual link URL is not written out",1,1,Open data,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Dataverse,yes,NA,yes,NA,"There was just a link called ""Open Data"" under its ""Supplement"" section",NA,NA
a000244,sophia,2020-04-04,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Couldn't find any references to open data,NA,NA
a000244,steve,2020-08-08,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000267,evelyn,2020-05-08,yes,NA,yes,NA,other,provides doi,1,1,doi:10.7910/DVN/W2HZSO,other,article and data materials appear in google search,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,Did not have a direct link tot the files. Instead doi was provided to which the first google result is the article.,NA,NA
a000267,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,doi:10.7910/DVN/W2HZSO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000390,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,doi:10.7910/DVN/SURSEO,no,missing http://,NA,NA,NA,NA,NA,NA,NA,NA,"The link is missing the ""http://"" such that when you click or copy directly from the paper, the link does not work.",NA,NA
a000390,oliver,2020-04-25,yes,NA,yes,NA,other,Article gave DOI number. I found link via Googling DOI number.,1,1,doi:10.7910/DVN/SURSEO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SURSEO,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA,NA
a000391,michelle,2020-05-05,yes,NA,yes,NA,yes,NA,2,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS DATABASE,yes,NA,other,Need to fill in a form to download data,Did not download data as form is required to be filled out,NA,NA
a000391,michelle,2020-05-05,yes,NA,yes,NA,yes,NA,2,2,https://github.com/knights-lab/douc_gut_sites,yes,NA,https://github.com/knights-lab/douc_gut_sites,yes,NA,GITHUB,yes,NA,yes,NA,I didn't have any problems with this link,NA,NA
a000391,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS Database,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
