study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_note
a000082,michelle,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/anc5m/,yes,NA,https://osf.io/anc5m/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000082,oliver,2020-04-29,yes,NA,other,"Embedded within ""notes""",yes,NA,1,1,osf.io/anc5m/,yes,NA,https://osf.io/anc5m/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,NA,NA
a000082,steve,2020-08-09,yes,NA,no,NA,yes,NA,1,1,https://osf.io/anc5m,yes,NA,https://osf.io/anc5m/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000112,michelle,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wcuhx/,yes,NA,https://osf.io/wcuhx/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000112,sophia,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Contained no links to data,NA,NA
a000112,steve,2020-08-09,yes,NA,no,NA,yes,NA,1,1,https://osf.io/wcuhx/,yes,NA,https://osf.io/wcuhx/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000140,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn/,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000140,oliver,2020-04-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000140,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000183,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",NA,NA
a000183,phuong,2020-04-27,yes,NA,no,NA,yes,NA,1,1,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000211,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000211,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8gyns/,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000211,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/8gyns,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000216,adrian,2020-04-05,yes,NA,no,NA,yes,NA,1,1,https://osf.io/9nq3c/,yes,NA,https://osf.io/9nq3c/,yes,NA,OSF,yes,NA,yes,NA,Link was buried in a footnote and hard to find. There was no availbility statement,NA,NA
a000216,oliver,2020-04-09,yes,NA,other,Footnote,yes,NA,1,1,osf.io/9nq3c/,yes,NA,https://osf.io/9nq3c/,yes,NA,OSF,yes,NA,yes,NA,NA,NA,NA
a000244,adrian,2020-04-14,yes,NA,no,NA,other,"Link listed as ""Open data"". The actual link URL is not written out",1,1,Open data,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Dataverse,yes,NA,yes,NA,"There was just a link called ""Open Data"" under its ""Supplement"" section",NA,NA
a000244,sophia,2020-04-04,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Couldn't find any references to open data,NA,NA
