study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,review_coding,review_note
a000026,aniruddah,2020-05-01,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This article has cited several webpages from where it referenced data, but these weren't necessarily data repositories, so were not considered.",TRUE,"This article has inconsistent badge information, remove from data set"
a000026,michelle,2020-05-12,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data availability statement or open data links,TRUE,"This article has inconsistent badge information, remove from data set"
a000026,sophia,2020-04-20,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This article has inconsistent badge information, remove from data set"
a000233,michelle,2020-04-03,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,No data availability statement or link to data
a000233,steve,2020-05-21,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Could not find a link to shared data in paper or on website,FALSE,No data availability statement or link to data
a000525,matthew,2020-04-23,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The mention of open data and no link provided,TRUE,No data availability statement or link to data
a000525,phuong,2020-04-17,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,No data availability statement or link to data
a000525,steve,2020-09-01,yes,NA,no,NA,yes,NA,1,1,https://osf.io/x8jzb/,yes,NA,https://osf.io/x8jzb/,yes,NA,OSF,yes,NA,yes,NA,"The link is buried in the body of the text and is referred to as ""complete materials"" - no explicit mention of open data",NA,NA
a000597,evelyn,2020-05-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data badge and availability was not found,TRUE,"Link on article website, not in PDF"
a000597,matthew,2020-04-15,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Page did not contain any relevance to open data,TRUE,"Link on article website, not in PDF"
a000597,sophia,2020-04-26,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Link on article website, not in PDF"
a000597,steve,2020-08-08,yes,NA,no,NA,other,"Link on article website, not in PDF",1,1,https://aisel.aisnet.org/trr/vol2/iss1/4/,yes,NA,https://aisel.aisnet.org/trr/vol2/iss1/4/,no,NA,NA,yes,NA,yes,NA,Data source was another article in the same journal,NA,NA
a000773,adrian,2020-04-14,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Article has data badge but no statement or any links given. The following disclaimer was found in the footnotes: ""Given the potentially identifying information inherent in personal narratives, the
transcripts cannot be made public, though interested scholars should contact Dan
McAdams (dmca@northwestern.edu) to discuss access",FALSE,"No data availability statement or link to data in PDF - footnote mentions contacting author to discuss data access, and that coding will be made available"
a000773,sophia,2020-04-27,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"No data availability statement or link to data in PDF - footnote mentions contacting author to discuss data access, and that coding will be made available"
a000839,andy,2020-08-31,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Theoretical paper,NA,NA
a000839,steve,2020-07-09,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This is a theoretical paper; techinically all data and materials are supplied in the text?,FALSE,This is a theoretical paper; techinically all data and materials are supplied in the text?
a000980,evelyn,2020-04-10,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data availability statement or data link available, despite the paper receiving data badges",FALSE,This is a stage 1 registered report - no data availability statement or link to data
a000980,sophia,2020-04-08,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,couldn't find any reference to open data,FALSE,This is a stage 1 registered report - no data availability statement or link to data
a001130,aniruddah,2020-04-22,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This article has no mention of open practices or data availability, rather the author has quoted several websites from which he referenced the data used in his article.",TRUE,"This article has inconsistent badge information, remove from data set"
a001130,michelle,2020-04-29,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No data availability statement or open data links,TRUE,"This article has inconsistent badge information, remove from data set"
a001265,andy,2020-08-31,yes,NA,no,NA,other,Direct links to data,2,1,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,yes,NA,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,no,NA,NA,yes,NA,yes,NA,"Online article, data files on journal website",NA,NA
a001265,andy,2020-08-31,yes,NA,no,NA,other,Direct links to data,2,2,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,yes,NA,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,no,NA,NA,yes,NA,yes,NA,"Online article, data files on journal website",NA,NA
a001265,steve,2020-07-10,yes,NA,no,NA,other,Online article has direct links to files,2,1,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,yes,NA,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.xlsx,no,NA,NA,yes,NA,yes,NA,"Online article, data files were hosted on journal website itself",FALSE,This is an internet arch article
a001265,steve,2020-07-10,yes,NA,no,NA,other,Online article has direct links to files,2,2,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,yes,NA,https://intarch.ac.uk/journal/issue45/4/TerrainCoefficientDataTable.csv,no,NA,NA,yes,NA,yes,NA,"Online article, data files were hosted on journal website itself",FALSE,This is an internet arch article
a001356,andy,2020-08-31,yes,NA,no,NA,other,Direct links to data,1,1,https://intarch.ac.uk/journal/issue52/3/glassdata.xls,yes,NA,https://intarch.ac.uk/journal/issue52/3/glassdata.xls,no,NA,NA,yes,NA,yes,NA,"Online article, data files on journal website",NA,NA
a001356,steve,2020-09-02,yes,NA,no,NA,other,Online article has direct link to files,1,1,https://intarch.ac.uk/journal/issue52/3/glassdata.xls,yes,NA,https://intarch.ac.uk/journal/issue52/3/glassdata.xls,no,NA,NA,yes,NA,yes,NA,The only data is an included .xls spreadsheet containing legacy data - that is it,NA,NA
a001600,evelyn,2020-05-08,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Article did not have data availability statement or link,TRUE,"This article has inconsistent badge information, remove from data set"
