study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url_cleaned,use_code,review_notes,corrected_resolved_url,Publication Title,DOI,Publication Year,Author,Title
a000001,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/d2jwb,yes,NA,https://osf.io/d2jwb,yes,NA,OSF,no,NA,NA,NA,OSF page was empty,NA,https://osf.io/d2jwb,osf.io/d2jwb,osf.io/d2jwb,TRUE,NA,NA,Clinical Psychological Science,10.1177/2167702619842468,2019,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.",Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers
a000001,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,1,1,osf.io/d2jwb/,yes,NA,https://osf.io/d2jwb/files/,yes,NA,OSF,yes,NA,yes,NA,NA,NA,osf.io/d2jwb/,osf.io/d2jwb,osf.io/d2jwb/files,FALSE,coder went to the files subfolder (understandable since that is where files are downloaded from) but technically incorrect,https://osf.io/d2jwb,Clinical Psychological Science,10.1177/2167702619842468,2019,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.",Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers
a000012,phuong,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/njea2,yes,NA,https://osf.io/njea2,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/njea2,osf.io/njea2,osf.io/njea2,TRUE,NA,NA,Psychological Science,10.1177/0956797618814145,2019,"O’Brien, Ed; Kassirer, Samantha",People Are Slow to Adapt to the Warm Glow of Giving
a000012,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://www.osf.io/njea2,yes,NA,http://www.osf.io/njea2,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://www.osf.io/njea2,osf.io/njea2,www.osf.io/njea2,FALSE,coder pasted link_url in this field since server would have removed www. part,https://osf.io/njea2,Psychological Science,10.1177/0956797618814145,2019,"O’Brien, Ed; Kassirer, Samantha",People Are Slow to Adapt to the Warm Glow of Giving
a000016,kongmanas,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/cp76s,yes,NA,https://osf.io/cp76s,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/cp76s,osf.io/cp76s,osf.io/cp76s,TRUE,NA,NA,Journal of Neurochemistry,10.1111/jnc.14711,2019,"Wilson, Corinne S.; Bach, Martin D.; Ashkavand, Zahra; Norman, Kenneth R.; Martino, Nina; Adam, Alejandro P.; Mongin, Alexander A.",Metabolic constraints of swelling-activated glutamate release in astrocytes and their implication for ischemic tissue damage
a000016,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,osf.io/cp76s/,yes,NA,osf.io/cp76s/files/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,NA,osf.io/cp76s/,osf.io/cp76s,osf.io/cp76s/files,FALSE,coder went to the files subfolder (understandable since that is where files are downloaded from) but technically incorrect,https://osf.io/cp76s,Journal of Neurochemistry,10.1111/jnc.14711,2019,"Wilson, Corinne S.; Bach, Martin D.; Ashkavand, Zahra; Norman, Kenneth R.; Martino, Nina; Adam, Alejandro P.; Mongin, Alexander A.",Metabolic constraints of swelling-activated glutamate release in astrocytes and their implication for ischemic tissue damage
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,2,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,NA,NA,Strategic Management Journal,10.1002/smj.3001,2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset"
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,TRUE,NA,NA,Strategic Management Journal,10.1002/smj.3001,2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset"
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,3,doi-org.ezp.lib.unimelb.edu.au/10.25540/3wd8-dffw,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,https://doi.org/10.25540/3wd8-dffw.,https://doi.org/10.25540/3wd8-dffw.,doi.org/10.25540/3wd8-dffw,osf.io/tvyxz/files,FALSE,coder mistakenly put generic link to badge wiki,NA,Strategic Management Journal,10.1002/smj.3001,2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset"
a000031,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,3,2,five.dartmouth.edu/datasets,other,OSF files page found indirectly after searching. Dartmouth requires signup. Unimelb DOI redirects to NUS.,https://osf.io/tvyxz/files/,yes,NA,OSF,yes,NA,yes,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,osf.io/tvyxz/files,FALSE,coder mistakenly put generic link to badge wiki,NA,Strategic Management Journal,10.1002/smj.3001,2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset"
