study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a000013,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,Dataverse,yes,NA,yes,NA,Ok,NA,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,FALSE,valid redirection - confirmed,Psychological Science,10.1177/0956797614561266,2015,"Zaval, Lisa; Markowitz, Ezra M.; Weber, Elke U.",How Will I Be Remembered? Conserving the Environment for the Sake of One’s Legacy
a000013,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,FALSE,valid redirection - confirmed,Psychological Science,10.1177/0956797614561266,2015,"Zaval, Lisa; Markowitz, Ezra M.; Weber, Elke U.",How Will I Be Remembered? Conserving the Environment for the Sake of One’s Legacy
a000013,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,1,1,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,FALSE,valid redirection - confirmed,Psychological Science,10.1177/0956797614561266,2015,"Zaval, Lisa; Markowitz, Ezra M.; Weber, Elke U.",How Will I Be Remembered? Conserving the Environment for the Sake of One’s Legacy
a000019,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/YVE8F,yes,NA,https://osf.io/yve8f/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.,NA,https://doi.org/10.17605/OSF.IO/YVE8F,doi.org/10.17605/OSF.IO/YVE8F,osf.io/yve8f,FALSE,link_url was a DOI shortcut to a OSF repo - was able to match unique info in link_url to unique info in resolved_url,The Journal of Social Psychology,10.1080/00224545.2018.1505709,2019,"Fousiani, Kyriaki; Michaelides, Michalis; Dimitropoulou, Panagiota",The effects of ethnic group membership on bullying at school: when do observers dehumanize bullies?
a000019,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/YVE8F,yes,NA,https://osf.io/yve8f/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article,NA,https://doi.org/10.17605/OSF.IO/YVE8F,doi.org/10.17605/OSF.IO/YVE8F,osf.io/yve8f,FALSE,link_url was a DOI shortcut to a OSF repo - was able to match unique info in link_url to unique info in resolved_url,The Journal of Social Psychology,10.1080/00224545.2018.1505709,2019,"Fousiani, Kyriaki; Michaelides, Michalis; Dimitropoulou, Panagiota",The effects of ethnic group membership on bullying at school: when do observers dehumanize bullies?
a000019,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/YVE8F,yes,NA,https://osf.io/yve8f/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://doi.org/10.17605/OSF.IO/YVE8F,doi.org/10.17605/OSF.IO/YVE8F,osf.io/yve8f,FALSE,link_url was a DOI shortcut to a OSF repo - was able to match unique info in link_url to unique info in resolved_url,The Journal of Social Psychology,10.1080/00224545.2018.1505709,2019,"Fousiani, Kyriaki; Michaelides, Michalis; Dimitropoulou, Panagiota",The effects of ethnic group membership on bullying at school: when do observers dehumanize bullies?
a000030,evelyn,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/ZSYWHO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://dx.doi.org/10.7910/DVN/ZSYWHO,dx.doi.org/10.7910/DVN/ZSYWHO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12268,2017,"Knutsen, Carl Henrik; Kotsadam, Andreas; Olsen, Eivind Hammersmark; Wig, Tore",Mining and Local Corruption in Africa
a000030,sophia,2020-04-26,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/ZSYWHO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://dx.doi.org/10.7910/DVN/ZSYWHO,dx.doi.org/10.7910/DVN/ZSYWHO,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12268,2017,"Knutsen, Carl Henrik; Kotsadam, Andreas; Olsen, Eivind Hammersmark; Wig, Tore",Mining and Local Corruption in Africa
a000032,andy,2020-07-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,other,Repository for a specific research program only,NA,yes,NA,other,Need a a password to login to download,NA,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,NA,NA,Geoscience Data Journal,10.1002/gdj3.57,2018,"Bouvier, Christophe; Patris, Nicolas; Freydier, Rémi; Guilhe‐Batiot, Christelle; Seidel, Jean-Luc; Taupin, Jean-Denis; Brunet, Pascal; Remes, Aurore","The Floodscale experiment in the small catchment of Valescure, France: An overview of the isotopic and geochemical data base"
a000032,steve,2020-07-06,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,NA,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,yes,NA,HyMeX database,other,Account registration required,no,NA,Account required to access the HyMeX database,NA,https://doi.org/10.6096/MISTRALS-HyMeX.1406,doi.org/10.6096/MISTRALS-HyMeX.1406,mistrals.sedoo.fr/HyMeX/?editDatsId=1406,NA,NA,Geoscience Data Journal,10.1002/gdj3.57,2018,"Bouvier, Christophe; Patris, Nicolas; Freydier, Rémi; Guilhe‐Batiot, Christelle; Seidel, Jean-Luc; Taupin, Jean-Denis; Brunet, Pascal; Remes, Aurore","The Floodscale experiment in the small catchment of Valescure, France: An overview of the isotopic and geochemical data base"
