study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,use_code,review_note
a000001,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,1,1,osf.io/d2jwb/,yes,NA,https://osf.io/d2jwb/files/,yes,NA,OSF,yes,NA,yes,NA,NA,NA,osf.io/d2jwb/,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb,NA,NA
a000001,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/d2jwb,yes,NA,https://osf.io/d2jwb,yes,NA,OSF,no,NA,NA,NA,OSF page was empty,NA,https://osf.io/d2jwb,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb,NA,NA
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/x8rnq/,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,other,"Yes, but files are being checked out by the creator (so may not be up to date)",yes,NA,One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made,https://osf.io/x8rnq/,https://osf.io/x8rnq/,osf.io/x8rnq,NA,https://osf.io/x8rnq/,osf.io/x8rnq,NA,NA
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/x8rnq/,yes,NA,https://osf.io/x8rnq/,yes,NA,OSF,yes,NA,yes,NA,code used for analysis so relevant - code file was checked out on OSF even though it could be downloaded etc.,https://osf.io/x8rnq/,https://osf.io/x8rnq/,osf.io/x8rnq,NA,https://osf.io/x8rnq/,osf.io/x8rnq,NA,NA
a000062,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Dataverse,yes,NA,yes,NA,Dataverse contained 2 different folders for separate projects. Actual data was in 2nd folder. Redirected site for 2nd folder was 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27813',NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Here, the repo link contained two different data sets, and intuition via cross-referencing data set and article publishing dates helped identify which data set to download.",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Havard Dataverse,yes,NA,yes,NA,"Linkes to two sets of data, both were included in the 'data' file of the google docs",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,HARVARD,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,thedata.harvard.edu/dvn/dv/PainData,yes,NA,http://thedata.harvard.edu/dvn/dv/PainData,other,Harvard version of Dataverse,Dataverse,other,Yes. Replication data also present.,yes,NA,NA,NA,thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,The link points to a page containing datatsets from 2 different research papers,NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000062,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,"I had to click on a second link to get the specific data for this paper. There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data.",NA,http://thedata.harvard.edu/dvn/dv/PainData,thedata.harvard.edu/dvn/dv/PainData,https://dataverse.harvard.edu/dataverse/PainData,https://dataverse.harvard.edu/dataverse/PainData,dataverse.harvard.edu/dataverse/PainData,NA,NA
a000074,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/t9c52/,yes,NA,https://osf.io/t9c52/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA,https://osf.io/t9c52/,osf.io/t9c52,NA,https://osf.io/t9c52/,osf.io/t9c52,NA,NA
a000074,kongmanas,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/t9c52/,yes,NA,https://osf.io/t9c52,yes,NA,OSF,no,NA,NA,NA,There is no available data file; only said 'no response',NA,https://osf.io/t9c52/,osf.io/t9c52,NA,https://osf.io/t9c52,osf.io/t9c52,NA,NA
