study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a000011,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/.,other,"Yes, but this link does not seem to specifically pertain to the data and materials used in this paper, but rather the homepage",https://www.ukbiobank.ac.uk/,yes,NA,BIOBANK,other,"Most likely, but need to log in to access",no,NA,Need log in to access files,https://www.ukbiobank.ac.uk/,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,NA
a000011,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://www.ukbiobank.ac.uk/,yes,NA,https://www.ukbiobank.ac.uk/,yes,NA,UK BioBank,other,leads to the repository home page,no,NA,"There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.",http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,NA
a000011,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,1,http://www.ukbiobank.ac.uk/,other,"link works, but is to the generic homepage. More detail needed in order to find the actual data used.",https://www.ukbiobank.ac.uk/,yes,NA,UK Biobank,other,Registration and approval is required to access any data files,no,NA,Data is locked behind a registration and approval process,http://www.ukbiobank.ac.uk/,http://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,https://www.ukbiobank.ac.uk/,www.ukbiobank.ac.uk,NA,NA
a000031,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,2,2,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,Fives project,other,require to search for projects using the link,no,NA,require to search for projects using the link,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?,NA,NA
a000031,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,http://five.dartmouth.edu/datasets,yes,NA,http://five.dartmouth.edu/datasets,yes,NA,FIVES Project,other,requires a log in,no,NA,NA,http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?,NA,NA
a000031,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,1,http://five.dartmouth.edu/datasets,other,The link is to the repo home page; further searching on website (and acceptance of conditions of use) required to locate the specific dataset,http://five.dartmouth.edu/view/7?,yes,NA,FIVES,other,Need to be logged in to the FIVES site to view/download data files,no,NA,"The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",http://five.dartmouth.edu/datasets,http://five.dartmouth.edu/datasets,five.dartmouth.edu/datasets,http://five.dartmouth.edu/view/7?,http://five.dartmouth.edu/view/7?,five.dartmouth.edu/view/7?,NA,NA
a000039,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/7EWDRF,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,yes,NA,Harvard Dataverse,yes,NA,other,The total data file size was greater than 100MB,The total data file size was greater than 100MB,NA,https://doi.org/10.7910/DVN/7EWDRF,doi.org/10.7910/DVN/7EWDRF,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,NA,NA
a000039,michelle,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/7EWDRF,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,yes,NA,HAVARD DATAVERSE,yes,NA,other,File size exceeds 100MB,File now downloaded as size > 100MB,NA,https://doi.org/10.7910/DVN/7EWDRF,doi.org/10.7910/DVN/7EWDRF,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,NA,NA
a000046,michelle,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/dkqfn,yes,NA,https://osf.io/dkqfn/,yes,NA,OSF,yes,NA,other,File size exceed 100MB,Data not downloaded as file was too big,NA,http://osf.io/dkqfn,osf.io/dkqfn,NA,https://osf.io/dkqfn/,osf.io/dkqfn,NA,NA
a000046,phuong,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/dkqfn/,yes,NA,https://osf.io/dkqfn/,yes,NA,OSF,yes,NA,other,files are larger than 100MB,NA,NA,https://osf.io/dkqfn/,osf.io/dkqfn,NA,https://osf.io/dkqfn/,osf.io/dkqfn,NA,NA
a000072,oliver,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,osf.io/56yz7/,yes,NA,https://osf.io/56yz7/,yes,NA,OSF,yes,NA,other,File > 100MB,NA,NA,osf.io/56yz7/,osf.io/56yz7,https://osf.io/56yz7/,https://osf.io/56yz7/,osf.io/56yz7,NA,NA
a000072,phuong,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/56yz7,yes,NA,https://osf.io/56yz7.,yes,NA,OSF,yes,NA,other,files are larger than 100MB,NA,NA,https://osf.io/56yz7,osf.io/56yz7,https://osf.io/56yz7/,https://osf.io/56yz7/,osf.io/56yz7,NA,NA
a000132,steve,2020-11-22,yes,NA,yes,NA,yes,NA,2,1,http://www.pairfam.de/en/data/data-access/,other,the url as given automatically redirects to the home page (due to lack of https). Links need to be followed from the main page in order to get to the intended page,https://www.pairfam.de/en/data/data-access/,yes,NA,pairfam,other,application and approval and possibly payment is required before access to files is possible,no,NA,"There was an issue with automatic redirection with the url, but the url was fundamentally correct",NA,http://www.pairfam.de/en/data/data-access/,www.pairfam.de/en/data/data-access,https://www.pairfam.de/en/data/data-access/,https://www.pairfam.de/en/data/data-access/,www.pairfam.de/en/data/data-access,NA,NA
a000147,michelle,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,osf.io/cwenz,yes,NA,https://osf.io/cwenz/,yes,NA,OSF,yes,NA,other,1 of the zip files (Github zip file) > 100MB,Did not download one of the zip files due to size,NA,osf.io/cwenz,osf.io/cwenz,NA,https://osf.io/cwenz/,osf.io/cwenz,NA,NA
a000147,sophia,2020-04-26,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/cwenz/,yes,NA,https://osf.io/cwenz/,yes,NA,OSF,yes,NA,other,1 out of the 4 files was 100MB,I didn't have any problems with this article,NA,https://osf.io/cwenz/,osf.io/cwenz,NA,https://osf.io/cwenz/,osf.io/cwenz,NA,NA
a000164,oliver,2020-04-29,yes,NA,yes,NA,yes,NA,1,1,osf.io/28gxz/,yes,NA,https://osf.io/28gxz/files/,yes,NA,OSF,yes,NA,other,File >100 MB,NA,NA,osf.io/28gxz/,osf.io/28gxz,https://osf.io/28gxz/,https://osf.io/28gxz/,osf.io/28gxz,NA,NA
a000164,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,osf.io/28gxz,yes,NA,https://osf.io/28gxz/,yes,NA,OSF,yes,NA,other,"one of the files was able to be downloaded, but the other was over 100MB",NA,NA,osf.io/28gxz,osf.io/28gxz,https://osf.io/28gxz/,https://osf.io/28gxz/,osf.io/28gxz,NA,NA
a000168,steve,2020-11-24,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR21600.v17,yes,NA,https://www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17,yes,NA,ICPSR,other,"The v17 of the files is no longer available, superceded by v18-v21. v17 may be available upon request for replication purposes according to note on page.",no,NA,"There was a v21 of the data (possibly not behind a login), but v17 does not seem to be available, need to contact ICPSR",NA,http://doi.org/10.3886/ICPSR21600.v17,doi.org/10.3886/ICPSR21600.v17,https://www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17,https://www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17,www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17,NA,NA
a000171,andy,2020-08-04,yes,NA,yes,NA,yes,NA,8,2,https://doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,NA,SNAP,yes,NA,partial,"Over 30 files, downloaded first",NA,NA,https://doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,NA,NA
a000171,steve,2020-07-06,yes,NA,yes,NA,yes,NA,8,2,https://doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,NA,SNAP,yes,NA,partial,"Link contains over 30 separate XML files to download, just downloaded the first one","Auto logged in as guest, had to agree to restrictive conditions before viewing files, landing page required an extra click to actually view files",NA,https://doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,NA,NA
a000171,andy,2020-08-04,yes,NA,yes,NA,yes,NA,8,7,https://doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,NA,SNAP,yes,NA,partial,"Over 30 files, downloaded first",NA,NA,https://doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,NA,NA
a000171,steve,2020-07-06,yes,NA,yes,NA,yes,NA,8,7,https://doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,yes,NA,SNAP,yes,NA,partial,"Link contains over 30 separate XML files to download, just downloaded the first one","Auto logged in as guest, had to agree to restrictive conditions before viewing files, landing page required an extra click to actually view files",NA,https://doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,doi.org/10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.4a66da6e800423b1a51babcd917805c1,NA,NA
a000171,andy,2020-08-04,yes,NA,yes,NA,yes,NA,8,4,https://doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,NA,SNAP,yes,NA,partial,"Over 30 files, downloaded first",NA,NA,https://doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,NA,NA
a000171,steve,2020-07-06,yes,NA,yes,NA,yes,NA,8,4,https://doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,NA,SNAP,yes,NA,partial,"Link contains over 30 separate XML files to download, just downloaded the first one","Auto logged in as guest, had to agree to restrictive conditions before viewing files, landing page required an extra click to actually view files",NA,https://doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,NA,NA
a000171,andy,2020-08-04,yes,NA,yes,NA,yes,NA,8,5,https://doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,NA,SNAP,yes,NA,partial,"Over 30 files, downloaded first",NA,NA,https://doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,NA,NA
a000171,steve,2020-07-06,yes,NA,yes,NA,yes,NA,8,5,https://doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,yes,NA,SNAP,yes,NA,partial,"Link contains over 30 separate XML files to download, just downloaded the first one","Auto logged in as guest, had to agree to restrictive conditions before viewing files, landing page required an extra click to actually view files",NA,https://doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,doi.org/10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.6bbca96b0a7b0a5c3b0be4b4312f837c,NA,NA
a000171,andy,2020-08-04,yes,NA,yes,NA,yes,NA,8,6,https://doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,yes,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,yes,NA,SNAP,yes,NA,partial,"Over 30 files, downloaded first",NA,NA,https://doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,doi.org/10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,NA,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.93d8a7ad5841c7380c9656779ae3425d,NA,NA
