article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz/,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,Links were easy to find
intro02,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,no,NA,"Error message ""Something went wrong"" shown when trying to download files"
intro03,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,Links were easy to find
intro04,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,Links were easy to find
intro05,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Dataverse,yes,NA,yes,NA,Dataverse contained 2 different folders for separate projects. Actual data was in 2nd folder. Redirected site for 2nd folder was 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27813'
intro06,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,Links were less obvious
intro07,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,yes,NA,Download took very long time
intro08,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,ICPSR,other,Data had been updated to V7. Link to updated data provided and downloaded.,yes,NA,"2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017"
intro09,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,Links were easy to find
intro10,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site can' be reached,NA,NA,NA,NA,NA,NA,NA,NA,Link did not work
