article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000048,andy,2020-04-22,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/cpmfk/,yes,NA,https://osf.io/cpmfk/,yes,NA,OSF,yes,NA,yes,NA,This is the original data collected for another project. The downloaded files contain data collected between 2004-2019. Study used data from 2004-2017. Data files are also available by individual year.
a000048,andy,2020-04-22,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/ufxny/,yes,NA,https://osf.io/ufxny/,yes,NA,OSF,yes,NA,yes,NA,This linked to the study data with syntax and codebook.
a000098,andy,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/nft5c,yes,NA,https://osf.io/nft5c/,yes,NA,OSF,yes,NA,yes,NA,NA
a000115,andy,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/m35b8/,yes,NA,https://osf.io/m35b8/,yes,NA,OSF,yes,NA,yes,NA,NA
a000136,andy,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9d6t4/,yes,NA,https://osf.io/9d6t4/,yes,NA,OSF,yes,NA,yes,NA,NA
a000142,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/WD3IUA,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues
a000143,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8cq5f/,yes,NA,https://osf.io/8cq5f/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000146,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,http://www.osf.io/xf7rn,yes,NA,https://osf.io/xf7rn/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000182,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/emk5j,yes,NA,https://osf.io/emk5j/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000188,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zg427/,yes,NA,https://osf.io/zg427/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000197,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/946vb/,yes,NA,https://osf.io/946vb/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000330,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/WD3IUA,other,"Link goes to Harvard Datverse repository for a different article (Grimmelikhuijsen, 2019).",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Link to different article repository. Search for author's name on Harvard Dataverse found the correct repository and files at https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB. Appears to be an overlap in volume and issue number between the 2 papers.
a000380,andy,2020-10-27,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/w2434/,yes,NA,https://osf.io/w2434/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000393,andy,2020-11-05,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/9ge7n,yes,NA,https://osf.io/9ge7n,yes,NA,OSF,other,- with data files,yes,NA,Link to main OSF page https://osf.io/vkjsf/
a000444,andy,2020-11-05,yes,NA,yes,NA,yes,NA,1,1,https://data.mendeley.com/datasets/f2wvbpsmyv/draft?a=e8c3968c-8b4a-47b5-a7d1-5aa120f1bc76.,yes,NA,https://data.mendeley.com/datasets/f2wvbpsmyv/1,yes,NA,Mendeley Data,yes,NA,yes,NA,No issues
a000518,andy,2020-11-09,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,other,Link to IRIS homepage only,https://iris-database.org/iris/app/home/index;jsessionid=59ED1A2954384E1119412245521AD575,yes,NA,IRIS,yes,NA,yes,NA,Had to search repository for correct files.
a000540,andy,2020-11-09,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/TMCNQ,yes,NA,https://osf.io/tmcnq/,yes,NA,OSF,yes,NA,yes,NA,2019 article is Stage 1 Registered Report with links only to the pre-registration. Links to data are from the 2020 Stage 2 Full article.
a000570,andy,2020-11-09,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/WGWMAV,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WGWMAV,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues
a000631,andy,2020-11-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/k8nur/,yes,NA,https://osf.io/k8nur/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000714,andy,2020-11-11,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7wazk/,yes,NA,https://osf.io/7wazk/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000861,andy,2020-11-11,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/qh896/,yes,NA,https://osf.io/qh896/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000962,andy,2020-11-11,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/qch87/,yes,NA,https://osf.io/qch87/,yes,NA,OSF,yes,NA,yes,NA,No issues
a000963,andy,2020-11-11,yes,NA,yes,NA,yes,NA,1,1,http://journals.sagepub.com/doi/suppl/10.1177/0956797618818484,yes,NA,https://journals.sagepub.com/doi/suppl/10.1177/0956797618818484,no,NA,NA,no,NA,NA,NA,Link goes to online article. No data files.
a001030,andy,2020-11-11,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wytek/,yes,NA,https://osf.io/wytek/,yes,NA,OSF,yes,NA,yes,NA,No issues
