article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,"Link to ""supplementary materials"" was provided, but explicity link to open data was given the higher priority in this case."
intro02,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,no,NA,"Link to download the data from the explicitly cited repo did not work, plus download size was quoted to be more than 1GB."
intro03,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,No mention to any supplementary data or materials. Clear article to work through.
intro04,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,"Again, like most psychology articles, supplementary data is provided in SAGE Journals, but it does not seem to be of primary importance."
intro05,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Here, the repo link contained two different data sets, and intuition via cross-referencing data set and article publishing dates helped identify which data set to download."
intro06,aniruddah,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,"The mention of the data repo link was vague compared to other articles, but seemed to be the best link in the article."
intro07,aniruddah,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/.,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,other,File download is taking too long,"No other problems with this article, except that the file download is taking too long (over an hour), assuming that final download size may be more than 100MB."
intro08,aniruddah,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/web/NACDA/studies/4652/versions/V7,yes,NA,ICPSR (Inter-university Consortium for Political and Social Research,yes,NA,yes,NA,"Two links were provided in this article, but both lead to the same data repository - ICPSR - and hence only one link is chosen here."
intro09,aniruddah,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,No problems with article.
intro10,aniruddah,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Link redirects to an IP address that cannot be found,NA,NA,NA,NA,NA,NA,NA,NA,"The data repo link listed in the open practices disclosure pdf under the supplementary materials page for this article in SAGE journals is the same as this link, and hence, no other explicity link seems to indicate to the data."
a000003,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,osf.io/myqn9,yes,NA,https://osf.io/myqn9/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000101,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/etrcd/,yes,NA,https://osf.io/etrcd/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000175,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/BPON3K,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BPON3K,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.
a000181,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/jkbm9/,yes,NA,https://osf.io/jkbm9/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000187,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/C4WN8,yes,NA,https://osf.io/c4wn8/,yes,NA,OSF,yes,NA,yes,NA,"The repository has lots of additional material which may be relevant to admin details of the project, but only the folder with the data files have been downloaded"
a000215,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/kfdca/,yes,NA,https://osf.io/kfdca,yes,NA,OSF,yes,NA,yes,NA,"As always, links to open materials have been ignored, and only those that reference to data have been coded in."
a000217,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wk3ve/.,yes,NA,https://osf.io/wk3ve/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000223,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ybu6r,yes,NA,https://osf.io/ybu6r/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000285,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tnjqs/,yes,NA,https://osf.io/tnjqs/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000309,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.14264/uql.2019.12,yes,NA,https://espace.library.uq.edu.au/view/UQ:21a02ec,yes,NA,UQ eSpace,yes,NA,other,Total download size breaches the 100MB threshold.,"The repository was a new one. The files required seperate download. Some files were small a(1MB), others were way bigger(10GB). Considering zipping all of them together would not reduce file size below 100MB, file was not downloaded. No other appropriate source of data other then this either."
a000316,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/nft78/,yes,NA,https://osf.io/nft78/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000322,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,osf.io/au4x3,yes,NA,https://osf.io/au4x3/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000331,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/ZFLG25,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZFLG25,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.
a000353,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/bdvxs/,yes,NA,https://osf.io/bdvxs,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000523,aniruddah,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/FPYKTP,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FPYKTP,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.
a000532,aniruddah,2020-04-21,yes,NA,yes,NA,other,"This article does not have any explicitly mentioned link to the data, however supplementary materials have been mentioned, which have been downloaded individually and zipped into one file, although the materials were not from a recognized repository, rather a journal database.",1,1,https://doi.org/10.1002/jnr.24485,yes,NA,https://onlinelibrary.wiley.com/doi/abs/10.1002/jnr.24485,no,NA,NA,yes,NA,yes,NA,"This article does not have any explicitly mentioned link to the data, however supplementary materials have been mentioned, which have been downloaded individually and zipped into one file, although the materials were not from a recognized repository, rather a journal database."
a000538,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/OGVWDE,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OGVWDE,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.
a000554,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/u9ac3/,yes,NA,https://osf.io/u9ac3/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000622,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/myfg7,yes,NA,https://osf.io/myfg7,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000675,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/W1TDGZ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W1TDGZ,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.
a000727,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,osf.io/8n7ev,yes,NA,https://osf.io/8n7ev/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000742,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tn3y5/,yes,NA,https://osf.io/tn3y5/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000810,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/bqzpt/,yes,NA,https://osf.io/bqzpt/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000879,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/chpfn/,yes,NA,https://osf.io/chpfn,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a000977,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/45mxw/,yes,NA,https://osf.io/45mxw,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001011,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/SBOMZD,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SBOMZD,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.
a001018,aniruddah,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8xg6m/,yes,NA,https://osf.io/8xg6m/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001112,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n2kxa/,yes,NA,https://osf.io/n2kxa/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001130,aniruddah,2020-04-22,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This article has no mention of open practices or data availability, rather the author has quoted several websites from which he referenced the data used in his article."
a001150,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/g6x7f/?view_only=a780cde9131745bebce281fcd0029a9c.,yes,NA,https://osf.io/g6x7f/?view_only=a780cde9131745bebce281fcd0029a9c,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001201,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9gyvd/,yes,NA,https://osf.io/9gyvd/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001311,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,osf.io/4r9zs,yes,NA,https://osf.io/4r9zs/,yes,NA,OSF,yes,NA,yes,NA,"Like a few other articles, this article linked to a repository which had lots of other files related to the article, but only those listed under 'data' in the repository have been identified and downloaded."
a001330,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,osf.io/s6p9v,yes,NA,https://osf.io/s6p9v/,yes,NA,OSF,yes,NA,yes,NA,"Unlike other articles, the data availability statement only appeared in the Notes section at the end of the article, together with the link to the repository."
a001382,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,osf.io/zd2j9/,yes,NA,https://osf.io/zd2j9/files/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001423,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6d3ry/,yes,NA,https://osf.io/6d3ry/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001488,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/b4cqm/,yes,NA,https://osf.io/b4cqm/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001531,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3hm4g/,yes,NA,https://osf.io/3hm4g/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001547,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://osf.io/s92i4/,yes,NA,https://osf.io/s92i4,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
a001646,aniruddah,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/83v4u,yes,NA,https://osf.io/83v4u/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.
