article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,evelyn,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz/,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro02,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,no,NA,"Total file size was 1GB, when attempted to download the error ""something went wrong"" appeared"
intro03,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,Due to the large file size (4.7MB) it took a few minutes to download
intro04,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,I didn't have any problems with this article
intro05,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
intro06,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro07,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,yes,NA,"Due to large file size, took roughly 20-30 minutes to download"
intro08,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,Interuniversity Consortium for Political and Social Research,other,"The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""",other,"The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""","The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available."""
intro08,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,2,2,http://midus.colectica.org/,other,requires a login to access data/materials,https://midus.colectica.org/Account/Login,yes,NA,Midus,other,requires login to access files,other,requires login to access files,Login required to access and download files
intro09,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro10,evelyn,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""",NA,NA,NA,NA,NA,NA,NA,NA,"Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found"""
a000039,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/7EWDRF,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF,yes,NA,Harvard Dataverse,yes,NA,other,The total data file size was greater than 100MB,The total data file size was greater than 100MB
a000051,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://ckan-rdm.up.pt/dataset/i3s-2019-001,yes,NA,https://ckan-rdm.up.pt/dataset/i3s-2019-001,yes,NA,U.porto (University of Porto),yes,NA,yes,NA,I didn't have any problems with this article
a000107,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4bsw8/,yes,NA,https://osf.io/4bsw8/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000168,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR21600.v17,other,Multiple versions of the data are available,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,yes,NA,Interuniversity Consortium for Political and Social Research,other,"Multiple versions of the data are available, however files for each version are present",other,Latest version of the data was greater than 100MB,"Multiple versions of the data are available, however files for each version are present. The latest version of the data was greater than 100MB and was therefore not downloaded."
a000189,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xv645/,yes,NA,https://osf.io/xv645/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000251,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/k5b7a/,yes,NA,https://osf.io/k5b7a/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000358,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae,yes,NA,https://osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000365,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/IXWZZO,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IXWZZO,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a000390,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,doi:10.7910/DVN/SURSEO,no,missing http://,NA,NA,NA,NA,NA,NA,NA,NA,"The link is missing the ""http://"" such that when you click or copy directly from the paper, the link does not work."
a000407,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://hdl.handle.net/10871/24754.,yes,NA,https://ore.exeter.ac.uk/repository/handle/10871/24754,yes,NA,ORE: Open Research Exeter,yes,NA,other,Total data file size is 5.188GB,Total data file size is 5.188GB and was therefore not downloaded
a000496,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://www.osf.io/9ua8f,yes,NA,https://osf.io/9ua8f,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000671,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ftbhj/,yes,NA,https://osf.io/ftbhj/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000674,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://bit.ly/2JI8RlP,yes,NA,https://osf.io/jqpnm/?view_only=c20b81f66ad34e2ea0361574002e0bce,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000684,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/DZ1NFG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DZ1NFG,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a000685,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/MZKJDR,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MZKJDR,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a000736,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/K7OCDX,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/K7OCDX,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a000749,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/pdsmw/,yes,NA,https://osf.io/pdsmw,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000766,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zny2m/,yes,NA,https://osf.io/zny2m/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000794,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/sy6ue/,yes,NA,https://osf.io/sy6ue/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000794,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/uf36h/,yes,NA,https://osf.io/uf36h/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000804,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9k3sw/,yes,NA,https://osf.io/9k3sw/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000828,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/sgqsx/,yes,NA,https://osf.io/sgqsx/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000937,evelyn,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7p896/,yes,NA,https://osf.io/7p896/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000967,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.17605/OSF.IO/3R2QY,yes,NA,https://osf.io/3r2qy/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000968,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/gsxr6/,yes,NA,https://osf.io/gsxr6/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000983,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5kpbj,yes,NA,https://osf.io/5kpbj/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000996,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4b2pc/,yes,NA,https://osf.io/4b2pc/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001013,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ebhku/,yes,NA,https://osf.io/ebhku/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001025,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/h2xry/,yes,NA,https://osf.io/h2xry/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001025,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,https://doi.org/10.17605/OSF.IO/DZN3S,yes,NA,https://osf.io/dzn3s/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001029,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/craky/,yes,NA,https://osf.io/craky/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001034,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9mjtz/,yes,NA,https://osf.io/9mjtz/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001180,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/he8s7/,yes,NA,https://osf.io/he8s7/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001206,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/6IOACK,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/6IOACK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a001264,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5kbx6/,yes,NA,https://osf.io/5kbx6/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001287,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/ROLEY5,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ROLEY5,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a001334,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/2dc4p/,yes,NA,https://osf.io/2dc4p/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001486,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/64nzg/,yes,NA,https://osf.io/64nzg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001515,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/w38qr/,yes,NA,https://osf.io/w38qr/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001516,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ideta/,yes,NA,https://osf.io/ideta/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001576,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/vq4ak/,yes,NA,https://osf.io/vq4ak/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a001604,evelyn,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://data.mendeley.com/datasets/wynh7zs2rg/1,yes,NA,https://data.mendeley.com/datasets/wynh7zs2rg/1,yes,NA,Mendeley,yes,NA,yes,NA,I didn't have any problems with this article
