article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz/,yes,NA,https://osf.io/uh3in/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro02,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,no,NA,"I can not download the file, a new window just popped up and said 'something went wrong'"
intro03,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro04,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441.,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,I didn't have any problems with this article
intro05,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
intro06,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,Statement about open data being available was in coding procedure section
intro07,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro08,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,NACDA,yes,NA,other,Need to register to access to NACDA,The registration is needed to download the data file
intro08,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,2,2,http://midus.colectica.org/,other,Need to register to access to the MIDUS Portal’s content and functionality.,(not completed by coder),other,(not completed by coder),NA,other,(not completed by coder),other,(not completed by coder),The registration is needed to access to the link destination
intro09,kongmanas,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
