article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.1037/com0000191.supp,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
intro02,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,no,NA,"Tried to download as zip, failed, download as csv succeeded, however, csv file had no data available"
intro03,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/.,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
intro04,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,No problems with this article
intro05,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Havard Dataverse,yes,NA,yes,NA,"Linkes to two sets of data, both were included in the 'data' file of the google docs"
intro06,matthew,2020-04-10,yes,NA,other,No specific mention of availability of data. They say they have registered their procedure on the OSF.,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,Availability of data not specifically mentioned.
intro07,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,partial,Download started but took longer than 15 minutes,Download took too long
intro08,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/web/NACDA/studies/4652/version/6,other,NACDA,NA,other,"Link gave me another link, saying data has been updated since the research, however, this link did not work",no,NA,Link did not lead to data
intro08,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,2,2,http://midus.colectica.org/,yes,NA,https://midus.colectica.org/Account/Login,no,NA,NA,other,Requires login,no,NA,Link required login
intro09,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
intro10,matthew,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,The link provided does not work,NA,NA,NA,NA,NA,NA,NA,NA,The link provided does not work
a000019,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.17605/OSF.IO/YVE8F,yes,NA,https://osf.io/yve8f/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000165,matthew,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/uwzsb/,yes,NA,https://osf.io/uwzsb/,yes,NA,OSF,yes,NA,yes,NA,"There were two links available, but both were the same link. Data was separated into two files"
