article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,orig_row
intro01,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,10.17605/osf.io/n6pfz,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,3
intro02,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,NYU,yes,NA,no,NA,Everytime I try to download the files it directs me to: https://nyu.databrary.org/volume/79/zip/false and says 'Something Went Wrong',4
intro03,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,5
intro04,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,DRYAD,yes,NA,yes,NA,Data set is supplement to https://doi.org/10.1177/0956797614533801,6
intro05,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,HARVARD,yes,NA,yes,NA,I didn't have any problems with this article,7
intro06,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,8
intro07,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,other,"Tried downloading the zip file about 5 times, and it does not seem to be more than 100MB, but it doesn't seem to download completely",NA,9
intro08,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,NACDA,other,"Files exist, but the link in the article directs to the website stating the data (version 6) has now been updated (version 7)",partial,"Could download all 'Document only' data, when I tried to download the other ones such as 'SAS', 'SPSS' etc, it takes me into a login screen","I have put in the Document Only download in the data file, but other remaining ones could not be done",10
intro08,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,2,2,http://midus.colectica.org/,other,"Works, but takes me to login screen",https://midus.colectica.org/Account/Login,other,Not 100% sure,MIDUS,other,Could not access files without login,other,Could not download without login,"I am not sure if the second link is related to Open Data, as the links were put together as data and materials available under the two links",11
intro09,michelle,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,12
