article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,nguyenlam,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,"Along with the hyberlink to data, the link can also be accessed directly by clicking to the badge in 1st page"
intro02,nguyenlam,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,other,"In the data link, there are 2 ways to start the download. First is to click to the hyperlink ""Download all folders"" and second is to click to the folder symbol. The latter way works while the formal one has the error.","Note in ""download_success"" column"
intro03,nguyenlam,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,Not have any problems
intro04,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data."
intro05,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems
intro06,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,"The ''data available statement'' is not written in a sepearate section (e.g in Open Practices, Supplementary Data or in footnote), but is included in text (page 4th)"
intro07,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,yes,NA,"Along with the hyberlink to data, the link can also be accessed directly by clicking to the badge in 1st page"
intro08,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,Interuniversity Consortium for Political and Social Research,yes,NA,other,Need to create an account to be able to download buy I have created one and downloaded data successfully.,"- The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment.
- Notes in ''download_success"""
intro08,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,2,1,http://midus.colectica.org/,yes,NA,https://midus.colectica.org/Account/Login,other,"The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. The data link is the official page of the survey.",NA,other,Need to create an account to be able to download but there is an error when register new account.,no,NA,"- The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment.
- Notes in ''download_success"" and ""is_repository_other"" columns."
intro09,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,Not have any problems
intro10,nguyenlam,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,"The link said ""This site can't be reach/ server IP address could not be found",NA,NA,NA,NA,NA,NA,NA,NA,"Note in ""link_work"" column: The link does not work"
a000105,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4zwsd,yes,NA,https://osf.io/4zwsd/,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary material "" at the journal's website - this link was ignored, since it just contains additional graph and analysis, instead of data."
a000144,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/EZSJ1S,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EZSJ1S,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems
a000151,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ugdcz/,yes,NA,https://osf.io/ugdcz/,yes,NA,OSF,yes,NA,yes,NA,Not have any problems
a000228,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8juyc/,yes,NA,https://osf.io/8juyc/,yes,NA,OSF,yes,NA,yes,NA,Not have any problems
a000275,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/Q8CSU8,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems
a000292,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,other,"The link cannot be accessed directly by clicking the hyberlink in the article. However, if I copy the link and open it in new internet window, the link works.",https://www.iris-database.org/iris/app/home/%20detail?id=york:934328,yes,NA,IRIS,yes,NA,yes,NA,Note in link_works_noother
a000416,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/g3sca/wiki/home,yes,NA,https://osf.io/g3sca/wiki/home,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary material "" at the journal's website - this link was ignored, since it just contains additional graph and analysis, instead of data."
a000430,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/nmabe/,yes,NA,https://osf.io/nmabe/,yes,NA,OSF,yes,NA,yes,NA,"There was a link to ""supplementary material "" at the journal's website - this link was ignored, since it just contains additional graph and analysis, instead of data."
