article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/n6pfz/,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,NA
intro02,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,other,">1GB file, did not attempt",NA
intro03,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,NA
intro04,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,DRYAD,yes,NA,yes,NA,NA
intro05,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,thedata.harvard.edu/dvn/dv/PainData,yes,NA,http://thedata.harvard.edu/dvn/dv/PainData,other,Harvard version of Dataverse,Dataverse,other,Yes. Replication data also present.,yes,NA,NA
intro06,oliver,2020-04-02,yes,NA,no,NA,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,NA
intro07,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,yes,NA,NA
intro08,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,doi.org/10.3886/ICPSR04652.v6,other,"Outdated link. Redirects you to landing page where you click ""V7""",https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/versions/V7,other,"Seems to be repository - however, is specialised/obscure. UMich version of NACDA, which is tied to ICPSR. TBC",NACDA,yes,NA,other,Highly stratified files. Need NACDA membership to download.,NA
intro09,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,partial,"Many files. Tested one. Was successful, able to download from host.",NA
intro10,oliver,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,pisa2006.acer.edu.au/downloads.php,no,Dead link. Server could not be found.,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000045,oliver,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,osf.io/u2xct/,yes,NA,https://osf.io/u2xct/,yes,NA,OSF,yes,NA,yes,NA,NA
