article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz/,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro02,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,partial,cannot dowload all folders as zip,NA
intro03,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro04,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,DRYAD,yes,NA,yes,NA,I didn't have any problems with this article
intro05,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse,yes,NA,yes,NA,The link points to a page containing datatsets from 2 different research papers
intro06,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro07,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,yes,NA,The data statement and link were put in the footnote
intro08,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,other,I'm not sure if it is repository,NACDA,yes,NA,other,files are larger than 100MB,NA
intro08,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,2,2,https://midus.colectica.org/,yes,NA,https://midus.colectica.org/,other,I'm not sure if it is repository,MIDUS,yes,NA,other,files are larger than 100MB,NA
intro09,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro10,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,this site can't be reached,NA,NA,NA,NA,NA,NA,NA,NA,NA
a000005,phuong,2020-04-06,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,NA,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000057,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/pqf9r/,yes,NA,https://osf.io/pqf9r/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000148,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,https://osf.io/9ncmb/?view_only=bd72d104795542d0b761f664cb8adda6,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies
a000009,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/x3ypv/,yes,NA,https://osf.io/x3ypv/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000148,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,https://osf.io/hqyzp/?view_only=d3a4b3858088415094e169f65b7d76d7,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies
a000174,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,1,osf.io/msphv,yes,NA,https://osf.io/msphv/,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies
a000174,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,2,2,osf.io/yegrv,yes,NA,https://osf.io/yegrv/,yes,NA,OSF,yes,NA,yes,NA,There were 2 datasets for 2 studies
a000236,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,osf.io/q9kd3/,yes,NA,https://osf.io/q9kd3/,yes,NA,OSF,yes,NA,yes,NA,The data statement and link were put in footnote
a000335,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,osf.io/6fgnq,yes,NA,https://osf.io/6fgnq/,yes,NA,OSF,yes,NA,yes,NA,The data badge was not put on the first page of the article
a000387,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wgfnm/,yes,NA,https://osf.io/wgfnm/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000425,phuong,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,"www.dx.doi.org/10.7910/
DVN/DIDBMQ",yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DIDBMQ,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a000508,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/wmg6t,yes,NA,https://osf.io/wmg6t,yes,NA,OSF,yes,NA,yes,NA,The link didn't point directly to page containing data files
a000515,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/7bujx/,yes,NA,https://osf.io/wgfnm/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000545,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/XZ0IZE.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XZ0IZE,yes,NA,Harvard Dataverse,yes,NA,yes,NA,The data badge was in black and white
a000605,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,yes,NA,https://www.openicpsr.org/openicpsr/project/101920/version/V3/view,yes,NA,ICPSR,yes,NA,other,an account was required to access the data,NA
a000620,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,2,1,"https://osf.io/cwbgv/,%20https://AsPredicted.org/gepya.pdf",no,Page not found,NA,NA,NA,NA,NA,NA,NA,NA,no data have been collected for this study yet
a000620,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,2,2,https://AsPredicted.org/gepya.pdf,no,Page not found,NA,NA,NA,NA,NA,NA,NA,NA,no data have been collected for this study yet
a000627,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/x37d5/,yes,NA,https://osf.io/x37d5/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000642,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/5yau4,yes,NA,https://osf.io/5yau4,yes,NA,OSF,yes,NA,yes,NA,The link didn't point directly to page containing data files
a000688,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://iris-database.org,yes,NA,https://iris-database.org/iris/app/home/index;jsessionid=5905D5F3E14607BE2F189A7E919C416B,yes,NA,IRIS,yes,NA,other,an account was required to access the data,NA
a000760,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/PGXO5O.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/PGXO5O,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article
a000780,phuong,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,osf.io/zc47d/,yes,NA,https://osf.io/zc47d/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
