article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
intro01,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/n6pfz,yes,NA,https://osf.io/n6pfz/,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. There were two mentions to the data, but had the same URL."
intro02,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,other,Lead to a page whih said 'something went wrong',"There was a link to ""supplementary data"" at the journal's website."
intro03,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9w8pg/,yes,NA,https://osf.io/9w8pg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro04,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
intro05,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,"I had to click on a second link to get the specific data for this paper. There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data."
intro06,sophia,2020-04-02,yes,NA,other,The statement refers to all 'coded' data,yes,NA,1,1,osf.io/zw6jg/,yes,NA,https://osf.io/zw6jg/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro07,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,osf.io/8jxsr/,yes,NA,https://osf.io/8jxsr/,yes,NA,OSF,yes,NA,other,"was able to download the data and programs files, but the raw data file was too big","There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
intro08,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,2,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,National Archive of Computerized Data on Aging,yes,NA,other,the website offered different types of file download - I selected 'documentation only' option,the data was updated in the archive since use within the article.
intro08,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,2,2,http://midus.colectica.org/,yes,NA,https://midus.colectica.org/Account/Login,other,needed a login - don't know,NA,other,needed a login - don't know,no,NA,needed a login
intro09,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xehfu/,yes,NA,https://osf.io/xehfu/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
intro10,sophia,2020-04-02,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site cannot be reached' warning,NA,NA,NA,NA,NA,NA,NA,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
a000001,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/d2jwb,yes,NA,https://osf.io/d2jwb,yes,NA,OSF,no,NA,NA,NA,OSF page was empty
a000005,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,NA,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000081,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,4,1,https://osf.io/x7pgq/,yes,NA,https://osf.io/x7pgq/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000081,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,4,2,https://osf.io/q9jy3/,yes,NA,https://osf.io/q9jy3/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000081,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,4,3,https://osf.io/cdev3/,yes,NA,https://osf.io/cdev3/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000081,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,4,4,https://osf.io/uj2dr/,yes,NA,https://osf.io/uj2dr/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000109,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/2ckz9/,yes,NA,https://osf.io/2ckz9/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
a000139,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/vsnj3/,yes,NA,https://osf.io/vsnj3/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article
