article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000123,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/x6wcb,yes,NA,https://osf.io/x6wcb/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues"
a000233,steve,2020-05-21,yes,NA,no,NA,no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Could not find a link to shared data in paper or on website
a000272,steve,2020-08-31,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/p6jfq/,yes,NA,https://osf.io/p6jfq,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues"
a000272,steve,2020-08-31,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/vhme2/,yes,NA,https://osf.io/vhme2,yes,NA,OSF Registries,yes,NA,yes,NA,"Contains code for calculating indices, so relevant despite being labelled a link to materials"
a000403,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/92xqk/,yes,NA,https://osf.io/92xqk/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues"
a000592,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/24885,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/24885,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues"
a000911,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/kxdm9/,yes,NA,https://osf.io/kxdm9/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues"
a000954,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/2VF2J0,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2VF2J0,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues"
a001338,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/93m8y/,yes,NA,https://osf.io/93m8y/,yes,NA,OSF,yes,NA,yes,NA,Repository also contains data for commentary in separate module - may be relevant
a001381,steve,2020-05-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/npqgz,yes,NA,https://osf.io/npqgz/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues"
