batch_id,coder,date_assigned,batch_date,study_id,Author,Publication Year,Title,Publication Title,pdf_filename
batch0000,steve,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,steve,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,steve,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,steve,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,steve,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,adrian,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,adrian,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,adrian,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,adrian,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,adrian,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,andy,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,andy,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,andy,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,andy,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,andy,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,aniruddah,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,aniruddah,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,aniruddah,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,aniruddah,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,aniruddah,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,evelyn,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,evelyn,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,evelyn,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,evelyn,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,evelyn,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
batch0000,kongmanas,2020-04-02,2020-04-02,a000062,"Harvie, Daniel S.; Broecker, Markus; Smith, Ross T.; Meulders, Ann; Madden, Victoria J.; Moseley, G. Lorimer",2015,Bogus Visual Feedback Alters Onset of Movement-Evoked Pain in People With Neck Pain,Psychological Science,batch0000/intro05/intro05_article.pdf
batch0000,kongmanas,2020-04-02,2020-04-02,a000465,"Chen, Hui; Wyble, Brad",2015,Amnesia for Object Attributes: Failure to Report Attended Information That Had Just Reached Conscious Awareness,Psychological Science,batch0000/intro02/intro02_article.pdf
batch0000,kongmanas,2020-04-02,2020-04-02,a000473,"Fisher, Anna V.; Godwin, Karrie E.; Seltman, Howard",2014,"Visual Environment, Attention Allocation, and Learning in Young                     Children: When Too Much of a Good Thing May Be Bad",Psychological Science,batch0000/intro04/intro04_article.pdf
batch0000,kongmanas,2020-04-02,2020-04-02,a000880,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.",2014,"Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction",Psychological Science,batch0000/intro10/intro10_article.pdf
batch0000,kongmanas,2020-04-02,2020-04-02,a001027,"Hill, Patrick L.; Turiano, Nicholas A.",2014,Purpose in Life as a Predictor of Mortality Across                     Adulthood,Psychological Science,batch0000/intro08/intro08_article.pdf
