study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000465,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,https://nyu.databrary.org/volume/79,yes,NA,https://nyu.databrary.org/volume/79,yes,NA,Databrary,yes,NA,no,NA,"Error message ""Something went wrong"" shown when trying to download files"
a000473,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5061/dryad.d2441,yes,NA,https://datadryad.org/stash/dataset/doi:10.5061/dryad.d2441,yes,NA,Dryad,yes,NA,yes,NA,Links were easy to find
a000062,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/PainData,yes,NA,https://dataverse.harvard.edu/dataverse/PainData,yes,NA,Dataverse,yes,NA,yes,NA,Dataverse contained 2 different folders for separate projects. Actual data was in 2nd folder. Redirected site for 2nd folder was 'https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27813'
a001027,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR04652.v6,yes,NA,https://www.icpsr.umich.edu/icpsrweb/NACDA/studies/4652/version/6,yes,NA,ICPSR,other,Data had been updated to V7. Link to updated data provided and downloaded.,yes,NA,"2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017"
a000880,adrian,2020-04-03,yes,NA,yes,NA,yes,NA,1,1,http://pisa2006.acer.edu.au/downloads.php,no,Site can' be reached,NA,NA,NA,NA,NA,NA,NA,NA,Link did not work
a000013,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc,yes,NA,Dataverse,yes,NA,yes,NA,Ok
a000132,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,2,1,http://www.pairfam.de/en/data/data-access/,yes,NA,https://www.pairfam.de/index.php,no,NA,NA,no,NA,NA,NA,Article had 2 links - This link was in German and did not have files for download
a000132,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/z6ryh/,yes,NA,https://osf.io/z6ryh/,yes,NA,OSF,yes,NA,yes,NA,Article had 2 links - This link was ok
a000154,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/usdq8/,yes,NA,https://osf.io/usdq8/,yes,NA,OSF,yes,NA,yes,NA,Files were not as obvious
a000168,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR21600.v17,yes,NA,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,yes,NA,ICPSR,other,Data had been updated to V21. Link to updated data provided and downloaded.,yes,NA,Files were hard to find and took a long time to download. File size was 143MB so did not upload to Drive
a000191,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3mftr/,yes,NA,https://osf.io/3mftr/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000192,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/B2478,yes,NA,https://osf.io/B2478,yes,NA,OSF,yes,NA,yes,NA,Article had 2 links - This link contained 'Data'
a000192,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/G4C7Z/,yes,NA,https://osf.io/G4C7Z/,yes,NA,OSF,yes,NA,yes,NA,Article had 2 links - This link contained 'Materials'
a000207,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/bx8zv/,yes,NA,https://osf.io/bx8zv/,yes,NA,OSF,yes,NA,yes,NA,"Link was not obvious to find. There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data"
a000216,adrian,2020-04-05,yes,NA,no,NA,yes,NA,1,1,https://osf.io/9nq3c/,yes,NA,https://osf.io/9nq3c/,yes,NA,OSF,yes,NA,yes,NA,Link was buried in a footnote and hard to find. There was no availbility statement
a000386,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://www.osf.io/r483u,yes,NA,http://www.osf.io/r483u,yes,NA,OSF,yes,NA,yes,NA,Ok
a000410,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/xf7rn/,yes,NA,https://osf.io/xf7rn/,yes,NA,OSF,yes,NA,yes,NA,Ok
a000412,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/fzmsa/,yes,NA,https://osf.io/fzmsa/,yes,NA,OSF,yes,NA,yes,NA,Link was in a footnote and hard to find
a000531,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/u9bsv/,yes,NA,https://osf.io/u9bsv/,yes,NA,OSF,yes,NA,yes,NA,Ok
