study_id,coder,link_number,link_url,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned
a000001,oliver,1,osf.io/d2jwb/,NA,osf.io/d2jwb/,osf.io/d2jwb,https://osf.io/d2jwb/files/,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb
a000001,sophia,1,https://osf.io/d2jwb,NA,https://osf.io/d2jwb,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb
a000001,steve,1,https://osf.io/d2jwb,NA,https://osf.io/d2jwb,osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,https://osf.io/d2jwb,osf.io/d2jwb
a000003,aniruddah,1,osf.io/myqn9,NA,osf.io/myqn9,osf.io/myqn9,https://osf.io/myqn9/,NA,https://osf.io/myqn9/,osf.io/myqn9
a000003,oliver,1,osf.io/myqn9/,NA,osf.io/myqn9/,osf.io/myqn9,https://osf.io/myqn9/,NA,https://osf.io/myqn9/,osf.io/myqn9
a000004,michelle,1,https://osf.io/4sqn3/,NA,https://osf.io/4sqn3/,osf.io/4sqn3,https://osf.io/4sqn3/,NA,https://osf.io/4sqn3/,osf.io/4sqn3
a000004,sophia,1,https://osf.io/4sqn3/,NA,https://osf.io/4sqn3/,osf.io/4sqn3,https://osf.io/4sqn3/,NA,https://osf.io/4sqn3/,osf.io/4sqn3
a000005,phuong,1,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,NA,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,NA,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78
a000005,sophia,1,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,NA,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,NA,https://osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78
a000007,evelyn,1,https://osf.io/wds5y/,NA,https://osf.io/wds5y/,osf.io/wds5y,https://osf.io/wds5y/,NA,https://osf.io/wds5y/,osf.io/wds5y
a000007,michelle,1,https://osf.io/wds5y,NA,https://osf.io/wds5y,osf.io/wds5y,https://osf.io/wds5y/,NA,https://osf.io/wds5y/,osf.io/wds5y
a000007,oliver,1,osf.io/wds5y/,NA,osf.io/wds5y/,osf.io/wds5y,https://osf.io/wds5y/,NA,https://osf.io/wds5y/,osf.io/wds5y
a000009,michelle,1,https://osf.io/x3ypv/,NA,https://osf.io/x3ypv/,osf.io/x3ypv,https://osf.io/x3ypv/,NA,https://osf.io/x3ypv/,osf.io/x3ypv
