"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other","is_repository","repository_name","all_notes","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","flag_credentials_required","final_download_success","final_download_success2"
"a000001","yes",,"yes",,"yes",,"osf.io/d2jwb","yes",,"osf.io/d2jwb","yes",,"yes",,"yes","Open Science Framework","oliver: (no note made); sophia: OSF page was empty; steve: Straightforward, no issues",2019,"Patihis, Lawrence; Cruz, Cristobal S.; Herrera, Mario E.","Changing Current Appraisals of Mothers Leads to Changes in Childhood Memories of Love Toward Mothers","Clinical Psychological Science","2167-7026","10.1177/2167702619842468","1125-1143","5",7,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000003","yes",,"yes",,"yes",,"osf.io/myqn9","yes",,"osf.io/myqn9","yes",,"yes",,"yes","Open Science Framework","aniruddah: No issues with this article.; oliver: (no note made)",2019,"Connor, Paul; Sarafidis, Vasilis; Zyphur, Michael J; Keltner, Dacher; Chen, Serena","Income Inequality and White-on-Black Racial Bias in the United States: Evidence From Project Implicit and Google Trends","Psychological Science","0956-7976","10.1177/0956797618815441","205-222","2",30,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000004","yes",,"yes",,"yes",,"osf.io/4sqn3","yes",,"osf.io/4sqn3","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2017,"Stark, Emily; Baldwin, Austin S.; Hertel, Andrew W.; Rothman, Alexander J.","The role of rational and experiential processing in influencing the framing effect","The Journal of Social Psychology","0022-4545","10.1080/00224545.2016.1198301","308-321","3",157,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000005","yes",,"yes",,"yes",,"osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78","yes",,"osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78","yes",,"yes",,"yes","Open Science Framework","phuong: I didn't have any problems with this article; sophia: I didn't have any problems with this article",2019,"Rychlowska, Magdalena; van der Schalk, Job; Gratch, Jonathan; Breitinger, Eva; Manstead, Antony S. R.","Beyond actions: Reparatory effects of regret in intergroup trust games","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2019.01.006","74-84",,82,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000007","yes",,"yes",,"yes",,"osf.io/wds5y","yes",,"osf.io/wds5y","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; michelle: I didn't have any problems with this article; oliver: (no note made)",2017,"Olderbak Sally G.; Malter Frederic; Wolf Pedro Sofio Abril; Jones Daniel N.; Figueredo Aurelio José","Predicting Romantic Interest at Zero Acquaintance: Evidence of Sex Differences in Trait Perception but Not in Predictors of Interest","European Journal of Personality","0890-2070","10.1002/per.2087","42-62","1",31,TRUE,FALSE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000009","yes",,"yes",,"yes",,"osf.io/x3ypv","yes",,"osf.io/x3ypv","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; phuong: I didn't have any problems with this article",2019,"Hanniball, Katherine B.; Aknin, Lara B.; Douglas, Kevin S.; Viljoen, Jodi L.","Does helping promote well-being in at-risk youth and ex-offender samples?","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2018.11.001","307-317",,82,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000010","yes",,"yes",,"yes",,"osf.io/6yhmp","yes",,"osf.io/6yhmp","yes",,"yes",,"yes","Open Science Framework","michelle: Two data sets linked, but the second link seemed more directly relevant than the first (Fatfouta & Schroder-Abe, 2017); sophia: I didn't have any problems with this article",2018,"Fatfouta, Ramzi; Schröder-Abé, Michela","Agentic to the core? Facets of narcissism and positive implicit self-views in the agentic domain","Journal of Research in Personality","0092-6566","10.1016/j.jrp.2018.02.006","78-82",,74,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000011","yes",,"yes",,"yes",,"osf.io/x8rnq","yes",,"osf.io/x8rnq","other","One code file was downloadable, but ""checked out"" which means that it was not clear whether it was the final version of the file or not.","yes",,"yes","Open Science Framework","michelle: Need log in to access files; michelle: One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made; sophia: There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.; steve: Data is locked behind a registration and approval process; steve: code used for analysis so relevant - code file was checked out on OSF even though it could be downloaded etc.",2019,"Nave, Gideon; Jung, Wi Hoon; Linnér, Richard Karlsson; Kable, Joseph W; Koellinger, Philipp D","Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study","Psychological Science","0956-7976","10.1177/0956797618808470","43-54","1",30,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","yes","yes","yes","no","yes","yes"
"a000011","yes",,"yes",,"yes",,"www.ukbiobank.ac.uk","other","link works, but is to the generic homepage. More detail needed in order to find the actual data used.","www.ukbiobank.ac.uk","other","Registration and approval is required to access any data files","no",,"no",,"michelle: Need log in to access files; michelle: One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made; sophia: There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.; steve: Data is locked behind a registration and approval process; steve: code used for analysis so relevant - code file was checked out on OSF even though it could be downloaded etc.",2019,"Nave, Gideon; Jung, Wi Hoon; Linnér, Richard Karlsson; Kable, Joseph W; Koellinger, Philipp D","Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study","Psychological Science","0956-7976","10.1177/0956797618808470","43-54","1",30,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","yes","yes","no","yes",,
"a000012","yes",,"yes",,"yes",,"osf.io/njea2","yes",,"osf.io/njea2","yes",,"yes",,"yes","Open Science Framework","evelyn: I didn't have any problems with this article; phuong: I didn't have any problems with this article",2019,"O’Brien, Ed; Kassirer, Samantha","People Are Slow to Adapt to the Warm Glow of Giving","Psychological Science","0956-7976, 1467-9280","10.1177/0956797618814145","193-204","2",30,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000013","yes",,"yes",,"yes",,"thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc","yes",,"yes",,"yes","Harvard Dataverse","adrian: Ok; evelyn: I didn't have any problems with this article; oliver: (no note made)",2015,"Zaval, Lisa; Markowitz, Ezra M.; Weber, Elke U.","How Will I Be Remembered? Conserving the Environment for the Sake of One’s Legacy","Psychological Science","0956-7976","10.1177/0956797614561266","231-236","2",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
"a000015","yes",,"yes",,"yes",,"osf.io/f3dh6","yes",,"osf.io/f3dh6","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; oliver: (no note made)",2016,"Robenalt Clarice; Goldberg Adele E.","Nonnative Speakers Do Not Take Competing Alternative Expressions Into Account the Way Native Speakers Do","Language Learning","0023-8333","10.1111/lang.12149","60-93","1",66,TRUE,TRUE,FALSE,FALSE,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes","no","yes","yes"
