study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other
a000001,yes,NA,yes,NA,yes,NA
a000003,yes,NA,yes,NA,yes,NA
a000004,yes,NA,yes,NA,yes,NA
a000005,yes,NA,yes,NA,yes,NA
a000007,yes,NA,yes,NA,yes,NA
a000009,yes,NA,yes,NA,yes,NA
a000010,yes,NA,yes,NA,yes,NA
a000011,yes,NA,yes,NA,yes,NA
a000012,yes,NA,yes,NA,yes,NA
a000013,yes,NA,yes,NA,yes,NA
a000015,yes,NA,yes,NA,yes,NA
a000016,yes,NA,yes,NA,yes,NA
a000017,yes,NA,yes,NA,yes,NA
a000018,yes,NA,yes,NA,yes,NA
a000019,yes,NA,yes,NA,yes,NA
a000020,yes,NA,yes,NA,yes,NA
a000022,yes,NA,yes,NA,yes,NA
a000023,yes,NA,yes,NA,yes,NA
a000024,yes,NA,yes,NA,yes,NA
a000025,yes,NA,yes,NA,yes,NA
a000029,yes,NA,yes,NA,yes,NA
a000030,yes,NA,yes,NA,yes,NA
a000031,yes,NA,yes,NA,yes,NA
a000032,yes,NA,yes,NA,yes,NA
a000033,yes,NA,yes,NA,yes,NA
a000035,yes,NA,yes,NA,yes,NA
a000036,yes,NA,yes,NA,yes,NA
a000037,yes,NA,yes,NA,yes,NA
a000038,yes,NA,yes,NA,yes,NA
a000039,yes,NA,yes,NA,yes,NA
a000040,yes,NA,yes,NA,yes,NA
a000041,yes,NA,yes,NA,yes,NA
a000042,yes,NA,yes,NA,yes,NA
a000043,yes,NA,yes,NA,yes,NA
a000044,yes,NA,yes,NA,yes,NA
a000045,yes,NA,yes,NA,yes,NA
a000046,yes,NA,yes,NA,yes,NA
a000047,yes,NA,yes,NA,yes,NA
a000048,yes,NA,yes,NA,yes,NA
a000049,yes,NA,yes,NA,yes,NA
a000050,yes,NA,yes,NA,yes,NA
a000051,yes,NA,yes,NA,yes,NA
a000054,yes,NA,yes,NA,yes,NA
a000056,yes,NA,yes,NA,yes,NA
a000057,yes,NA,yes,NA,yes,NA
a000061,yes,NA,yes,NA,yes,NA
a000062,yes,NA,yes,NA,yes,NA
a000064,yes,NA,yes,NA,yes,NA
a000066,yes,NA,yes,NA,yes,NA
a000067,yes,NA,yes,NA,yes,NA
a000071,yes,NA,yes,NA,yes,NA
a000072,yes,NA,yes,NA,yes,NA
a000073,yes,NA,yes,NA,yes,NA
a000074,yes,NA,yes,NA,yes,NA
a000075,yes,NA,yes,NA,yes,NA
a000077,yes,NA,yes,NA,yes,NA
a000080,yes,NA,yes,NA,yes,NA
a000081,yes,NA,yes,NA,yes,NA
a000082,yes,NA,no,NA,yes,NA
a000083,yes,NA,yes,NA,yes,NA
a000084,yes,NA,yes,NA,yes,NA
a000085,yes,NA,yes,NA,yes,NA
a000088,yes,NA,yes,NA,yes,NA
a000089,yes,NA,yes,NA,yes,NA
a000090,yes,NA,yes,NA,yes,NA
a000093,yes,NA,yes,NA,yes,NA
a000096,yes,NA,yes,NA,yes,NA
a000097,yes,NA,yes,NA,yes,NA
a000098,yes,NA,yes,NA,yes,NA
a000099,yes,NA,yes,NA,yes,NA
a000100,yes,NA,yes,NA,yes,NA
a000101,yes,NA,yes,NA,yes,NA
a000103,yes,NA,yes,NA,yes,NA
a000104,yes,NA,yes,NA,yes,NA
a000105,yes,NA,yes,NA,yes,NA
a000106,yes,NA,yes,NA,yes,NA
a000107,yes,NA,yes,NA,yes,NA
a000108,yes,NA,yes,NA,yes,NA
a000109,yes,NA,yes,NA,yes,NA
a000110,yes,NA,yes,NA,yes,NA
a000112,yes,NA,no,NA,yes,NA
a000115,yes,NA,yes,NA,yes,NA
a000116,yes,NA,yes,NA,yes,NA
a000117,yes,NA,yes,NA,yes,NA
a000118,yes,NA,yes,NA,yes,NA
a000119,yes,NA,yes,NA,yes,NA
a000121,yes,NA,yes,NA,yes,NA
a000122,yes,NA,yes,NA,yes,NA
a000123,yes,NA,yes,NA,yes,NA
a000127,yes,NA,yes,NA,yes,NA
a000128,yes,NA,yes,NA,yes,NA
a000130,yes,NA,yes,NA,yes,NA
a000131,yes,NA,yes,NA,yes,NA
a000132,yes,NA,yes,NA,yes,NA
a000133,yes,NA,yes,NA,yes,NA
a000134,yes,NA,yes,NA,yes,NA
a000136,yes,NA,yes,NA,yes,NA
a000138,yes,NA,yes,NA,yes,NA
a000139,yes,NA,yes,NA,yes,NA
a000140,yes,NA,yes,NA,yes,NA
a000141,yes,NA,yes,NA,yes,NA
a000142,yes,NA,yes,NA,yes,NA
a000143,yes,NA,yes,NA,yes,NA
a000144,yes,NA,yes,NA,yes,NA
a000145,yes,NA,yes,NA,yes,NA
a000146,yes,NA,yes,NA,other,"original article has link to original repo, but there is another repo associated with the corrigendum for the article, which is only accessible from the non-registered version of the original OSF project"
a000147,yes,NA,yes,NA,yes,NA
a000148,yes,NA,yes,NA,yes,NA
a000149,yes,NA,yes,NA,yes,NA
a000151,yes,NA,yes,NA,yes,NA
a000152,yes,NA,yes,NA,yes,NA
a000153,yes,NA,yes,NA,yes,NA
a000154,yes,NA,yes,NA,yes,NA
a000156,yes,NA,yes,NA,yes,NA
a000157,yes,NA,yes,NA,yes,NA
a000158,yes,NA,yes,NA,yes,NA
a000159,yes,NA,yes,NA,yes,NA
a000160,yes,NA,yes,NA,yes,NA
a000162,yes,NA,yes,NA,yes,NA
a000163,yes,NA,yes,NA,yes,NA
a000164,yes,NA,yes,NA,yes,NA
a000165,yes,NA,yes,NA,yes,NA
a000167,yes,NA,yes,NA,yes,NA
a000168,yes,NA,yes,NA,yes,NA
a000169,yes,NA,yes,NA,yes,NA
a000170,yes,NA,yes,NA,yes,NA
a000171,yes,NA,yes,NA,yes,NA
a000174,yes,NA,yes,NA,yes,NA
a000175,yes,NA,yes,NA,yes,NA
a000176,yes,NA,yes,NA,yes,NA
a000177,yes,NA,yes,NA,yes,NA
a000178,yes,NA,yes,NA,yes,NA
a000180,yes,NA,yes,NA,yes,NA
a000181,yes,NA,yes,NA,yes,NA
a000182,yes,NA,yes,NA,yes,NA
a000183,yes,NA,no,NA,yes,NA
a000185,yes,NA,yes,NA,yes,NA
a000186,yes,NA,yes,NA,yes,NA
a000187,yes,NA,yes,NA,yes,NA
a000188,yes,NA,yes,NA,yes,NA
a000189,yes,NA,yes,NA,yes,NA
a000191,yes,NA,yes,NA,yes,NA
a000192,yes,NA,yes,NA,yes,NA
a000193,yes,NA,yes,NA,yes,NA
a000194,yes,NA,yes,NA,yes,NA
a000195,yes,NA,yes,NA,yes,NA
a000196,yes,NA,yes,NA,yes,NA
a000197,yes,NA,yes,NA,yes,NA
a000199,yes,NA,yes,NA,yes,NA
a000202,yes,NA,yes,NA,yes,NA
a000203,yes,NA,yes,NA,yes,NA
a000205,yes,NA,yes,NA,yes,NA
a000206,yes,NA,yes,NA,yes,NA
a000207,yes,NA,yes,NA,yes,NA
a000208,yes,NA,yes,NA,yes,NA
a000210,yes,NA,yes,NA,yes,NA
a000211,yes,NA,yes,NA,yes,NA
a000212,yes,NA,yes,NA,yes,NA
a000213,yes,NA,yes,NA,yes,NA
a000214,yes,NA,yes,NA,yes,NA
a000215,yes,NA,yes,NA,yes,NA
a000216,yes,NA,no,NA,yes,NA
a000217,yes,NA,yes,NA,yes,NA
a000219,yes,NA,yes,NA,yes,NA
a000221,yes,NA,yes,NA,yes,NA
a000223,yes,NA,yes,NA,yes,NA
a000227,yes,NA,yes,NA,yes,NA
a000228,yes,NA,yes,NA,yes,NA
a000229,yes,NA,yes,NA,yes,NA
a000230,yes,NA,yes,NA,yes,NA
a000231,yes,NA,yes,NA,yes,NA
a000232,yes,NA,yes,NA,yes,NA
a000233,yes,NA,no,NA,no,NA
a000235,yes,NA,yes,NA,yes,NA
a000236,yes,NA,yes,NA,yes,NA
a000238,yes,NA,yes,NA,yes,NA
a000239,yes,NA,yes,NA,yes,NA
a000240,yes,NA,yes,NA,yes,NA
a000242,yes,NA,yes,NA,yes,NA
a000243,yes,NA,yes,NA,yes,NA
a000244,yes,NA,yes,NA,yes,NA
a000245,yes,NA,yes,NA,yes,NA
a000247,yes,NA,yes,NA,yes,NA
a000250,yes,NA,yes,NA,yes,NA
a000251,yes,NA,yes,NA,yes,NA
a000253,yes,NA,yes,NA,yes,NA
a000256,yes,NA,yes,NA,yes,NA
a000257,yes,NA,yes,NA,yes,NA
a000258,yes,NA,yes,NA,yes,NA
a000259,yes,NA,yes,NA,yes,NA
a000260,yes,NA,yes,NA,yes,NA
a000264,yes,NA,yes,NA,yes,NA
a000266,yes,NA,yes,NA,yes,NA
a000267,yes,NA,yes,NA,yes,NA
a000269,yes,NA,yes,NA,yes,NA
a000270,yes,NA,yes,NA,yes,NA
a000272,yes,NA,yes,NA,yes,NA
a000273,yes,NA,yes,NA,yes,NA
a000275,yes,NA,yes,NA,yes,NA
a000276,yes,NA,yes,NA,yes,NA
a000279,yes,NA,yes,NA,yes,NA
a000280,yes,NA,yes,NA,yes,NA
a000281,yes,NA,yes,NA,yes,NA
a000282,yes,NA,yes,NA,yes,NA
a000284,yes,NA,yes,NA,yes,NA
a000285,yes,NA,yes,NA,yes,NA
a000287,yes,NA,yes,NA,yes,NA
a000288,yes,NA,yes,NA,yes,NA
a000292,yes,NA,yes,NA,yes,NA
a000293,yes,NA,yes,NA,yes,NA
a000294,yes,NA,yes,NA,yes,NA
a000295,yes,NA,yes,NA,yes,NA
a000296,yes,NA,yes,NA,yes,NA
a000297,yes,NA,yes,NA,yes,NA
a000298,yes,NA,yes,NA,yes,NA
a000299,yes,NA,other,"Appendix A is explicitly called ""Supplemental data"" but is just a document, not data. Actual shared data is buried in body of article text.",yes,NA
a000300,yes,NA,yes,NA,yes,NA
a000301,yes,NA,yes,NA,yes,NA
a000302,yes,NA,yes,NA,yes,NA
a000303,yes,NA,yes,NA,yes,NA
a000305,yes,NA,yes,NA,yes,NA
a000306,yes,NA,yes,NA,yes,NA
a000309,yes,NA,yes,NA,yes,NA
a000311,yes,NA,yes,NA,yes,NA
a000313,yes,NA,yes,NA,yes,NA
a000314,yes,NA,yes,NA,yes,NA
a000315,yes,NA,yes,NA,yes,NA
a000316,yes,NA,yes,NA,yes,NA
a000317,yes,NA,yes,NA,yes,NA
a000318,yes,NA,yes,NA,yes,NA
a000319,yes,NA,yes,NA,yes,NA
a000320,yes,NA,yes,NA,yes,NA
a000321,yes,NA,yes,NA,yes,NA
a000322,yes,NA,yes,NA,yes,NA
