study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,link_url_cleaned
a000001,yes,NA,yes,NA,yes,NA,osf.io/d2jwb
a000003,yes,NA,yes,NA,yes,NA,osf.io/myqn9
a000004,yes,NA,yes,NA,yes,NA,osf.io/4sqn3
a000005,yes,NA,yes,NA,yes,NA,osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78
a000007,yes,NA,yes,NA,yes,NA,osf.io/wds5y
a000009,yes,NA,yes,NA,yes,NA,osf.io/x3ypv
a000010,yes,NA,yes,NA,yes,NA,osf.io/6yhmp
a000011,yes,NA,yes,NA,yes,NA,osf.io/x8rnq
a000011,yes,NA,yes,NA,yes,NA,www.ukbiobank.ac.uk
a000012,yes,NA,yes,NA,yes,NA,osf.io/njea2
a000013,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc
a000015,yes,NA,yes,NA,yes,NA,osf.io/f3dh6
a000016,yes,NA,yes,NA,yes,NA,osf.io/cp76s
a000017,yes,NA,yes,NA,yes,NA,osf.io/yw9us
a000018,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9
a000019,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/YVE8F
a000020,yes,NA,yes,NA,yes,NA,reshare.ukdataservice.ac.uk/852658
a000022,yes,NA,yes,NA,yes,NA,osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None
a000023,yes,NA,yes,NA,yes,NA,osf.io/jbq9v
a000024,yes,NA,yes,NA,yes,NA,osf.io/jrmk4
a000024,yes,NA,yes,NA,yes,NA,osf.io/z68ku
a000025,yes,NA,yes,NA,yes,NA,osf.io/kz53g
a000029,yes,NA,yes,NA,yes,NA,osf.io/k67ba
a000030,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/ZSYWHO
a000031,yes,NA,yes,NA,yes,NA,doi.org/10.25540/3wd8-dffw
a000031,yes,NA,yes,NA,yes,NA,five.dartmouth.edu/datasets
a000032,yes,NA,yes,NA,yes,NA,doi.org/10.6096/MISTRALS-HyMeX.1406
a000033,yes,NA,yes,NA,yes,NA,osf.io/h67mx
a000035,yes,NA,yes,NA,yes,NA,osf.io/9tu5r
a000036,yes,NA,yes,NA,yes,NA,osf.io/g9yrc
a000037,yes,NA,yes,NA,yes,NA,hdl.handle.net/11633/aabxbkd7
a000038,yes,NA,yes,NA,yes,NA,osf.io/6ayhs
a000039,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/7EWDRF
a000040,yes,NA,yes,NA,yes,NA,osf.io/fkmbh
a000041,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/GDTPM
a000042,yes,NA,yes,NA,yes,NA,osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8
a000043,yes,NA,yes,NA,yes,NA,osf.io/tmdvn
a000044,yes,NA,yes,NA,yes,NA,osf.io/2pgtj
a000045,yes,NA,yes,NA,yes,NA,osf.io/u2xct
a000046,yes,NA,yes,NA,yes,NA,osf.io/dkqfn
a000047,yes,NA,yes,NA,yes,NA,osf.io/g3rnt
a000048,yes,NA,yes,NA,yes,NA,osf.io/cpmfk
a000049,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/DTFR60
a000050,yes,NA,yes,NA,yes,NA,osf.io/2wjgn
a000051,yes,NA,yes,NA,yes,NA,ckan-rdm.up.pt/dataset/i3s-2019-001
a000054,yes,NA,yes,NA,yes,NA,osf.io/hgcet
a000056,yes,NA,yes,NA,yes,NA,osf.io/2b9hn
a000057,yes,NA,yes,NA,yes,NA,osf.io/pqf9r
a000061,yes,NA,yes,NA,yes,NA,osf.io/w2xsr
a000062,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/PainData
a000064,yes,NA,yes,NA,yes,NA,osf.io/jpxat/quickfiles
a000066,yes,NA,yes,NA,yes,NA,osf.io/dtgaa
a000067,yes,NA,yes,NA,yes,NA,osf.io/nm8vf
a000071,yes,NA,yes,NA,yes,NA,osf.io/856cs
a000071,yes,NA,yes,NA,yes,NA,re3data.org
a000072,yes,NA,yes,NA,yes,NA,osf.io/56yz7
a000073,yes,NA,yes,NA,yes,NA,osf.io/6zdnh
a000074,yes,NA,yes,NA,yes,NA,osf.io/t9c52
a000075,yes,NA,yes,NA,yes,NA,osf.io/p8f7w
a000077,yes,NA,yes,NA,yes,NA,bit.ly/2mLcXyu
a000080,yes,NA,yes,NA,yes,NA,osf.io/4x8tn
a000081,yes,NA,yes,NA,yes,NA,osf.io/cdev3
a000081,yes,NA,yes,NA,yes,NA,osf.io/q9jy3
a000081,yes,NA,yes,NA,yes,NA,osf.io/uj2dr
a000081,yes,NA,yes,NA,yes,NA,osf.io/x7pgq
a000082,yes,NA,no,NA,yes,NA,osf.io/anc5m
a000083,yes,NA,yes,NA,yes,NA,osf.io/rmjtg
a000084,yes,NA,yes,NA,yes,NA,osf.io/54yzr
a000085,yes,NA,yes,NA,yes,NA,osf.io/zudxp
a000088,yes,NA,yes,NA,yes,NA,osf.io/6u4wh
a000089,yes,NA,yes,NA,yes,NA,osf.io/3htpj
a000090,yes,NA,yes,NA,yes,NA,osf.io/e9mhc
a000093,yes,NA,yes,NA,yes,NA,osf.io/uyadw
a000096,yes,NA,yes,NA,yes,NA,osf.io/9246v
a000097,yes,NA,yes,NA,yes,NA,osf.io/tqzkd
a000098,yes,NA,yes,NA,yes,NA,osf.io/nft5c
a000099,yes,NA,yes,NA,yes,NA,osf.io/4dau5
a000100,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/Z6SDM
a000101,yes,NA,yes,NA,yes,NA,osf.io/etrcd
a000103,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/VEPHLS
a000104,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/kenswan
a000105,yes,NA,yes,NA,yes,NA,osf.io/4zwsd
a000106,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/CQXHTH
a000107,yes,NA,yes,NA,yes,NA,osf.io/4bsw8
a000108,yes,NA,yes,NA,yes,NA,doi.org/10.5061/dryad.cn20jv8
a000109,yes,NA,yes,NA,yes,NA,osf.io/2ckz9
a000110,yes,NA,yes,NA,yes,NA,osf.io/4d2ve
a000112,yes,NA,no,NA,yes,NA,osf.io/wcuhx
a000115,yes,NA,yes,NA,yes,NA,osf.io/m35b8
a000116,yes,NA,yes,NA,yes,NA,osf.io/gzytb
a000117,yes,NA,yes,NA,yes,NA,archaeologydataservice.ac.uk/archives/view/greylit
a000118,yes,NA,yes,NA,yes,NA,osf.io/b5sar
a000119,yes,NA,yes,NA,yes,NA,osf.io/3ymbu
a000121,yes,NA,yes,NA,yes,NA,osf.io/cgydx
a000122,yes,NA,yes,NA,yes,NA,osf.io/j5zyf
a000123,yes,NA,yes,NA,yes,NA,osf.io/x6wcb
a000127,yes,NA,yes,NA,yes,NA,osf.io/ezqft
a000128,yes,NA,yes,NA,yes,NA,osf.io/dbuh4
a000130,yes,NA,yes,NA,yes,NA,osf.io/pr39h
a000131,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/26910
a000131,yes,NA,yes,NA,yes,NA,osf.io/p97fk
a000132,yes,NA,yes,NA,yes,NA,osf.io/z6ryh
a000132,yes,NA,yes,NA,yes,NA,www.pairfam.de/en/data/data-access
a000133,yes,NA,yes,NA,yes,NA,osf.io/453ds
a000134,yes,NA,yes,NA,yes,NA,osf.io/b8zft
a000136,yes,NA,yes,NA,yes,NA,osf.io/9d6t4
a000138,yes,NA,yes,NA,yes,NA,doi.org/10.21985/N2VR0V
a000139,yes,NA,yes,NA,yes,NA,osf.io/vsnj3
a000140,yes,NA,yes,NA,yes,NA,osf.io/4fpkn
a000141,yes,NA,yes,NA,yes,NA,osf.io/7tssz
a000142,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WD3IUA
a000143,yes,NA,yes,NA,yes,NA,osf.io/8cq5f
a000144,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/EZSJ1S
a000145,yes,NA,yes,NA,yes,NA,osf.io/cwq75
