"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other"
"a000001","yes",,"yes",,"yes",,"osf.io/d2jwb","yes",,"osf.io/d2jwb","yes",,"yes",
"a000003","yes",,"yes",,"yes",,"osf.io/myqn9","yes",,"osf.io/myqn9","yes",,"yes",
"a000004","yes",,"yes",,"yes",,"osf.io/4sqn3","yes",,"osf.io/4sqn3","yes",,"yes",
"a000005","yes",,"yes",,"yes",,"osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78","yes",,"osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78","yes",,"yes",
"a000007","yes",,"yes",,"yes",,"osf.io/wds5y","yes",,"osf.io/wds5y","yes",,"yes",
"a000009","yes",,"yes",,"yes",,"osf.io/x3ypv","yes",,"osf.io/x3ypv","yes",,"yes",
"a000010","yes",,"yes",,"yes",,"osf.io/6yhmp","yes",,"osf.io/6yhmp","yes",,"yes",
"a000011","yes",,"yes",,"yes",,"osf.io/x8rnq","yes",,"osf.io/x8rnq","other","One code file was downloadable, but ""checked out"" which means that it was not clear whether it was the final version of the file or not.","yes",
"a000011","yes",,"yes",,"yes",,"www.ukbiobank.ac.uk","other","link works, but is to the generic homepage. More detail needed in order to find the actual data used.","www.ukbiobank.ac.uk","other","Registration and approval is required to access any data files","no",
"a000012","yes",,"yes",,"yes",,"osf.io/njea2","yes",,"osf.io/njea2","yes",,"yes",
"a000013","yes",,"yes",,"yes",,"thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc","yes",,"yes",
"a000015","yes",,"yes",,"yes",,"osf.io/f3dh6","yes",,"osf.io/f3dh6","yes",,"yes",
"a000016","yes",,"yes",,"yes",,"osf.io/cp76s","yes",,"osf.io/cp76s","yes",,"yes",
"a000017","yes",,"yes",,"yes",,"osf.io/yw9us","yes",,"osf.io/yw9us","yes",,"yes",
"a000018","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9","yes",,"yes",
"a000019","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/YVE8F","yes",,"osf.io/yve8f","yes",,"yes",
"a000020","yes",,"yes",,"yes",,"reshare.ukdataservice.ac.uk/852658","yes",,"reshare.ukdataservice.ac.uk/852658","yes",,"yes",
"a000022","yes",,"yes",,"yes",,"osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None","yes",,"osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None","yes",,"yes",
"a000023","yes",,"yes",,"yes",,"osf.io/jbq9v","yes",,"osf.io/jbq9v","yes",,"yes",
"a000024","yes",,"yes",,"yes",,"osf.io/jrmk4","yes",,"osf.io/jrmk4","yes",,"yes",
"a000024","yes",,"yes",,"yes",,"osf.io/z68ku","yes",,"osf.io/z68ku","yes",,"yes",
"a000025","yes",,"yes",,"yes",,"osf.io/kz53g","yes",,"osf.io/kz53g","yes",,"yes",
"a000029","yes",,"yes",,"yes",,"osf.io/k67ba","yes",,"osf.io/k67ba","yes",,"yes",
"a000030","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/ZSYWHO","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO","yes",,"yes",
"a000031","yes",,"yes",,"yes",,"doi.org/10.25540/3wd8-dffw","yes",,"scholarbank.nus.edu.sg/handle/10635/150104","other","Need to fill out a 'guestbook' and accept terms of use before being allowed to download","other","There was one file (scans.zip) which has status ""CLOSED; Request a copy""; this is because it has been superceded by a v2 of the file. Accessible scans file (Scans v2.zip) was 2.41GB - downloaded to check, but file not uploaded to Google Drive"
"a000031","yes",,"yes",,"yes",,"five.dartmouth.edu/datasets","other","The link is to the repo home page; further searching on website (and acceptance of conditions of use) required to locate the specific dataset","five.dartmouth.edu/view/7?","other","Need to be logged in to the FIVES site to view/download data files","no",
"a000032","yes",,"yes",,"yes",,"doi.org/10.6096/MISTRALS-HyMeX.1406","yes",,"mistrals.sedoo.fr/HyMeX/?editDatsId=1406","other","Account registration required","no",
"a000033","yes",,"yes",,"yes",,"osf.io/h67mx","yes",,"osf.io/h67mx","yes",,"yes",
"a000035","yes",,"yes",,"yes",,"osf.io/9tu5r","yes",,"osf.io/9tu5r","yes",,"yes",
"a000036","yes",,"yes",,"yes",,"osf.io/g9yrc","yes",,"osf.io/g9yrc","yes",,"yes",
"a000037","yes",,"yes",,"yes",,"hdl.handle.net/11633/aabxbkd7","yes",,"data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234","yes",,"no",
"a000038","yes",,"yes",,"yes",,"osf.io/6ayhs","yes",,"osf.io/6ayhs","yes",,"yes",
"a000039","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/7EWDRF","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF","yes",,"yes",
"a000040","yes",,"yes",,"yes",,"osf.io/fkmbh","yes",,"osf.io/fkmbh","yes",,"yes",
"a000041","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/GDTPM","yes",,"osf.io/gdtpm","yes",,"yes",
"a000042","yes",,"yes",,"yes",,"osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8","yes",,"osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8","yes",,"yes",
"a000043","yes",,"yes",,"yes",,"osf.io/tmdvn","yes",,"osf.io/tmdvn","yes",,"yes",
"a000044","yes",,"yes",,"yes",,"osf.io/2pgtj","yes",,"osf.io/2pgtj","yes",,"yes",
"a000045","yes",,"yes",,"yes",,"osf.io/u2xct","yes",,"osf.io/u2xct","yes",,"yes",
"a000046","yes",,"yes",,"yes",,"osf.io/dkqfn","yes",,"osf.io/dkqfn","yes",,"yes",
"a000047","yes",,"yes",,"yes",,"osf.io/g3rnt","yes",,"osf.io/g3rnt","yes",,"yes",
"a000048","yes",,"yes",,"yes",,"osf.io/cpmfk","yes",,"osf.io/cpmfk","yes",,"yes",
"a000049","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/DTFR60","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DTFR60","yes",,"yes",
"a000050","yes",,"yes",,"yes",,"osf.io/2wjgn","yes",,"osf.io/2wjgn","yes",,"yes",
"a000051","yes",,"yes",,"yes",,"ckan-rdm.up.pt/dataset/i3s-2019-001","yes",,"ckan-rdm.up.pt/dataset/i3s-2019-001","yes",,"yes",
"a000054","yes",,"yes",,"yes",,"osf.io/hgcet","yes",,"osf.io/hgcet","yes",,"yes",
"a000056","yes",,"yes",,"yes",,"osf.io/2b9hn","yes",,"osf.io/2b9hn","yes",,"yes",
"a000057","yes",,"yes",,"yes",,"osf.io/pqf9r","yes",,"osf.io/pqf9r","yes",,"yes",
"a000061","yes",,"yes",,"yes",,"osf.io/w2xsr","yes",,"osf.io/w2xsr","yes",,"yes",
"a000062","yes",,"yes",,"yes",,"thedata.harvard.edu/dvn/dv/PainData","yes",,"dataverse.harvard.edu/dataverse/PainData","yes",,"yes",
"a000064","yes",,"yes",,"yes",,"osf.io/jpxat/quickfiles","yes",,"osf.io/jpxat/quickfiles","yes",,"yes",
"a000066","yes",,"yes",,"yes",,"osf.io/dtgaa","yes",,"osf.io/dtgaa","yes",,"yes",
"a000067","yes",,"yes",,"yes",,"osf.io/nm8vf","yes",,"osf.io/nm8vf","yes",,"yes",
"a000071","yes",,"yes",,"yes",,"osf.io/856cs","yes",,"osf.io/856cs","yes",,"yes",
"a000071","yes",,"yes",,"yes",,"re3data.org","yes",,"www.re3data.org","no",,,
"a000072","yes",,"yes",,"yes",,"osf.io/56yz7","yes",,"osf.io/56yz7","yes",,"yes",
"a000073","yes",,"yes",,"yes",,"osf.io/6zdnh","yes",,"osf.io/6zdnh","yes",,"yes",
"a000074","yes",,"yes",,"yes",,"osf.io/t9c52","yes",,"osf.io/t9c52","yes",,"yes",
"a000075","yes",,"yes",,"yes",,"osf.io/p8f7w","yes",,"osf.io/p8f7w","yes",,"yes",
"a000077","yes",,"yes",,"yes",,"bit.ly/2mLcXyu","yes",,"osf.io/ygy5e/?view_only=eca3d2740b3d4db38e9db0c67083861b","yes",,"yes",
"a000080","yes",,"yes",,"yes",,"osf.io/4x8tn","yes",,"osf.io/4x8tn","yes",,"yes",
"a000081","yes",,"yes",,"yes",,"osf.io/cdev3","yes",,"osf.io/cdev3","yes",,"yes",
"a000081","yes",,"yes",,"yes",,"osf.io/q9jy3","yes",,"osf.io/q9jy3","yes",,"yes",
"a000081","yes",,"yes",,"yes",,"osf.io/uj2dr","yes",,"osf.io/uj2dr","yes",,"yes",
"a000081","yes",,"yes",,"yes",,"osf.io/x7pgq","yes",,"osf.io/x7pgq","yes",,"yes",
"a000082","yes",,"no",,"yes",,"osf.io/anc5m","yes",,"osf.io/anc5m","yes",,"yes",
"a000083","yes",,"yes",,"yes",,"osf.io/rmjtg","yes",,"osf.io/rmjtg","yes",,"yes",
"a000084","yes",,"yes",,"yes",,"osf.io/54yzr","yes",,"osf.io/54yzr","yes",,"yes",
