"study_id","link_url_cleaned","resolved_url_cleaned","is_repository","repository_name"
"a000001","osf.io/d2jwb","osf.io/d2jwb","yes","Open Science Framework"
"a000003","osf.io/myqn9","osf.io/myqn9","yes","Open Science Framework"
"a000004","osf.io/4sqn3","osf.io/4sqn3","yes","Open Science Framework"
"a000005","osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78","osf.io/h7av3/?view_only=64a45a1b7def4d95b1231e35df6a2c78","yes","Open Science Framework"
"a000007","osf.io/wds5y","osf.io/wds5y","yes","Open Science Framework"
"a000009","osf.io/x3ypv","osf.io/x3ypv","yes","Open Science Framework"
"a000010","osf.io/6yhmp","osf.io/6yhmp","yes","Open Science Framework"
"a000011","osf.io/x8rnq","osf.io/x8rnq","yes","Open Science Framework"
"a000011","www.ukbiobank.ac.uk","www.ukbiobank.ac.uk","no",
"a000012","osf.io/njea2","osf.io/njea2","yes","Open Science Framework"
"a000013","thedata.harvard.edu/dvn/dv/lzav/faces/study/StudyPage.xhtml?globalId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/27740&studyListingIndex=3_81dd3734f5b119094c28f53886bc","yes","Harvard Dataverse"
"a000015","osf.io/f3dh6","osf.io/f3dh6","yes","Open Science Framework"
"a000016","osf.io/cp76s","osf.io/cp76s","yes","Open Science Framework"
"a000017","osf.io/yw9us","osf.io/yw9us","yes","Open Science Framework"
"a000018","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JLWQY9","yes","Harvard Dataverse"
"a000019","doi.org/10.17605/OSF.IO/YVE8F","osf.io/yve8f","yes","Open Science Framework"
"a000020","reshare.ukdataservice.ac.uk/852658","reshare.ukdataservice.ac.uk/852658","yes","ReShare (UK Data Service)"
"a000022","osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None","osf.io/cwqsu/?view_only=Noneandhttps://osf.io/cwqsu/?view_only=None","yes","Open Science Framework"
"a000023","osf.io/jbq9v","osf.io/jbq9v","yes","Open Science Framework"
"a000024","osf.io/jrmk4","osf.io/jrmk4","yes","Open Science Framework"
"a000024","osf.io/z68ku","osf.io/z68ku","yes","Open Science Framework"
"a000025","osf.io/kz53g","osf.io/kz53g","yes","Open Science Framework"
"a000029","osf.io/k67ba","osf.io/k67ba","yes","Open Science Framework"
"a000030","dx.doi.org/10.7910/DVN/ZSYWHO","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZSYWHO","yes","Harvard Dataverse"
"a000031","doi.org/10.25540/3wd8-dffw","scholarbank.nus.edu.sg/handle/10635/150104","yes","ScholarBank@NUS (National University of Singapore)"
"a000031","five.dartmouth.edu/datasets","five.dartmouth.edu/view/7?","no",
"a000032","doi.org/10.6096/MISTRALS-HyMeX.1406","mistrals.sedoo.fr/HyMeX/?editDatsId=1406","yes","SEDOO (Observatoire Midi-Pyrénées)"
"a000033","osf.io/h67mx","osf.io/h67mx","yes","Open Science Framework"
"a000035","osf.io/9tu5r","osf.io/9tu5r","yes","Open Science Framework"
"a000036","osf.io/g9yrc","osf.io/g9yrc","yes","Open Science Framework"
"a000037","hdl.handle.net/11633/aabxbkd7","data.donders.ru.nl/collections/di/dccn/DSC_3018026.01_234","yes","Radboud Data Repository (Radboud University)"
"a000038","osf.io/6ayhs","osf.io/6ayhs","yes","Open Science Framework"
"a000039","doi.org/10.7910/DVN/7EWDRF","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7EWDRF","yes","Harvard Dataverse"
"a000040","osf.io/fkmbh","osf.io/fkmbh","yes","Open Science Framework"
"a000041","doi.org/10.17605/OSF.IO/GDTPM","osf.io/gdtpm","yes","Open Science Framework"
"a000042","osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8","osf.io/a8sv7/?view_only=cf0e445e30354e22bb53b82242fd94d8","yes","Open Science Framework"
"a000043","osf.io/tmdvn","osf.io/tmdvn","yes","Open Science Framework"
"a000044","osf.io/2pgtj","osf.io/2pgtj","yes","Open Science Framework"
"a000045","osf.io/u2xct","osf.io/u2xct","yes","Open Science Framework"
"a000046","osf.io/dkqfn","osf.io/dkqfn","yes","Open Science Framework"
"a000047","osf.io/g3rnt","osf.io/g3rnt","yes","Open Science Framework"
"a000048","osf.io/cpmfk","osf.io/cpmfk","yes","Open Science Framework"
"a000049","dx.doi.org/10.7910/DVN/DTFR60","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DTFR60","yes","Harvard Dataverse"
"a000050","osf.io/2wjgn","osf.io/2wjgn","yes","Open Science Framework"
"a000051","ckan-rdm.up.pt/dataset/i3s-2019-001","ckan-rdm.up.pt/dataset/i3s-2019-001","no",
"a000054","osf.io/hgcet","osf.io/hgcet","yes","Open Science Framework"
"a000056","osf.io/2b9hn","osf.io/2b9hn","yes","Open Science Framework"
"a000057","osf.io/pqf9r","osf.io/pqf9r","yes","Open Science Framework"
"a000061","osf.io/w2xsr","osf.io/w2xsr","yes","Open Science Framework"
"a000062","thedata.harvard.edu/dvn/dv/PainData","dataverse.harvard.edu/dataverse/PainData","yes","Harvard Dataverse"
"a000064","osf.io/jpxat/quickfiles","osf.io/jpxat/quickfiles","yes","Open Science Framework"
"a000066","osf.io/dtgaa","osf.io/dtgaa","yes","Open Science Framework"
"a000067","osf.io/nm8vf","osf.io/nm8vf","yes","Open Science Framework"
"a000071","osf.io/856cs","osf.io/856cs","yes","Open Science Framework"
"a000071","re3data.org","www.re3data.org","no",
"a000072","osf.io/56yz7","osf.io/56yz7","yes","Open Science Framework"
"a000073","osf.io/6zdnh","osf.io/6zdnh","yes","Open Science Framework"
"a000074","osf.io/t9c52","osf.io/t9c52","yes","Open Science Framework"
"a000075","osf.io/p8f7w","osf.io/p8f7w","yes","Open Science Framework"
"a000077","bit.ly/2mLcXyu","osf.io/ygy5e/?view_only=eca3d2740b3d4db38e9db0c67083861b","yes","Open Science Framework"
"a000080","osf.io/4x8tn","osf.io/4x8tn","yes","Open Science Framework"
"a000081","osf.io/cdev3","osf.io/cdev3","yes","Open Science Framework"
"a000081","osf.io/q9jy3","osf.io/q9jy3","yes","Open Science Framework"
"a000081","osf.io/uj2dr","osf.io/uj2dr","yes","Open Science Framework"
"a000081","osf.io/x7pgq","osf.io/x7pgq","yes","Open Science Framework"
"a000082","osf.io/anc5m","osf.io/anc5m","yes","Open Science Framework"
"a000083","osf.io/rmjtg","osf.io/rmjtg","yes","Open Science Framework"
"a000084","osf.io/54yzr","osf.io/54yzr","yes","Open Science Framework"
"a000085","osf.io/zudxp","osf.io/zudxp","yes","Open Science Framework"
"a000088","osf.io/6u4wh","osf.io/6u4wh","yes","Open Science Framework"
"a000089","osf.io/3htpj","osf.io/3htpj","yes","Open Science Framework"
"a000090","osf.io/e9mhc","osf.io/e9mhc","yes","Open Science Framework"
"a000093","osf.io/uyadw","osf.io/uyadw","yes","Open Science Framework"
"a000096","osf.io/9246v","osf.io/9246v","yes","Open Science Framework"
"a000097","osf.io/tqzkd","osf.io/tqzkd","yes","Open Science Framework"
"a000098","osf.io/nft5c","osf.io/nft5c","yes","Open Science Framework"
"a000099","osf.io/4dau5","osf.io/4dau5","yes","Open Science Framework"
"a000100","doi.org/10.17605/OSF.IO/Z6SDM","osf.io/z6sdm","yes","Open Science Framework"
"a000101","osf.io/etrcd","osf.io/etrcd","yes","Open Science Framework"
"a000103","doi.org/10.7910/DVN/VEPHLS","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/VEPHLS","yes","Harvard Dataverse"
"a000104","thedata.harvard.edu/dvn/dv/kenswan","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/28095","yes","Harvard Dataverse"
"a000105","osf.io/4zwsd","osf.io/4zwsd","yes","Open Science Framework"
"a000106","doi.org/10.7910/DVN/CQXHTH","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/CQXHTH","yes","Harvard Dataverse"
"a000107","osf.io/4bsw8","osf.io/4bsw8","yes","Open Science Framework"
"a000108","doi.org/10.5061/dryad.cn20jv8","datadryad.org/stash/dataset/doi:10.5061/dryad.cn20jv8","yes","Dryad"
"a000109","osf.io/2ckz9","osf.io/2ckz9","yes","Open Science Framework"
