"study_id","coder_initials","date_coded","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","number_of_links","link_number","link_url","link_work","link_work_noother","resolved_url","is_repository","is_repository_other","repository_name","files_exist","files_exist_other","download_success","download_success_other","notes","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","final_download_success","final_download_success2","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus"
"a001935","EG","30/5/2024","yes",,"yes",,"other","Link provided for Study 1 only, this row, contact provided for study 2.",1,1,"https://doi.org/10.34894/9UIPH4","yes",,"https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/9UIPH4","yes",,"DataverseNL",,,,,"Link for study 1 only: 'Data and materials for Study 2 can be obtained from M. J. Crockett (molly.crock ett@yale.edu)'","yes","yes","yes","yes","yes","yes",2021,"Gross, Jörg; Faber, Nadira S.; Kappes, Andreas; Nussberger, Anne-Marie; Cowen, Philip J.; Browning, Michael; Kahane, Guy; Savulescu, Julian; Crockett, Molly J.; De Dreu, Carsten K. W.","When Helping Is Risky: The Behavioral and Neurobiological Trade-off of Social and Risk Preferences","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211015942","1842-1855","11",32,TRUE,TRUE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002246","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"http://hdl.handle.net/1903/21495","yes",,"https://drum.lib.umd.edu/items/adbd4dd2-a118-4d87-a4ba-509374d1dc94","yes",,"Digital Repository at the University of Maryland (DRUM)","yes",,"yes",,"Supposedly ' access to the data is limited to qualified researchers' but I was able to locate this without doing anything special. May have already been logged into SSO perhaps.","yes","yes","yes","yes","yes","yes",2022,"Bower, Corinne A.; Mix, Kelly S.; Yuan, Lei; Smith, Linda B.","A Network Analysis of Children’s Emerging Place-Value Concepts","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211070242","1112-1127","7",33,TRUE,FALSE,FALSE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002142","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://doi.org/10.5061/dryad.6hdr7sr2k","yes",,"https://datadryad.org/stash/dataset/doi:10.5061/dryad.6hdr7sr2k","yes",,"Dryad","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"De Petrillo, Francesca; Nair, Parvathy; Cantwell, Averill; Rosati, Alexandra G.","The Evolution of Cognitive Control in Lemurs","Psychological Science","0956-7976, 1467-9280","10.1177/09567976221082938","1408-1422","9",33,TRUE,TRUE,TRUE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002163","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://doi.org/10.25397/eur.17179514","yes",,"https://datarepository.eur.nl/articles/dataset/Datasets_and_code_of_the_paper_A_personal_model_of_trumpery_Linguistic_deception_detection_in_a_real-world_high-stakes_setting_/17179514","yes",,"Erasmus University of Rotterdam research repository","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"Van Der Zee, Sophie; Poppe, Ronald; Havrileck, Alice; Baillon, Aurélien","A Personal Model of Trumpery: Linguistic Deception Detection in a Real-World High-Stakes Setting","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211015941","3-17","1",33,TRUE,TRUE,FALSE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001861","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://doi.org/10.6084/m9.figshare.11409447.v1","yes",,"https://figshare.com/articles/dataset/Dissociating_representations_of_time_and_number_in_reinforcement_rate_learning_by_GluA1_AMPAR_subunit_deletion_in_mice/11409447/1","yes",,"figshare","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Austen, Joseph M.; Pickering, Corran; Sprengel, Rolf; Sanderson, David J.","Dissociating Representations of Time and Number in Reinforcement-Rate Learning by Deletion of the GluA1 AMPA Receptor Subunit in Mice","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620960392","204-217","2",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002179","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://doi.org/10.6084/m9.figshare.c.5630842.v2","yes",,"https://figshare.com/collections/Datasets_The_language_of_social_touch_is_intuitive_and_quantifiable/5630842/2","yes",,"figshare","yes",,"other","Extremely large file size",,"yes","yes","yes","yes","partial","yes",2022,"McIntyre, Sarah; Hauser, Steven C.; Kusztor, Anikó; Boehme, Rebecca; Moungou, Athanasia; Isager, Peder Mortvedt; Homman, Lina; Novembre, Giovanni; Nagi, Saad S.; Israr, Ali; Lumpkin, Ellen A.; Abnousi, Freddy; Gerling, Gregory J.; Olausson, Håkan","The Language of Social Touch Is Intuitive and Quantifiable","Psychological Science","0956-7976, 1467-9280","10.1177/09567976211059801","1477-1494","9",33,TRUE,TRUE,FALSE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001672","EG","13/4/2024","yes",,"yes",,"yes",,1,1,"https://github.com/alexandradecker/lapses-and-memory-","yes",,"https://github.com/alexandradecker/lapses-and-memory-","yes",,"GitHub","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2023,"Decker, Alexandra L.; Duncan, Katherine; Finn, Amy S.","Fluctuations in Sustained Attention Explain Moment-to-Moment Shifts in Children’s Memory Formation","Psychological Science","0956-7976, 1467-9280","10.1177/09567976231206767","1377-1389","12",34,TRUE,TRUE,TRUE,FALSE,2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001987","EG","30/5/2024","yes",,"yes",,"yes",,2,2,"https://github.com/emoriebeck/behavior-prediction","yes",,"https://github.com/emoriebeck/behavior-prediction","yes",,"GitHub","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2022,"Beck, Emorie D.; Jackson, Joshua J.","Personalized Prediction of Behaviors and Experiences: An Idiographic Person–Situation Test","Psychological Science","0956-7976, 1467-9280","10.1177/09567976221093307","1767-1782","10",33,TRUE,TRUE,TRUE,FALSE,2022,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a001887","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://github.com/shan0903/ThreePiglet2022","yes",,"https://github.com/shan0903/ThreePiglets2022","yes",,"GitHub","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2023,"Xu, Shan; Song, Yiying; Liu, Jia","The Development of Spatial Cognition and Its Malleability Assessed in Mass Population via a Mobile Game","Psychological Science","0956-7976, 1467-9280","10.1177/09567976221137313","345-357","3",34,TRUE,FALSE,FALSE,FALSE,2023,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a002032","EG","30/5/2024","yes",,"yes",,"yes",,1,1,"https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FQ8MIL","yes",,"https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FQ8MIL","yes",,"Harvard Dataverse","yes",,"yes",,,"yes","yes","yes","yes","yes","yes",2021,"Wang, Sze-Yuh Nina; Inbar, Yoel","Moral-Language Use by U.S. Political Elites","Psychological Science","0956-7976, 1467-9280","10.1177/0956797620960397","14-26","1",32,TRUE,FALSE,FALSE,FALSE,2021,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
