"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other","is_repository","repository_name","all_notes","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","flag_credentials_required","final_download_success","final_download_success2"
"a000011","yes",,"yes",,"yes",,"www.ukbiobank.ac.uk","other","link works, but is to the generic homepage. More detail needed in order to find the actual data used.","www.ukbiobank.ac.uk","other","Registration and approval is required to access any data files","no",,"no",,"michelle: Need log in to access files; michelle: One of the links does not direct to the specific data and materials associated with the article and the data file may need to be redownloaded as edits are being made; sophia: There was another link to ""data scripts"" but this led to an OSF page with the code used to process the data, and was excluded.; steve: Data is locked behind a registration and approval process; steve: code used for analysis so relevant - code file was checked out on OSF even though it could be downloaded etc.",2019,"Nave, Gideon; Jung, Wi Hoon; Linnér, Richard Karlsson; Kable, Joseph W; Koellinger, Philipp D","Are Bigger Brains Smarter? Evidence From a Large-Scale Preregistered Study","Psychological Science","0956-7976","10.1177/0956797618808470","43-54","1",30,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"yes","yes","yes","no","yes",,
"a000031","yes",,"yes",,"yes",,"five.dartmouth.edu/datasets","other","The link is to the repo home page; further searching on website (and acceptance of conditions of use) required to locate the specific dataset","five.dartmouth.edu/view/7?","other","Need to be logged in to the FIVES site to view/download data files","no",,"no",,"evelyn: Need to enter details to download files; evelyn: require to search for projects using the link; oliver: (no note made); oliver: (no note made); oliver: (no note made); sophia: (no note made); sophia: (no note made); steve: The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement; steve: The links to data are in a section at the end called ""Resources"" - this counts as a data avail. statement",2019,"Png, Ivan P. L.","U.S. R&D, 1975–1998: A new dataset","Strategic Management Journal","1097-0266","10.1002/smj.3001","715-735","5",40,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000071","yes",,"yes",,"yes",,"re3data.org","yes",,"www.re3data.org","no",,,,"no",,"oliver: (no note made); steve: Straightforward, no issues; steve: This is a registry of repositories; it doesn't make sense for the data to be hosted here directly",2018,"Rivera, Luis M.; Veysey, Bonita M.","Implicit self-criminal cognition and its relation to criminal behavior.","Law and Human Behavior","1573-661X, 0147-7307","10.1037/lhb0000300","507-519","6",42,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000117","yes",,"yes",,"yes",,"archaeologydataservice.ac.uk/archives/view/greylit","yes",,"archaeologydataservice.ac.uk/archives/view/greylit","no",,,,"yes","Archaeology Data Service","andy: Data referred to here is no longer available in this format. It seems to have been incorporated into a larger bibliographic structure.; steve: This open data referred to seems to be a downloadable set of bibliographic data which doesn't seem accessible in 2020.",2015,"Evans, Tim","A Reassessment of Archaeological Grey Literature: semantics and paradoxes","Internet Archaeology","1363-5387","10.11141/ia.40.6",,"40",,TRUE,FALSE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000132","yes",,"yes",,"yes",,"www.pairfam.de/en/data/data-access","other","the url as given automatically redirects to the home page (due to lack of https). Links need to be followed from the main page in order to get to the intended page","www.pairfam.de/en/data/data-access","other","application and approval and possibly payment is required before access to files is possible","no",,"yes","Pairfam","adrian: Article had 2 links - This link was in German and did not have files for download; adrian: Article had 2 links - This link was ok; kongmanas: I didn't have any problems with this article; kongmanas: The registration is needed to download the data file; steve: There was an issue with automatic redirection with the url, but the url was fundamentally correct; steve: This link contains data prep and analysis scripts, so it counts broadly as ""data""",2019,"Pusch, Sebastian; Mund, Marcus; Hagemeyer, Birk; Finn, Christine","Personality Development in Emerging and Young Adulthood: A Study of Age Differences","European Journal of Personality","1099-0984","10.1002/per.2181","245-263","3",33,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000160","yes",,"yes",,"yes",,"childes.talkbank.org","other","the link is to the repo home page; further searching required to find the datasets actually used (US: 'Brown','Providence','Bloom70','Kuczaj', 'Suppes', 'Sachs', UK: 'Manchester', 'Thomas')","childes.talkbank.org/access/Eng-UK/Manchester.html; https://childes.talkbank.org/access/Eng-UK/Thomas.html; https://childes.talkbank.org/access/Eng-NA/Brown.html; https://childes.talkbank.org/access/Eng-NA/Bloom.html; https://childes.talkbank.org/access/Eng-NA/Suppes.html; https://childes.talkbank.org/access/Eng-NA/Sachs.html; https://childes.talkbank.org/access/Eng-NA/Kuczaj.html; https://phonbank.talkbank.org/access/Eng-NA/Providence.html","yes",,"yes",,"yes","CHILDES/TalkBank","evelyn: I didn't have any problems with this article; evelyn: Require to search for journal with the provided link; matthew: The link lead to the homepage of the repository, which made the user manually find the data to the document, after looking for it for 10 minutes, I could not locate the file; michelle: Cannot find appropriate data via website given in article; steve: Links to the copora used were not included in the article, had to figure them out from the code linked to, then navigate the talkbank/childes website; steve: This link was ""buried"" in the body of the article text, but is very useful for determining which CHILDES datasets were used.",2017,"Meylan, Stephan C.; Frank, Michael C.; Roy, Brandon C.; Levy, Roger","The Emergence of an Abstract Grammatical Category in Children’s Early Speech","Psychological Science","0956-7976","10.1177/0956797616677753","181-192","2",28,TRUE,FALSE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000168","yes",,"yes",,"yes",,"doi.org/10.3886/ICPSR21600.v17","yes",,"www.icpsr.umich.edu/web/DSDR/studies/21600/versions/V17","other","The v17 of the files is no longer available, superceded by v18-v21. v17 may be available upon request for replication purposes according to note on page.","no",,"yes","ICPSR","adrian: Files were hard to find and took a long time to download. File size was 143MB so did not upload to Drive; evelyn: Multiple versions of the data are available, however files for each version are present. The latest version of the data was greater than 100MB and was therefore not downloaded.; steve: There was a v21 of the data (possibly not behind a login), but v17 does not seem to be available, need to contact ICPSR",2017,"Daly, Michael; Robinson, Eric; Sutin, Angelina R.","Does Knowing Hurt? Perceiving Oneself as Overweight Predicts Future Physical Health and Well-Being","Psychological Science","0956-7976","10.1177/0956797617696311","872-881","7",28,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000233","yes",,"no",,"no",,,,,,,,,,,,"michelle: (no note made); steve: Could not find a link to shared data in paper or on website",2017,"Zhang, Zhi-Xue; Wei, Xin","Superficial Harmony and Conflict Avoidance Resulting from Negative Anticipation in the Workplace","Management and Organization Review","1740-8776, 1740-8784","10.1017/mor.2017.48","795-820","4",13,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a000260","yes",,"yes",,"yes",,"fcon_1000.projects.nitrc.org/indi/enhanced/access.html","other","The link is to a page with instructions on how to arrange access to the data, not a link to the data per se","fcon_1000.projects.nitrc.org/indi/enhanced/access.html","other","The full phenotypic release of the data is required, and the site requires a data usage agreement to be approved before allowing access","no",,"yes","NeuroImaging Tools & Resources Collaboratory","michelle: Could not download data, due to having to request for data; oliver: (no note made); steve: An approval process is in place due to confidentiality concerns - fair enough - there is a lot of detail provided about the process too",2019,"Mace, Ryan A.; Waters, Abigail B.; Sawyer, Kayle S.; Turrisi, Taylor; Gansler, David A.","Components of executive function model regional prefrontal volumes.","Neuropsychology","1931-1559, 0894-4105","10.1037/neu0000563","1007-1019","7",33,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000280","yes",,"yes",,"yes",,"www.icpsr.umich.edu/icpsrweb/ICPSR/series/203","other","the link is to the overall project page, which in turn links to many datasets","www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346","other","Account required, may need to be from an approved institution","no",,"yes","ICPSR","evelyn: Unable to download files without login/appropriate access; oliver: (no note made); steve: link chain to data files was 2 steps, somewhat clear which of the available datasets were relevant, account/access needed to download files",2018,"Leger, Kate A.; Charles, Susan T.; Almeida, David M.","Let It Go: Lingering Negative Affect in Response to Daily Stressors Is Associated With Physical Health Years Later","Psychological Science","0956-7976, 1467-9280","10.1177/0956797618763097","1283-1290","8",29,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
