"repository_name","n","total_n","pct"
"Open Science Framework",927,1317,70.4
"Harvard Dataverse",167,1317,12.7
"(Not recognised as a data repository)",34,1317,2.6
"Figshare",19,1317,1.4
"IRIS",19,1317,1.4
"Mendeley",19,1317,1.4
"Github",17,1317,1.3
"Zenodo",17,1317,1.3
"Archaeology Data Service",10,1317,0.8
"Seismic data Network Access Point (SNAP)",8,1317,0.6
"ICPSR",7,1317,0.5
"Environmental Information Data Centre (UKCEH)",6,1317,0.5
"CEDA Archive",5,1317,0.4
"Dryad",5,1317,0.4
"PANGAEA",4,1317,0.3
"ReShare (UK Data Service)",4,1317,0.3
"Health and Retirement Study Data Portal (University of Michigan)",3,1317,0.2
"Open Government Portal (Government of Canada)",3,1317,0.2
"Apollo (University of Cambridge)",2,1317,0.2
"European Nucleotide Archive",2,1317,0.2
"Open Research Exeter (University of Exeter)",2,1317,0.2
"OpenNeuro",2,1317,0.2
"PsychArchives",2,1317,0.2
"UK Data Service",2,1317,0.2
"openICPSR",2,1317,0.2
"Arch (Northwestern University)",1,1317,0.1
"BioProject (National Center for Biotechnology Information)",1,1317,0.1
"CHILDES/TalkBank",1,1317,0.1
"ConnectomeDB, CCF",1,1317,0.1
"DNA Data Bank of Japan",1,1317,0.1
"Data Commons (The Pennsylvania State University)",1,1317,0.1
"Databrary",1,1317,0.1
"DataverseNL",1,1317,0.1
"Edmond (Max Planck Society)",1,1317,0.1
"Integrated Marine Information System (Flanders Marine Institute)",1,1317,0.1
"MADATA (University of Mannheim)",1,1317,0.1
"Merritt (University of California)",1,1317,0.1
"National Center for Education Statistics",1,1317,0.1
"National Oceanographic Data Center",1,1317,0.1
"NeuroImaging Tools & Resources Collaboratory",1,1317,0.1
"NeuroVault",1,1317,0.1
"Open Context",1,1317,0.1
"Pairfam",1,1317,0.1
"PsychData",1,1317,0.1
"Radboud Data Repository (Radboud University)",1,1317,0.1
"Research Data Repository (Universität Hamburg)",1,1317,0.1
"SEANOE (SEA scieNtific Open data Edition)",1,1317,0.1
"SEDOO (Observatoire Midi-Pyrénées)",1,1317,0.1
"ScholarBank@NUS (National University of Singapore)",1,1317,0.1
"Scholars Portal Dataverse",1,1317,0.1
"U.S. Antarctic Program Data Center",1,1317,0.1
"UNC Dataverse",1,1317,0.1
"World Values Survey",1,1317,0.1
"eSpace (The University of Queensland)",1,1317,0.1
